Linux 6.6.30+ (kylin) 	2026年07月17日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时45分34秒   999    105031   40.00   17.00    0.00    0.00   57.00     3   1822.00      0.00 2679784  123744   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时45分35秒   999    105031  250.00   86.00    0.00    0.00  336.00     3  36315.00      0.00 2714668  152280   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时45分36秒   999    105031  261.00  106.00    0.00    0.00  367.00     3  11989.00      0.00 2713588  151228   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时45分37秒   999    105031  259.00  107.00    0.00    0.00  366.00     3   6904.00      0.00 2710820  149832   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时45分38秒   999    105031  254.00  110.00    0.00    0.00  364.00     3   7023.00      0.00 2713380  150304   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时45分39秒   999    105031  245.00  116.00    0.00    0.00  361.00     3   3796.00      0.00 2711844  150504   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时45分40秒   999    105031  254.00  108.00    0.00    0.00  362.00     3   4029.00      0.00 2712260  151064   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时45分41秒   999    105031  255.00  106.00    0.00    0.00  361.00     3   3697.00      0.00 2711236  150764   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时45分42秒   999    105031  261.00  104.00    0.00    0.00  365.00     3   3549.00      0.00 2711748  151116   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时45分43秒   999    105031  270.00   94.00    0.00    0.00  364.00     3   3800.00      0.00 2712260  151372   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时45分44秒   999    105031  258.00  108.00    0.00    0.00  366.00     3   3976.00      0.00 2712116  151244   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时45分45秒   999    105031  255.00  107.00    0.00    0.00  362.00     3   3306.00      0.00 2711972  151440   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时45分46秒   999    105031  258.00  107.00    0.00    0.00  365.00     3   1854.00      0.00 2712484  152304   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时45分47秒   999    105031  255.00  103.00    0.00    0.00  358.00     3   1845.00      0.00 2711972  151324   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时45分48秒   999    105031  251.00  111.00    0.00    0.00  362.00     3   1873.00      0.00 2712636  152196   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时45分49秒   999    105031  251.00  104.00    0.00    0.00  355.00     3   1748.00      0.00 2713004  152624   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时45分50秒   999    105031  248.00  107.00    0.00    0.00  355.00     3    809.00      0.00 2713148  152240   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
