id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
q3-rate85,1.001,31218,,29646,0,29639,122,4733,12344,37561,43642,185,4366,10667,39050,47578
q3-rate85,2.000,51551,,52515,0,52646,551,25787,53420,100325,122909,929,17326,43874,79538,99967
q3-rate85,3.001,42046,,42600,0,42493,194,996,1456,4502,33840,382,1450,1954,4482,26693
q3-rate85,4.000,41479,,41493,0,41488,195,845,1233,7827,23560,347,1244,1728,5279,20256
q3-rate85,5.000,41505,,41478,0,41493,233,862,1145,1820,3117,364,1252,1626,2319,4217
q3-rate85,6.000,41489,,41515,0,41501,152,779,1006,1534,1932,404,1160,1504,2227,3050
q3-rate85,7.000,41462,,41456,0,41454,183,851,1119,1761,2823,457,1247,1644,2546,3720
q3-rate85,8.000,41476,,41467,0,41471,206,783,1077,1900,4310,315,1107,1445,2359,4421
q3-rate85,9.000,41499,,41496,0,41506,140,812,1069,1641,2433,300,1197,1582,2344,3360
q3-rate85,10.000,41480,,41511,0,41491,152,792,1042,1616,2161,321,1147,1546,2280,3339
q3-rate85,11.000,41445,,41426,0,41447,153,842,1105,1692,2490,340,1146,1544,2184,2897
q3-rate85,12.000,41500,,41497,0,41491,160,818,1049,1748,2650,353,1179,1541,2372,3469
q3-rate85,13.000,41508,,41332,0,41321,136,822,1135,1859,3535,356,1175,1527,2360,5611
q3-rate85,14.000,41427,,41617,0,41628,176,889,1194,1795,2869,374,1265,1719,2375,3442
q3-rate85,15.000,41467,,41437,0,41439,153,877,1213,2145,5165,349,1242,1734,2774,5536
q3-rate85,16.000,41492,,41504,0,41490,166,823,1063,1655,2810,447,1198,1595,2344,3292
q3-rate85,17.000,41492,,41493,0,41500,199,850,1149,1658,2378,432,1210,1631,2315,3311
q3-rate85,18.000,41466,,41447,0,41453,141,802,1056,1688,3648,316,1142,1515,2291,4218
q3-rate85,19.000,41471,,41480,0,41483,160,842,1118,2050,5329,412,1198,1603,2845,5605
q3-rate85,20.000,41486,,41509,0,41502,108,818,1059,1665,2429,341,1168,1588,2403,3489
q3-rate85,21.000,41502,,41463,0,41473,194,848,1138,1784,2328,447,1243,1677,2350,3018
q3-rate85,22.000,41439,,41466,0,41455,194,861,1123,1705,3074,392,1185,1594,2379,3654
q3-rate85,23.000,41460,,41469,0,41460,148,910,1186,1865,2475,358,1296,1710,2410,3045
q3-rate85,24.000,41446,,41457,0,41462,136,876,1126,1724,2319,335,1185,1584,2244,3153
q3-rate85,25.000,41486,,41476,0,41477,169,771,999,1533,2376,331,1124,1539,2174,3348
