Linux 6.6.30+ (kylin) 	2026年07月17日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时18分22秒   999    118679   29.00    8.00    0.00    0.00   37.00     2   1170.00      0.00 2676568  120484   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时18分23秒   999    118679  242.00   71.00    0.00    0.00  313.00     2  72568.00      0.00 2748092  166848   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时18分24秒   999    118679  300.00   81.00    0.00    0.00  381.00     2  84693.00      0.00 2745448  165044   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时18分25秒   999    118679  272.00  106.00    0.00    0.00  378.00     2  16563.00      0.00 2741092  162816   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时18分26秒   999    118679  263.00  109.00    0.00    0.00  372.00     2  10792.00      0.00 2741164  162900   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时18分27秒   999    118679  274.00  103.00    0.00    0.00  377.00     2   4199.00      0.00 2736520  163428   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时18分28秒   999    118679  270.00  107.00    0.00    0.00  377.00     2   3237.00      0.00 2735116  162744   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时18分29秒   999    118679  258.00  120.00    0.00    0.00  378.00     2   2847.00      0.00 2733868  161272   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时18分30秒   999    118679  274.00  103.00    0.00    0.00  377.00     2   3005.00      0.00 2732924  161724   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时18分31秒   999    118679  276.00  102.00    0.00    0.00  378.00     2   2095.00      0.00 2732844  161028   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时18分32秒   999    118679  273.00  105.00    0.00    0.00  378.00     2   2655.00      0.00 2732332  162128   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时18分33秒   999    118679  268.00  110.00    0.00    0.00  378.00     2   2434.00      0.00 2730572  161228   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时18分34秒   999    118679  270.00  106.00    0.00    0.00  376.00     2   2461.00      0.00 2731964  161484   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时18分35秒   999    118679  272.00  106.00    0.00    0.00  378.00     2   2235.00      0.00 2731596  161636   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时18分36秒   999    118679  279.00  100.00    0.00    0.00  379.00     2   2210.00      0.00 2731372  161108   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时18分37秒   999    118679  268.00  107.00    0.00    0.00  375.00     2   1888.00      0.00 2730268  160268   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时18分38秒   999    118679  275.00  103.00    0.00    0.00  378.00     2   1620.00      0.00 2729756  160768   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
