Linux 6.6.30+ (kylin) 	2026年07月17日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时34分46秒   999    122884    9.00    2.00    0.00    0.00   11.00     3    131.00      0.00 2667768  117492   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时34分47秒   999    122884   61.00   15.00    0.00    0.00   76.00     3     62.00      0.00 2667768  117620   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时34分48秒   999    122884   40.00   15.00    0.00    0.00   55.00     3      0.00      0.00 2667768  117620   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时34分49秒   999    122884   39.00   15.00    0.00    0.00   54.00     3      0.00      0.00 2667768  117620   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时34分50秒   999    122884   40.00   14.00    0.00    0.00   54.00     3      0.00      0.00 2667768  117620   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时34分51秒   999    122884   41.00   15.00    0.00    0.00   56.00     3    126.00      0.00 2668024  117876   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时34分52秒   999    122884   47.00    8.00    0.00    0.00   55.00     3      0.00      0.00 2668024  117876   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时34分53秒   999    122884   43.00   11.00    0.00    0.00   54.00     3      0.00      0.00 2668024  117876   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时34分54秒   999    122884   37.00   17.00    0.00    0.00   54.00     3      0.00      0.00 2668024  117876   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时34分55秒   999    122884   44.00   11.00    0.00    0.00   55.00     3      0.00      0.00 2668024  117876   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时34分56秒   999    122884   45.00   10.00    0.00    0.00   55.00     3     32.00      0.00 2668280  117584   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时34分57秒   999    122884   46.00    8.00    0.00    0.00   54.00     3      0.00      0.00 2667768  117584   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时34分58秒   999    122884   37.00   18.00    0.00    0.00   55.00     3      0.00      0.00 2667768  117584   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时34分59秒   999    122884   40.00   15.00    0.00    0.00   55.00     3      0.00      0.00 2667768  117584   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时35分00秒   999    122884   51.00    5.00    0.00    0.00   56.00     3      0.00      0.00 2667768  117584   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时35分01秒   999    122884   43.00   13.00    0.00    0.00   56.00     3     36.00      0.00 2668280  117584   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时35分02秒   999    122884   42.00   12.00    0.00    0.00   54.00     3     24.00      0.00 2668280  117712   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
