Linux 6.6.30+ (kylin) 	2026年07月17日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时42分58秒   999    125129   22.00    6.00    0.00    0.00   28.00     2    187.00      0.00 2668200  115340   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时42分59秒   999    125129   48.00   11.00    0.00    0.00   59.00     2     13.00      0.00 2668200  115340   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时43分00秒   999    125129   39.00   15.00    0.00    0.00   54.00     2      0.00      0.00 2668200  115340   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时43分01秒   999    125129   42.00   12.00    0.00    0.00   54.00     2      0.00      0.00 2668200  115340   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时43分02秒   999    125129   43.00   10.00    0.00    0.00   53.00     2      0.00      0.00 2668200  115340   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时43分03秒   999    125129   46.00    9.00    0.00    0.00   55.00     2     59.00      0.00 2668200  115468   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时43分04秒   999    125129   38.00   15.00    0.00    0.00   53.00     2     13.00      0.00 2668200  115468   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时43分05秒   999    125129   42.00   12.00    0.00    0.00   54.00     2     23.00      0.00 2668200  115468   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时43分06秒   999    125129   42.00   13.00    0.00    0.00   55.00     2     19.00      0.00 2668200  115468   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时43分07秒   999    125129   40.00   13.00    0.00    0.00   53.00     2     51.00      0.00 2668200  115596   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时43分08秒   999    125129   42.00   13.00    0.00    0.00   55.00     2     70.00      0.00 2668200  115724   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时43分09秒   999    125129   46.00    8.00    0.00    0.00   54.00     2     15.00      0.00 2667688  115724   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时43分10秒   999    125129   45.00   10.00    0.00    0.00   55.00     2      0.00      0.00 2667688  115724   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时43分11秒   999    125129   43.00   11.00    0.00    0.00   54.00     2      0.00      0.00 2667688  115724   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时43分12秒   999    125129   43.00   11.00    0.00    0.00   54.00     2      0.00      0.00 2667688  115724   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时43分13秒   999    125129   44.00   11.00    0.00    0.00   55.00     2     27.00      0.00 2668200  115724   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时43分14秒   999    125129   39.00   15.00    0.00    0.00   54.00     2      0.00      0.00 2668200  115724   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
