id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
q5-drain,1.001,,,,,83564,17541231,17763991,17887237,17987693,18047916,,,,,
q5-drain,2.001,,,,,92235,17046386,17271946,17402618,17507154,17525511,,,,,
q5-drain,3.001,,,,,88064,16617932,16839472,16946045,17021174,17047882,,,,,
q5-drain,4.001,,,,,82447,16285883,16491614,16542591,16596269,16613045,,,,,
q5-drain,5.001,,,,,86455,15892450,16067593,16179933,16263989,16277307,,,,,
q5-drain,6.001,,,,,83171,15556471,15720688,15793110,15867178,15882431,,,,,
q5-drain,7.001,,,,,90047,15104633,15348956,15448814,15529517,15547937,,,,,
q5-drain,8.001,,,,,87170,14698407,14919886,15016562,15089815,15107751,,,,,
q5-drain,9.001,,,,,89202,14213693,14435497,14549597,14661177,14686535,,,,,
q5-drain,10.001,,,,,84979,13843335,14025514,14126115,14202860,14215501,,,,,
q5-drain,11.001,,,,,86712,13404598,13645428,13760067,13855513,13861396,,,,,
q5-drain,12.001,,,,,46480,13244747,13316114,13361023,13404750,13412174,,,,,
