Linux 6.6.30+ (kylin) 	2026年07月17日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时21分14秒   999    141679   55.00   11.00    0.00    0.00   66.00     2   1358.00      0.00 2677696  120920   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时21分15秒   999    141679  187.00   28.00    0.00    0.00  215.00     2  57588.00      0.00 2717040  148716   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时21分16秒   999    141679  181.00   32.00    0.00    0.00  213.00     2  88569.00      0.00 2723128  154516   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时21分17秒   999    141679  179.00   37.00    0.00    0.00  216.00     2  86192.00      0.00 2721588  152476   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时21分18秒   999    141679  179.00   36.00    0.00    0.00  215.00     2  89095.00      0.00 2721100  153024   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时21分19秒   999    141679  177.00   39.00    0.00    0.00  216.00     2  87061.00      0.00 2724484  152444   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时21分20秒   999    141679  175.00   38.00    0.00    0.00  213.00     2  86927.00      0.00 2719916  153720   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时21分21秒   999    141679  178.00   35.00    0.00    0.00  213.00     2  81939.00      0.00 2720572  152600   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时21分22秒   999    141679  178.00   36.00    0.00    0.00  214.00     2  87491.00      0.00 2720200  152072   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时21分23秒   999    141679  183.00   36.00    0.00    0.00  219.00     2  92925.00      0.00 2719816  151568   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时21分24秒   999    141679  182.00   36.00    0.00    0.00  218.00     2  88693.00      0.00 2721756  154888   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时21分25秒   999    141679  178.00   36.00    0.00    0.00  214.00     2  88734.00      0.00 2725152  154856   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时21分26秒   999    141679  177.00   39.00    0.00    0.00  216.00     2  93446.00      0.00 2723552  152788   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时21分27秒   999    141679  180.00   34.00    0.00    0.00  214.00     2  79974.00      0.00 2724532  154508   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时21分28秒   999    141679  171.00   39.00    0.00    0.00  210.00     2  92642.00      0.00 2719048  153100   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时21分29秒   999    141679  175.00   40.00    0.00    0.00  215.00     2  88193.00      0.00 2733420  153848   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时21分30秒   999    141679  180.00   37.00    0.00    0.00  217.00     2  96008.00      0.00 2725332  155032   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
