4         Threads
25        Connections per thread
360       Seconds


ALL STATS
============================================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p95 Latency     p99 Latency   p99.9 Latency       KB/sec 
--------------------------------------------------------------------------------------------------------------------------------------------
Sets        46967.80          ---          ---         0.73025         0.75100         0.89500         1.49500         1.70300     48886.93 
Gets        46967.66     46967.66         0.00         0.72982         0.74300         0.88700         1.49500         1.70300     48657.45 
Waits           0.00          ---          ---             ---             ---             ---             ---             ---          --- 
Totals      93935.46     46967.66         0.00         0.73004         0.75100         0.89500         1.49500         1.70300     97544.39 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.023        0.000
SET       0.343        5.000
SET       0.591       10.000
SET       0.687       15.000
SET       0.703       20.000
SET       0.719       25.000
SET       0.727       30.000
SET       0.735       35.000
SET       0.735       40.000
SET       0.743       45.000
SET       0.751       50.000
SET       0.751       52.500
SET       0.751       55.000
SET       0.751       57.500
SET       0.759       60.000
SET       0.759       62.500
SET       0.759       65.000
SET       0.759       67.500
SET       0.767       70.000
SET       0.767       72.500
SET       0.767       75.000
SET       0.775       76.250
SET       0.775       77.500
SET       0.775       78.750
SET       0.775       80.000
SET       0.783       81.250
SET       0.783       82.500
SET       0.783       83.750
SET       0.791       85.000
SET       0.799       86.250
SET       0.815       87.500
SET       0.823       88.125
SET       0.823       88.750
SET       0.831       89.375
SET       0.839       90.000
SET       0.847       90.625
SET       0.855       91.250
SET       0.855       91.875
SET       0.863       92.500
SET       0.871       93.125
SET       0.879       93.750
SET       0.879       94.062
SET       0.887       94.375
SET       0.887       94.688
SET       0.895       95.000
SET       0.903       95.312
SET       0.911       95.625
SET       0.927       95.938
SET       0.951       96.250
SET       0.975       96.562
SET       0.999       96.875
SET       1.015       97.031
SET       1.031       97.188
SET       1.047       97.344
SET       1.079       97.500
SET       1.159       97.656
SET       1.255       97.812
SET       1.359       97.969
SET       1.391       98.125
SET       1.423       98.281
SET       1.439       98.438
SET       1.447       98.516
SET       1.455       98.594
SET       1.463       98.672
SET       1.471       98.750
SET       1.479       98.828
SET       1.487       98.906
SET       1.495       98.984
SET       1.503       99.062
SET       1.503       99.141
SET       1.511       99.219
SET       1.511       99.258
SET       1.519       99.297
SET       1.519       99.336
SET       1.527       99.375
SET       1.527       99.414
SET       1.527       99.453
SET       1.535       99.492
SET       1.535       99.531
SET       1.543       99.570
SET       1.551       99.609
SET       1.551       99.629
SET       1.551       99.648
SET       1.559       99.668
SET       1.559       99.688
SET       1.567       99.707
SET       1.575       99.727
SET       1.583       99.746
SET       1.591       99.766
SET       1.607       99.785
SET       1.623       99.805
SET       1.631       99.814
SET       1.639       99.824
SET       1.647       99.834
SET       1.655       99.844
SET       1.663       99.854
SET       1.671       99.863
SET       1.679       99.873
SET       1.687       99.883
SET       1.703       99.893
SET       1.711       99.902
SET       1.711       99.907
SET       1.719       99.912
SET       1.719       99.917
SET       1.727       99.922
SET       1.727       99.927
SET       1.735       99.932
SET       1.743       99.937
SET       1.743       99.941
SET       1.751       99.946
SET       1.759       99.951
SET       1.759       99.954
SET       1.759       99.956
SET       1.767       99.958
SET       1.767       99.961
SET       1.775       99.963
SET       1.775       99.966
SET       1.783       99.968
SET       1.791       99.971
SET       1.791       99.973
SET       1.799       99.976
SET       1.807       99.977
SET       1.815       99.978
SET       1.815       99.979
SET       1.823       99.980
SET       1.831       99.982
SET       1.839       99.983
SET       1.847       99.984
SET       1.855       99.985
SET       1.863       99.987
SET       1.871       99.988
SET       1.879       99.988
SET       1.887       99.989
SET       1.895       99.990
SET       1.895       99.990
SET       1.903       99.991
SET       1.919       99.991
SET       1.927       99.992
SET       1.935       99.993
SET       1.951       99.993
SET       1.967       99.994
SET       1.975       99.994
SET       1.983       99.995
SET       1.991       99.995
SET       1.999       99.995
SET       2.015       99.995
SET       2.047       99.996
SET       2.095       99.996
SET       2.143       99.996
SET       2.207       99.997
SET       2.255       99.997
SET       2.287       99.997
SET       2.319       99.997
SET       2.351       99.997
SET       2.399       99.998
SET       2.543       99.998
SET       2.655       99.998
SET       3.679       99.998
SET       3.711       99.998
SET       3.727       99.998
SET       3.743       99.998
SET       3.759       99.999
SET       3.775       99.999
SET       3.791       99.999
SET       3.807       99.999
SET       3.807       99.999
SET       4.047       99.999
SET       4.047       99.999
SET       4.063       99.999
SET       4.575       99.999
SET       4.767       99.999
SET       4.799       99.999
SET       4.799       99.999
SET       4.799       99.999
SET       4.799       99.999
SET       4.799       99.999
SET       4.831       99.999
SET      72.191      100.000
SET      72.703      100.000
SET      73.215      100.000
SET      73.215      100.000
SET      73.727      100.000
SET      73.727      100.000
SET      73.727      100.000
SET      74.239      100.000
SET     167.935      100.000
SET     167.935      100.000
SET     167.935      100.000
SET     167.935      100.000
SET     167.935      100.000
SET     167.935      100.000
SET     167.935      100.000
SET     167.935      100.000
SET     167.935      100.000
SET     167.935      100.000
SET     167.935      100.000
SET     167.935      100.000
SET     167.935      100.000
SET     167.935      100.000
SET     167.935      100.000
SET     167.935      100.000
SET     167.935      100.000
