id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
q1-one-fast,1.001,40064,,,,39471,7187,41812,53014,72782,79456,,,,,
q1-one-fast,2.000,66264,,,,65927,3953,10244,12362,17035,18682,,,,,
q1-one-fast,3.000,67657,,,,67870,4167,10246,12053,15627,17072,,,,,
q1-one-fast,4.000,67499,,,,67581,4163,10260,12034,14697,16190,,,,,
q1-one-fast,5.000,68273,,,,68368,3984,9835,11803,15059,18524,,,,,
q1-one-fast,6.000,67976,,,,68070,3733,10234,12096,15124,16496,,,,,
q1-one-fast,7.000,70125,,,,70107,3562,9430,11008,13437,15389,,,,,
q1-one-fast,8.000,68421,,,,68374,3516,9854,11880,14812,16249,,,,,
q1-one-fast,9.000,65733,,,,65636,3831,10692,12628,15904,18345,,,,,
q1-one-fast,10.000,67326,,,,67512,3855,9781,11612,14947,18828,,,,,
q1-one-fast,11.000,67868,,,,67373,3763,10466,12477,15494,17483,,,,,
q1-one-fast,12.000,68877,,,,68814,3762,9664,11059,13925,16010,,,,,
q1-one-fast,13.000,66797,,,,66850,3681,10402,12725,16831,20822,,,,,
q1-one-fast,14.000,68644,,,,68799,4286,10374,11999,14414,16754,,,,,
q1-one-fast,15.000,65020,,,,64787,4086,9928,12193,16754,33229,,,,,
q1-one-fast,16.000,67897,,,,67989,3983,9664,11436,14646,18157,,,,,
q1-one-fast,17.000,68169,,,,68280,3725,10426,12413,16845,20173,,,,,
q1-one-fast,18.000,68225,,,,68337,3551,9567,11404,15150,17747,,,,,
q1-one-fast,19.000,69942,,,,69830,3712,9295,11187,14160,16327,,,,,
q1-one-fast,20.000,68444,,,,68434,3676,9688,11554,13813,15636,,,,,
q1-one-fast,21.000,70764,,,,70978,3839,9137,10641,12798,14724,,,,,
q1-one-fast,22.000,68460,,,,68354,3563,10002,11751,14863,16391,,,,,
q1-one-fast,23.000,69052,,,,69320,4065,9787,11542,13991,16359,,,,,
q1-one-fast,24.000,67198,,,,66913,3887,10194,12548,16063,18751,,,,,
q1-one-fast,25.000,69577,,,,69575,3757,9690,11330,14586,17087,,,,,
q1-one-fast,26.000,65871,,,,65663,4743,10935,13153,16158,18752,,,,,
q1-one-fast,27.000,67709,,,,67785,3592,10107,12085,15679,17926,,,,,
q1-one-fast,28.000,66532,,,,66471,4582,10830,12735,15354,16672,,,,,
q1-one-fast,29.000,68150,,,,68152,4531,10260,12455,15035,19903,,,,,
q1-one-fast,30.000,64011,,,,64052,4452,10601,12851,19780,43807,,,,,
q1-one-fast,31.000,67866,,,,68228,4631,9859,11855,14665,16322,,,,,
q1-one-fast,32.000,68268,,,,68022,4134,9963,11641,14784,16910,,,,,
q1-one-fast,33.000,68050,,,,68266,3769,10122,11910,14427,15836,,,,,
q1-one-fast,34.000,66350,,,,66402,3860,10509,12541,16348,20004,,,,,
q1-one-fast,35.000,67561,,,,67203,4555,10353,12000,14944,16259,,,,,
q1-one-fast,36.000,68223,,,,68350,3484,9807,11577,14519,18008,,,,,
q1-one-fast,37.000,67623,,,,67647,4348,10320,11950,15370,17294,,,,,
q1-one-fast,38.000,67440,,,,67754,3664,10309,11918,14834,16243,,,,,
q1-one-fast,39.000,67961,,,,67574,2889,10114,11662,14307,16482,,,,,
q1-one-fast,40.000,68029,,,,68166,4003,9904,11729,15907,17877,,,,,
q1-one-fast,41.000,67631,,,,67528,3754,9332,11357,15713,17890,,,,,
q1-one-fast,42.000,67816,,,,68048,3991,9624,11659,14782,17367,,,,,
q1-one-fast,43.000,67945,,,,67595,4435,10182,12016,14893,17066,,,,,
q1-one-fast,44.000,67975,,,,68330,3618,9770,11695,15507,17574,,,,,
q1-one-fast,45.000,66800,,,,66812,4114,10211,12245,15679,20563,,,,,
q1-one-fast,46.000,67019,,,,66839,3961,9884,12505,39046,49162,,,,,
q1-one-fast,47.000,68034,,,,67879,4106,10073,12116,15068,17013,,,,,
q1-one-fast,48.000,69000,,,,69209,3638,9369,11226,14194,17706,,,,,
q1-one-fast,49.000,67931,,,,67644,3520,10335,12230,15159,16748,,,,,
q1-one-fast,50.000,70350,,,,70535,3755,9156,10957,14927,16535,,,,,
q1-one-fast,51.000,67265,,,,67375,3389,9914,11645,14787,16995,,,,,
q1-one-fast,52.000,68800,,,,68722,4116,9957,11882,14783,18648,,,,,
q1-one-fast,53.000,68549,,,,68681,4057,9714,11360,14486,16969,,,,,
q1-one-fast,54.000,69989,,,,69891,3977,9266,10905,13316,14869,,,,,
q1-one-fast,55.000,68954,,,,68695,4165,9873,11463,13799,15315,,,,,
q1-one-fast,56.000,66228,,,,66216,4106,10645,12612,15617,17791,,,,,
q1-one-fast,57.000,66487,,,,66661,4186,10348,12527,16043,18318,,,,,
q1-one-fast,58.000,68045,,,,67937,4267,10106,11889,14686,16971,,,,,
q1-one-fast,59.000,68095,,,,68093,3504,9773,11711,15231,18447,,,,,
q1-one-fast,60.000,68447,,,,68379,3846,9854,11865,15191,17556,,,,,
q1-one-fast,61.000,66476,,,,66808,3921,9574,11492,14797,34140,,,,,
q1-one-fast,62.000,66518,,,,66492,4341,10720,12646,15290,17278,,,,,
q1-one-fast,63.000,67852,,,,67633,4652,9944,12453,16770,18901,,,,,
q1-one-fast,64.000,67036,,,,67056,3442,10082,11818,14614,16805,,,,,
q1-one-fast,65.000,68456,,,,68828,3959,9692,11608,15363,17089,,,,,
q1-one-fast,66.000,67407,,,,67031,4386,10307,12274,14503,17870,,,,,
q1-one-fast,67.000,67491,,,,67344,4064,10224,12185,15537,16984,,,,,
q1-one-fast,68.000,66544,,,,66985,3924,10707,12801,15151,17050,,,,,
q1-one-fast,69.000,66168,,,,66040,4352,10539,12546,15478,19053,,,,,
q1-one-fast,70.000,67660,,,,67587,3961,9676,11645,14646,17575,,,,,
q1-one-fast,71.000,67748,,,,67946,4111,10255,12390,15383,19113,,,,,
q1-one-fast,72.000,68290,,,,68130,3467,10119,12092,16136,17927,,,,,
q1-one-fast,73.000,67598,,,,67421,3830,9724,11687,14630,16269,,,,,
q1-one-fast,74.000,68127,,,,68505,4334,10140,11857,14697,16039,,,,,
q1-one-fast,75.000,67506,,,,67129,4160,10197,11976,14625,17346,,,,,
q1-one-fast,76.000,67445,,,,67537,3684,10217,12274,14824,18942,,,,,
q1-one-fast,77.000,68743,,,,68747,3875,9737,11335,13951,16051,,,,,
q1-one-fast,78.000,66687,,,,66661,4296,10568,12617,15481,17275,,,,,
q1-one-fast,79.000,68020,,,,68225,3741,10201,11858,14329,15729,,,,,
q1-one-fast,80.000,67377,,,,67482,4297,9873,12154,15195,17294,,,,,
q1-one-fast,81.000,69885,,,,69881,4234,9804,11422,14164,16199,,,,,
q1-one-fast,82.000,67784,,,,67365,3505,10286,12199,15203,16712,,,,,
q1-one-fast,83.000,68017,,,,68067,3678,9886,11636,14545,16641,,,,,
q1-one-fast,84.000,67132,,,,67396,3755,9978,12022,14903,17909,,,,,
q1-one-fast,85.000,68762,,,,68501,3340,9668,11332,14359,19137,,,,,
q1-one-fast,86.000,68761,,,,69306,4012,9889,11327,13961,16316,,,,,
q1-one-fast,87.000,69346,,,,69101,3854,9312,10715,14111,17286,,,,,
q1-one-fast,88.000,67283,,,,67202,4241,10219,12248,15643,18444,,,,,
q1-one-fast,89.000,68618,,,,68444,4026,9722,11500,14028,15305,,,,,
q1-one-fast,90.000,67388,,,,67331,3912,10150,12128,15439,17000,,,,,
q1-one-fast,91.000,67032,,,,67021,3467,9734,11611,16465,21280,,,,,
q1-one-fast,92.000,66714,,,,66906,3894,10003,11889,15954,38119,,,,,
q1-one-fast,93.000,68554,,,,68437,4216,9743,11398,13363,15424,,,,,
q1-one-fast,94.000,66482,,,,66755,4075,10076,12097,14748,16312,,,,,
q1-one-fast,95.000,69238,,,,69199,3648,9147,11023,14443,18613,,,,,
q1-one-fast,96.000,66833,,,,66791,4244,9920,11774,15123,16980,,,,,
q1-one-fast,97.000,67647,,,,67767,4071,9805,11961,15402,18296,,,,,
q1-one-fast,98.000,66600,,,,66234,4118,10420,12508,15715,17932,,,,,
q1-one-fast,99.000,67145,,,,67424,4338,9969,11883,15819,20054,,,,,
q1-one-fast,100.000,67539,,,,67522,3931,10022,11715,14929,16896,,,,,
q1-one-fast,101.000,68851,,,,68747,4192,9482,11483,14208,16575,,,,,
q1-one-fast,102.000,67321,,,,67423,3438,10209,12461,15415,17233,,,,,
q1-one-fast,103.000,67054,,,,66923,4077,10258,12171,15648,18261,,,,,
q1-one-fast,104.000,67358,,,,67377,4201,9862,11897,15617,18203,,,,,
q1-one-fast,105.000,68813,,,,68783,3993,9590,11472,13908,14865,,,,,
q1-one-fast,106.002,67210,,,,67080,3895,10389,12408,14987,16603,,,,,
q1-one-fast,107.000,67644,,,,67787,4606,9685,11702,17668,29658,,,,,
q1-one-fast,108.000,66002,,,,66000,4522,10802,12602,15647,17815,,,,,
q1-one-fast,109.000,68054,,,,67798,4089,10258,12196,15356,17319,,,,,
q1-one-fast,110.000,67949,,,,68295,3690,9748,11779,14764,16517,,,,,
q1-one-fast,111.000,68459,,,,68087,4378,10217,12147,14528,16911,,,,,
q1-one-fast,112.000,66927,,,,67413,3471,10365,12382,15486,16733,,,,,
q1-one-fast,113.000,67544,,,,67765,4469,10284,12398,14913,16538,,,,,
q1-one-fast,114.000,68401,,,,68245,3905,9773,11432,14492,16870,,,,,
q1-one-fast,115.000,67285,,,,66889,2785,10583,12283,15092,17642,,,,,
q1-one-fast,116.000,68647,,,,68756,4442,9687,11395,14219,15180,,,,,
q1-one-fast,117.000,67007,,,,67120,3486,9945,11766,14878,16577,,,,,
q1-one-fast,118.000,67822,,,,67708,3656,10010,11808,14660,16793,,,,,
q1-one-fast,119.000,68963,,,,68694,4320,9570,11358,14262,16043,,,,,
q1-one-fast,120.000,66608,,,,66971,4210,10350,12297,15442,17165,,,,,
q1-one-fast,121.000,66181,,,,66179,3286,10620,12609,20299,25755,,,,,
q1-one-fast,122.000,65738,,,,65193,3434,10358,12338,42850,54866,,,,,
q1-one-fast,123.000,67374,,,,67776,4326,9774,11687,14407,16969,,,,,
q1-one-fast,124.002,67671,,,,67796,3411,10187,12254,14956,17122,,,,,
q1-one-fast,125.000,65793,,,,65920,3792,10720,12979,16664,18840,,,,,
q1-one-fast,126.000,68404,,,,68494,3444,9627,11544,14815,16415,,,,,
q1-one-fast,127.000,68822,,,,68467,4174,9795,11426,14100,17119,,,,,
q1-one-fast,128.000,65731,,,,65926,3989,10594,12614,16124,18772,,,,,
q1-one-fast,129.000,66375,,,,66512,4038,10371,11969,15239,18300,,,,,
q1-one-fast,130.000,68819,,,,68635,3466,9812,11378,14769,16635,,,,,
q1-one-fast,131.000,67428,,,,67656,4648,10545,12305,14991,16644,,,,,
q1-one-fast,132.000,68555,,,,68265,3856,9299,11508,14458,19153,,,,,
q1-one-fast,133.000,66603,,,,66696,3564,10617,12324,15497,18518,,,,,
q1-one-fast,134.000,68755,,,,68834,3812,10013,11818,14128,15610,,,,,
q1-one-fast,135.000,69001,,,,68792,3328,9861,11533,14100,16252,,,,,
q1-one-fast,136.000,67675,,,,67768,4097,10202,12383,15233,16500,,,,,
q1-one-fast,137.000,68016,,,,67980,4158,9707,11958,14828,17353,,,,,
q1-one-fast,138.000,68189,,,,68042,3471,9873,11856,14297,16011,,,,,
q1-one-fast,139.000,67750,,,,68133,3567,9992,11883,15189,17130,,,,,
q1-one-fast,140.000,69529,,,,69322,3944,9352,11180,14281,16452,,,,,
q1-one-fast,141.000,68334,,,,68505,3739,9598,11556,14385,16360,,,,,
q1-one-fast,142.000,68862,,,,68557,3765,9976,11836,14322,16284,,,,,
q1-one-fast,143.000,69204,,,,69339,3504,9616,11437,14655,16297,,,,,
q1-one-fast,144.000,67081,,,,66992,3541,10365,12086,14975,17577,,,,,
q1-one-fast,145.000,67219,,,,67510,3825,10062,11814,14666,16861,,,,,
q1-one-fast,146.000,69924,,,,69573,4022,9774,11438,14520,16880,,,,,
q1-one-fast,147.000,68979,,,,69190,3809,9669,11156,14016,16220,,,,,
q1-one-fast,148.000,67020,,,,67191,4253,9913,11689,14756,17000,,,,,
q1-one-fast,149.000,68863,,,,68637,4017,9734,11422,13936,14987,,,,,
q1-one-fast,150.000,68103,,,,68316,3722,9781,11672,14944,18247,,,,,
q1-one-fast,151.000,68284,,,,68209,3793,10099,11924,14955,17491,,,,,
q1-one-fast,152.000,67605,,,,67311,4008,10276,11931,16000,18674,,,,,
q1-one-fast,153.000,65959,,,,66037,3292,10298,12132,15608,17665,,,,,
q1-one-fast,154.000,67541,,,,67499,3318,10162,11669,14698,16384,,,,,
q1-one-fast,155.000,67257,,,,67404,3665,10133,11947,14093,16202,,,,,
q1-one-fast,156.000,67970,,,,68096,3787,9964,11602,14618,17477,,,,,
