Linux 6.6.30+ (kylin) 	2026年07月17日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时11分47秒   999     98963   23.00   10.00    0.00    0.00   33.00     3   1028.00      0.00 2673724  121320   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时11分48秒   999     98963  245.00   73.00    0.00    0.00  318.00     3  57932.00      0.00 2729648  160320   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时11分49秒   999     98963  270.00  109.00    0.00    0.00  379.00     3  28351.00      0.00 2719212  153312   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时11分50秒   999     98963  254.00  118.00    0.00    0.00  372.00     3   9313.00      0.00 2717436  152536   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时11分51秒   999     98963  255.00  115.00    0.00    0.00  370.00     3   5242.00      0.00 2717660  153260   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时11分52秒   999     98963  253.00  112.00    0.00    0.00  365.00     3   3657.00      0.00 2719640  154724   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时11分53秒   999     98963  262.00  108.00    0.00    0.00  370.00     3   3447.00      0.00 2718888  154512   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时11分54秒   999     98963  258.00  107.00    0.00    0.00  365.00     3   1870.00      0.00 2718012  154200   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时11分55秒   999     98963  261.00  102.00    0.00    0.00  363.00     3   1675.00      0.00 2718524  154040   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时11分56秒   999     98963  247.00  117.00    0.00    0.00  364.00     3   2083.00      0.00 2718524  155356   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时11分57秒   999     98963  261.00  104.00    0.00    0.00  365.00     3   1498.00      0.00 2719404  155816   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时11分58秒   999     98963  249.00  112.00    0.00    0.00  361.00     3   1422.00      0.00 2719404  155372   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时11分59秒   999     98963  251.00  112.00    0.00    0.00  363.00     3   1610.00      0.00 2719164  155848   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时12分00秒   999     98963  251.00  110.00    0.00    0.00  361.00     3    789.00      0.00 2718652  154800   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时12分01秒   999     98963  258.00  102.00    0.00    0.00  360.00     3   1054.00      0.00 2719676  155768   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时12分02秒   999     98963  240.00  121.00    0.00    0.00  361.00     3    776.00      0.00 2719676  156096   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时12分03秒   999     98963  251.00  110.00    0.00    0.00  361.00     3   1055.00      0.00 2719164  155708   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
