Linux 6.6.30+ (kylin) 	2026年07月17日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时44分36秒   999    112645    4.00    1.00    0.00    0.00    5.00     0    120.00      0.00 2670552  115892   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时44分37秒   999    112645  183.00   54.00    0.00    0.00  237.00     0  58001.00      0.00 2741772  165652   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时44分38秒   999    112645  289.00   90.00    0.00    0.00  379.00     0 104275.00      0.00 2750628  173616   0.53  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时44分39秒   999    112645  256.00  118.00    0.00    0.00  374.00     0  17605.00      0.00 2746864  172288   0.53  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时44分40秒   999    112645  266.00  110.00    0.00    0.00  376.00     0  10358.00      0.00 2746324  171488   0.53  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时44分41秒   999    112645  256.00  112.00    0.00    0.00  368.00     0   4882.00      0.00 2744500  172512   0.53  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时44分42秒   999    112645  265.00  101.00    0.00    0.00  366.00     0   3442.00      0.00 2744276  172212   0.53  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时44分43秒   999    112645  268.00  103.00    0.00    0.00  371.00     0   3568.00      0.00 2743252  171388   0.53  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时44分44秒   999    112645  255.00  109.00    0.00    0.00  364.00     0   2806.00      0.00 2743316  171060   0.53  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时44分45秒   999    112645  249.00  119.00    0.00    0.00  368.00     0   1759.00      0.00 2743092  171108   0.53  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时44分46秒   999    112645  254.00  106.00    0.00    0.00  360.00     0   2625.00      0.00 2739660  169904   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时44分47秒   999    112645  254.00  110.00    0.00    0.00  364.00     0   1442.00      0.00 2738924  169240   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时44分48秒   999    112645  261.00  103.00    0.00    0.00  364.00     0   1340.00      0.00 2738044  168572   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时44分49秒   999    112645  253.00  110.00    0.00    0.00  363.00     0    963.00      0.00 2737356  168164   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时44分50秒   999    112645  254.00  107.00    0.00    0.00  361.00     0    635.00      0.00 2735820  167692   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时44分51秒   999    112645  261.00  106.00    0.00    0.00  367.00     0   1736.00      0.00 2736328  167708   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时44分52秒   999    112645  259.00  109.00    0.00    0.00  368.00     0   1556.00      0.00 2736520  167916   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
