Linux 6.6.30+ (kylin) 	2026年07月17日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时52分49秒   999    114717   31.00   13.00    0.00    0.00   44.00     3   2262.00      0.00 2682256  125412   0.39  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时52分50秒   999    114717  275.00   89.00    0.00    0.00  364.00     3  51553.00      0.00 2717604  151124   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时52分51秒   999    114717  277.00  102.00    0.00    0.00  379.00     3  35925.00      0.00 2719812  150984   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时52分52秒   999    114717  267.00  110.00    0.00    0.00  377.00     3   3985.00      0.00 2719572  150844   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时52分53秒   999    114717  271.00  108.00    0.00    0.00  379.00     3   3476.00      0.00 2719572  151212   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时52分54秒   999    114717  280.00   97.00    0.00    0.00  377.00     3   2022.00      0.00 2718404  151688   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时52分55秒   999    114717  284.00   91.00    0.00    0.00  375.00     3   2431.00      0.00 2717376  150484   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时52分56秒   999    114717  270.00  108.00    0.00    0.00  378.00     3   3309.00      0.00 2715096  149308   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时52分57秒   999    114717  275.00  104.00    0.00    0.00  379.00     3   3620.00      0.00 2711856  149372   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时52分58秒   999    114717  272.00  105.00    0.00    0.00  377.00     3   2949.00      0.00 2711776  148784   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时52分59秒   999    114717  282.00   98.00    0.00    0.00  380.00     3   2606.00      0.00 2710656  148572   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时53分00秒   999    114717  272.00  106.00    0.00    0.00  378.00     3   2931.00      0.00 2712128  149604   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时53分01秒   999    114717  267.00  110.00    0.00    0.00  377.00     3   2533.00      0.00 2711404  149376   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时53分02秒   999    114717  271.00  108.00    0.00    0.00  379.00     3   1656.00      0.00 2711164  150172   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时53分03秒   999    114717  282.00   97.00    0.00    0.00  379.00     3    778.00      0.00 2709900  149056   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时53分04秒   999    114717  274.00  104.00    0.00    0.00  378.00     3    670.00      0.00 2710924  149816   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时53分05秒   999    114717  264.00  114.00    0.00    0.00  378.00     3    745.00      0.00 2711948  150244   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
