Linux 6.6.30+ (kylin) 	2026年07月17日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时17分25秒   999    121483   15.00    8.00    0.00    0.00   23.00     3    654.00      0.00 2671424  119336   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时17分26秒   999    121483  188.00   58.00    0.00    0.00  246.00     3  61472.00      0.00 2741120  169872   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时17分27秒   999    121483  295.00   87.00    0.00    0.00  382.00     3 143397.00      0.00 2786780  200536   0.62  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时17分28秒   999    121483  290.00   88.00    0.00    0.00  378.00     3 112380.00      0.00 2764084  194292   0.60  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时17分29秒   999    121483  271.00  108.00    0.00    0.00  379.00     3  13313.00      0.00 2735328  173368   0.53  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时17分30秒   999    121483  268.00  109.00    0.00    0.00  377.00     3   3267.00      0.00 2734468  171728   0.53  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时17分31秒   999    121483  274.00  105.00    0.00    0.00  379.00     3   3159.00      0.00 2732692  170160   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时17分32秒   999    121483  271.00  107.00    0.00    0.00  378.00     3   3611.00      0.00 2733084  169320   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时17分33秒   999    121483  279.00   98.00    0.00    0.00  377.00     3   2557.00      0.00 2730956  168532   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时17分34秒   999    121483  278.00  100.00    0.00    0.00  378.00     3   2460.00      0.00 2729592  167524   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时17分35秒   999    121483  272.00  105.00    0.00    0.00  377.00     3   2151.00      0.00 2728488  167224   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时17分36秒   999    121483  268.00  104.00    0.00    0.00  372.00     3   5235.00      0.00 2728804  162744   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时17分37秒   999    121483  271.00  108.00    0.00    0.00  379.00     3   2439.00      0.00 2724024  160604   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时17分38秒   999    121483  279.00   98.00    0.00    0.00  377.00     3   3038.00      0.00 2724020  159984   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时17分39秒   999    121483  281.00   99.00    0.00    0.00  380.00     3   2475.00      0.00 2722404  158012   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时17分40秒   999    121483  273.00  105.00    0.00    0.00  378.00     3   2629.00      0.00 2722988  159004   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时17分41秒   999    121483  275.00  102.00    0.00    0.00  377.00     3   2475.00      0.00 2722328  158456   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时17分42秒   999    121483  268.00  111.00    0.00    0.00  379.00     3   2281.00      0.00 2720856  156716   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时17分43秒   999    121483  274.00  105.00    0.00    0.00  379.00     3   1917.00      0.00 2719896  156328   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时17分44秒   999    121483  271.00  106.00    0.00    0.00  377.00     3   1368.00      0.00 2719800  156884   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时17分45秒   999    121483  278.00  101.00    0.00    0.00  379.00     3   1059.00      0.00 2719112  155364   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时17分46秒   999    121483  267.00  111.00    0.00    0.00  378.00     3    804.00      0.00 2717496  155496   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时17分47秒   999    121483  273.00  105.00    0.00    0.00  378.00     3   1341.00      0.00 2717464  154320   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时17分48秒   999    121483  277.00  102.00    0.00    0.00  379.00     3   1074.00      0.00 2716728  153140   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时17分49秒   999    121483  275.00  104.00    0.00    0.00  379.00     3    696.00      0.00 2716792  152804   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时17分50秒   999    121483  273.00  106.00    0.00    0.00  379.00     3    913.00      0.00 2714648  152588   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时17分51秒   999    121483  269.00  100.00    0.00    0.00  369.00     3   6764.00      0.00 2718616  149604   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时17分52秒   999    121483  270.00  110.00    0.00    0.00  380.00     3   3274.00      0.00 2710020  145184   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时17分53秒   999    121483  283.00   97.00    0.00    0.00  380.00     3   2838.00      0.00 2709184  144264   0.44  beam.smp

