Linux 6.6.30+ (kylin) 	2026年07月17日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时33分50秒   999    125685    2.00    2.00    0.00    0.00    4.00     3     19.00      0.00 2669648  117908   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时33分51秒   999    125685   63.00   17.00    0.00    0.00   80.00     3     11.00      0.00 2669648  117908   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时33分52秒   999    125685   45.00   10.00    0.00    0.00   55.00     3      2.00      0.00 2669904  117908   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时33分53秒   999    125685   44.00    9.00    0.00    0.00   53.00     3      0.00      0.00 2669904  117908   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时33分54秒   999    125685   41.00   14.00    0.00    0.00   55.00     3      0.00      0.00 2669904  117908   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时33分55秒   999    125685   44.00   11.00    0.00    0.00   55.00     3     13.00      0.00 2669904  117908   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时33分56秒   999    125685   40.00   13.00    0.00    0.00   53.00     3      0.00      0.00 2669904  117908   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时33分57秒   999    125685   44.00   10.00    0.00    0.00   54.00     3      0.00      0.00 2669904  117908   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时33分58秒   999    125685   42.00   12.00    0.00    0.00   54.00     3      0.00      0.00 2669904  117908   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时33分59秒   999    125685   42.00   12.00    0.00    0.00   54.00     3      0.00      0.00 2669904  117908   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时34分00秒   999    125685   42.00   13.00    0.00    0.00   55.00     3     28.00      0.00 2669904  117908   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时34分01秒   999    125685   38.00   16.00    0.00    0.00   54.00     3      0.00      0.00 2669904  117908   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时34分02秒   999    125685   41.00   13.00    0.00    0.00   54.00     3      0.00      0.00 2669904  117908   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时34分03秒   999    125685   40.00   14.00    0.00    0.00   54.00     3      0.00      0.00 2669904  117908   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时34分04秒   999    125685   45.00    9.00    0.00    0.00   54.00     3      0.00      0.00 2669904  117908   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时34分05秒   999    125685   43.00   11.00    0.00    0.00   54.00     3     76.00      0.00 2670416  118164   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时34分06秒   999    125685   40.00   14.00    0.00    0.00   54.00     3      1.00      0.00 2670416  118164   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
