Linux 6.6.30+ (kylin) 	2026年07月17日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时23分05秒   999    145847   52.00   13.00    0.00    0.00   65.00     0      3.00      0.00 2668528  114528   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时23分06秒   999    145847  181.00   33.00    0.00    0.00  214.00     0  65865.00      0.00 2716760  146280   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时23分07秒   999    145847  172.00   42.00    0.00    0.00  214.00     0  84802.00      0.00 2728956  154036   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时23分08秒   999    145847  175.00   40.00    0.00    0.00  215.00     0  82100.00      0.00 2719208  150292   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时23分09秒   999    145847  173.00   39.00    0.00    0.00  212.00     0  86948.00      0.00 2718332  151072   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时23分10秒   999    145847  162.00   47.00    0.00    0.00  209.00     0  82147.00      0.00 2725828  156196   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时23分11秒   999    145847  170.00   40.00    0.00    0.00  210.00     0  81230.00      0.00 2723264  155672   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时23分12秒   999    145847  163.00   43.00    0.00    0.00  206.00     0  82471.00      0.00 2723448  152092   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时23分13秒   999    145847  169.00   40.00    0.00    0.00  209.00     0  84780.00      0.00 2724216  152596   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时23分14秒   999    145847  169.00   42.00    0.00    0.00  211.00     0  83206.00      0.00 2720832  151148   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时23分15秒   999    145847  171.00   38.00    0.00    0.00  209.00     0  77616.00      0.00 2719476  151376   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时23分16秒   999    145847  172.00   35.00    0.00    0.00  207.00     0  75313.00      0.00 2723188  152432   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时23分17秒   999    145847  167.00   37.00    0.00    0.00  204.00     0  74851.00      0.00 2718416  150952   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时23分18秒   999    145847  175.00   34.00    0.00    0.00  209.00     0  75848.00      0.00 2726220  151940   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时23分19秒   999    145847  164.00   44.00    0.00    0.00  208.00     0  75728.00      0.00 2716152  150712   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时23分20秒   999    145847  163.00   42.00    0.00    0.00  205.00     0  83168.00      0.00 2720192  150184   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时23分21秒   999    145847  170.00   39.00    0.00    0.00  209.00     0  84301.00      0.00 2721252  153008   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
