id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
q5-fill,1.001,49941,,49441,0,,,,,,,258,2356,5677,9600,11531
q5-fill,2.001,59047,,59112,0,,,,,,,354,6526,8141,11391,13111
q5-fill,3.001,61613,,61548,0,,,,,,,371,6692,7766,10641,12624
q5-fill,4.001,59851,,60083,0,,,,,,,522,6682,7947,11483,13152
q5-fill,5.001,59072,,58841,0,,,,,,,383,6954,8507,11580,12842
q5-fill,6.001,58586,,58586,0,,,,,,,436,6811,8208,12143,13536
q5-fill,7.001,58674,,58674,0,,,,,,,353,6898,8340,11536,13078
q5-fill,8.001,59055,,59055,0,,,,,,,420,6846,8752,11526,13015
q5-fill,9.001,58680,,58680,0,,,,,,,479,6896,8793,12054,13315
q5-fill,10.001,60391,,60415,0,,,,,,,373,6834,8219,11554,13378
q5-fill,11.001,60874,,60924,0,,,,,,,545,6880,8055,11423,13218
q5-fill,12.001,59727,,59653,0,,,,,,,360,6879,8393,11543,13615
q5-fill,13.001,59632,,59632,0,,,,,,,462,6873,8333,12065,13431
q5-fill,14.001,59004,,59004,0,,,,,,,384,6875,8572,12517,13844
q5-fill,15.001,58908,,58908,0,,,,,,,468,6792,8796,11903,13557
q5-fill,16.001,58809,,58834,0,,,,,,,454,7001,8782,12337,13791
q5-fill,17.001,58617,,59093,0,,,,,,,468,6880,8476,12072,14060
