4         Threads
25        Connections per thread
300       Seconds


ALL STATS
============================================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p95 Latency     p99 Latency   p99.9 Latency       KB/sec 
--------------------------------------------------------------------------------------------------------------------------------------------
Sets        46950.31          ---          ---         0.83764         0.84700         1.00700         1.71900         2.02300     97795.40 
Gets        46950.16     35103.93     11846.23         0.83211         0.84700         0.99100         1.71100         2.02300     59061.79 
Waits           0.00          ---          ---             ---             ---             ---             ---             ---          --- 
Totals      93900.47     35103.93     11846.23         0.83487         0.84700         0.99900         1.71100         2.02300    156857.19 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.023        0.000
SET       0.471        5.000
SET       0.711       10.000
SET       0.775       15.000
SET       0.799       20.000
SET       0.807       25.000
SET       0.815       30.000
SET       0.823       35.000
SET       0.831       40.000
SET       0.839       45.000
SET       0.847       50.000
SET       0.855       52.500
SET       0.855       55.000
SET       0.855       57.500
SET       0.863       60.000
SET       0.863       62.500
SET       0.871       65.000
SET       0.871       67.500
SET       0.879       70.000
SET       0.887       72.500
SET       0.887       75.000
SET       0.895       76.250
SET       0.895       77.500
SET       0.895       78.750
SET       0.903       80.000
SET       0.903       81.250
SET       0.903       82.500
SET       0.911       83.750
SET       0.911       85.000
SET       0.919       86.250
SET       0.927       87.500
SET       0.927       88.125
SET       0.927       88.750
SET       0.935       89.375
SET       0.935       90.000
SET       0.943       90.625
SET       0.943       91.250
SET       0.951       91.875
SET       0.951       92.500
SET       0.959       93.125
SET       0.967       93.750
SET       0.975       94.062
SET       0.983       94.375
SET       0.991       94.688
SET       1.007       95.000
SET       1.031       95.312
SET       1.079       95.625
SET       1.135       95.938
SET       1.175       96.250
SET       1.215       96.562
SET       1.255       96.875
SET       1.279       97.031
SET       1.311       97.188
SET       1.351       97.344
SET       1.423       97.500
SET       1.535       97.656
SET       1.583       97.812
SET       1.607       97.969
SET       1.631       98.125
SET       1.647       98.281
SET       1.663       98.438
SET       1.671       98.516
SET       1.679       98.594
SET       1.687       98.672
SET       1.695       98.750
SET       1.703       98.828
SET       1.711       98.906
SET       1.719       98.984
SET       1.727       99.062
SET       1.735       99.141
SET       1.743       99.219
SET       1.751       99.258
SET       1.751       99.297
SET       1.759       99.336
SET       1.767       99.375
SET       1.767       99.414
SET       1.775       99.453
SET       1.783       99.492
SET       1.791       99.531
SET       1.799       99.570
SET       1.807       99.609
SET       1.815       99.629
SET       1.815       99.648
SET       1.823       99.668
SET       1.831       99.688
SET       1.831       99.707
SET       1.839       99.727
SET       1.847       99.746
SET       1.855       99.766
SET       1.871       99.785
SET       1.879       99.805
SET       1.895       99.814
SET       1.903       99.824
SET       1.919       99.834
SET       1.951       99.844
SET       1.975       99.854
SET       1.991       99.863
SET       1.999       99.873
SET       2.007       99.883
SET       2.023       99.893
SET       2.031       99.902
SET       2.031       99.907
SET       2.039       99.912
SET       2.039       99.917
SET       2.047       99.922
SET       2.047       99.927
SET       2.063       99.932
SET       2.063       99.937
SET       2.063       99.941
SET       2.079       99.946
SET       2.079       99.951
SET       2.079       99.954
SET       2.095       99.956
SET       2.095       99.958
SET       2.095       99.961
SET       2.095       99.963
SET       2.111       99.966
SET       2.111       99.968
SET       2.127       99.971
SET       2.127       99.973
SET       2.143       99.976
SET       2.143       99.977
SET       2.159       99.978
SET       2.159       99.979
SET       2.159       99.980
SET       2.191       99.982
SET       2.239       99.983
SET       2.319       99.984
SET       2.383       99.985
SET       2.431       99.987
SET       2.463       99.988
SET       2.479       99.988
SET       2.511       99.989
SET       2.575       99.990
SET       2.671       99.990
SET       2.783       99.991
SET       2.831       99.991
SET       2.847       99.992
SET       2.863       99.993
SET       2.895       99.993
SET       2.911       99.994
SET       2.911       99.994
SET       2.927       99.995
SET       2.927       99.995
SET       2.943       99.995
SET       2.943       99.995
SET       2.959       99.996
SET       2.975       99.996
SET       2.991       99.996
SET       3.007       99.997
SET       3.023       99.997
SET       3.023       99.997
SET       3.039       99.997
SET       3.055       99.997
SET       3.103       99.998
SET       3.503       99.998
SET       4.511       99.998
SET       4.639       99.998
SET       4.959       99.998
SET       4.959       99.998
SET       4.959       99.998
SET       4.959       99.999
SET       4.959       99.999
SET       4.959       99.999
SET       4.959       99.999
SET       5.311       99.999
SET       8.255       99.999
SET       8.383       99.999
SET       8.447       99.999
SET       8.447       99.999
SET       8.447       99.999
SET       8.511       99.999
SET      15.807       99.999
SET      15.807       99.999
SET      15.807       99.999
SET      15.807       99.999
SET      15.871       99.999
SET      15.871      100.000
SET      15.871      100.000
SET      15.871      100.000
SET      15.935      100.000
SET      15.935      100.000
SET      15.935      100.000
SET      15.935      100.000
SET      47.103      100.000
SET      47.103      100.000
SET      47.103      100.000
SET      47.103      100.000
SET      47.103      100.000
SET      47.103      100.000
SET      47.103      100.000
SET      47.103      100.000
SET      47.103      100.000
SET      47.103      100.000
SET      47.103      100.000
SET      47.103      100.000
SET      47.103      100.000
SET      47.103      100.000
SET      47.103      100.000
SET      47.103      100.000
SET      47.103      100.000
SET      47.103      100.000
