id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
calibration,1.002,48677,,44681,0,41511,357,45047,101975,162053,269926,365,34387,59592,98638,112450
calibration,2.001,54420,,55223,0,48394,6281,104807,208368,736527,816064,3324,59266,87878,121400,143463
calibration,3.000,52644,,52199,0,48519,9038,181554,295498,748107,815755,6343,67144,95389,142907,163591
calibration,4.000,55814,,55457,0,48358,20276,397225,520834,855531,912535,5466,59198,86639,152774,193224
calibration,5.000,56467,,56512,0,48312,10795,450192,767452,849873,915214,5178,60702,85722,152332,176985
calibration,6.000,47589,,47849,0,58339,12518,501279,855221,1031120,1084453,2891,73468,104351,167963,208860
calibration,7.000,54242,,54081,0,51273,7385,361064,613311,1066688,1143222,1530,64264,91338,139840,204235
calibration,8.000,52784,,52640,0,51682,45053,461273,861723,1059665,1153644,7641,66055,96714,149302,183156
calibration,9.000,52128,,52396,0,51028,100910,536496,785283,895029,931862,6103,69811,91180,139758,191009
calibration,10.000,51710,,51709,0,52293,41805,475394,697437,1006761,1046785,10724,69339,91083,138939,258883
calibration,11.000,50583,,50632,0,53402,23853,444642,665374,983584,1060796,3487,64766,97724,167420,213588
calibration,12.000,50691,,50375,0,53485,4923,424725,579309,1152037,1229432,8803,61884,100623,157954,195768
calibration,13.000,52790,,52997,0,50483,7963,316871,623390,1116828,1221546,2868,65982,94932,150035,175907
calibration,14.000,54726,,54519,0,49254,3489,276268,825309,1073244,1125215,5409,62020,88620,146025,164641
calibration,15.000,56891,,57110,0,44313,9741,514967,961478,1381444,1517785,6443,59748,85005,136756,212188
calibration,16.000,51647,,51429,0,52946,28173,801712,938291,1727371,1753446,4426,63290,103254,161663,202909
calibration,17.000,50649,,50774,0,52488,61768,855570,978525,1883319,1924791,3216,69360,98018,143489,163919
calibration,18.000,53591,,53641,0,51101,18917,910989,1045935,1798564,1882943,3565,63209,98392,146702,177902
calibration,19.000,53696,,53521,0,48236,78532,952263,1145227,1678711,1745805,6643,63484,89193,141971,157250
calibration,20.000,51980,,52343,0,51316,39030,918114,1288942,1424312,1508008,5156,60904,103510,154439,174831
calibration,21.000,51431,,51156,0,54268,6190,580193,1317885,1501519,1563133,7747,63775,100645,182179,227579
calibration,22.000,53444,,53357,0,49868,17744,366465,1347369,1802577,1893431,2943,64608,88370,148634,162380
calibration,23.000,56093,,56108,0,47758,121713,643222,1464593,2303376,2511677,4869,60270,84016,134762,162272
calibration,24.000,52235,,52220,0,49766,117598,687268,1403640,2785636,2927461,3093,64098,91547,149591,175239
calibration,25.000,53556,,53605,0,50259,34063,613596,1530502,2983753,3151286,2480,63163,94239,162606,232215
calibration,26.000,55412,,55363,0,47889,2781,535283,1721615,3181556,3268997,8386,60687,86166,132654,164750
calibration,27.000,54826,,54826,0,49781,230616,1536655,1850307,3238886,3290157,5424,65309,100486,148782,227631
calibration,28.000,49100,,49145,0,53923,48587,607766,2019228,3293463,3370788,4308,64752,99667,157683,225154
calibration,29.000,49744,,49699,0,54619,7359,436450,2182946,3170336,3275769,4482,71642,97859,156512,192800
calibration,30.000,54805,,54868,0,48016,9017,504858,2161611,3240429,3285101,4977,59599,92007,156710,186545
calibration,31.000,50693,,50630,0,55109,14728,606154,2232201,3206331,3238890,7578,66432,103488,157300,189063
calibration,32.000,52543,,52574,0,52604,17872,919130,2291682,3189261,3218817,5219,66269,90984,155850,193126
calibration,33.000,54941,,54910,0,50349,3727,797774,2326751,3307300,3405788,5850,62286,85063,131591,150708
calibration,34.000,53313,,53580,0,49595,92759,792828,2391460,3296177,3327273,9814,66939,89478,137046,200005
calibration,35.000,50448,,50246,0,52754,32687,856063,2345348,3328123,3366088,5480,73451,100146,152964,186098
calibration,36.000,52835,,52977,0,50247,5174,1132441,2561980,3232136,3276759,10428,59107,86300,176932,221495
calibration,37.000,52384,,52336,0,50136,25223,1744140,2627343,3343734,3435505,9260,69241,98064,154945,204442
calibration,38.000,51517,,51358,0,52098,31872,1132299,2579381,3287877,3360942,5786,62548,97606,162833,200907
calibration,39.000,50877,,50877,0,53020,17689,1108624,2415595,3392973,3449536,8875,67430,98847,181952,189371
calibration,40.000,48774,,49082,0,55860,8943,864096,2274320,3416624,3515977,7010,67317,106773,182464,223793
calibration,41.000,52892,,52817,0,51286,171832,693508,2185356,3548756,3618869,4903,63548,92142,154721,185418
calibration,42.000,55266,,55033,0,49193,8465,612183,2357047,3679762,3719511,11335,63822,92534,152058,179375
calibration,43.000,51194,,51382,0,52633,3792,1558761,2423295,3527777,3653068,8368,69163,106710,162177,221948
calibration,44.000,57074,,56885,0,46254,17726,1136389,2502033,3134131,3192061,2511,61152,84786,135624,174067
calibration,45.000,48040,,48150,0,56518,54162,1532843,2648092,3146487,3174786,4828,74966,100642,154579,185680
calibration,46.000,53255,,53145,0,50339,37225,1623352,2573891,3070726,3243249,5930,67837,91965,138509,223203
