id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
warmup,1.001,34804,,34539,0,33994,5339,27996,43305,47306,57900,111,6175,8969,14414,19100
warmup,2.000,61785,,61579,0,62227,1597,5545,7179,17346,33228,2444,7190,7879,9242,15377
warmup,3.000,66769,,66763,0,66834,2353,4893,5508,7076,8810,2303,7187,7900,8906,9806
warmup,4.000,66468,,66458,0,66481,2358,4887,5608,6705,7979,3522,7345,7953,8717,9322
warmup,5.000,65156,,65236,0,65177,1382,5180,5896,7581,9019,2005,7417,8018,9067,9783
warmup,6.000,66257,,66164,0,66189,2697,4813,5536,6651,8282,2717,7338,8023,8953,9615
warmup,7.000,66488,,66489,0,66493,2393,5061,5872,7225,8087,2043,7292,7982,9006,9731
warmup,8.000,66785,,66784,0,66872,2290,4988,5670,6801,8484,837,7234,7824,8777,9311
warmup,9.000,64446,,64446,0,64204,1406,5087,6006,7438,8843,1485,7532,8235,9181,9839
warmup,10.000,63747,,63747,0,63971,1424,5129,5875,7377,9292,387,7630,8311,9385,11417
warmup,11.000,64344,,64345,0,64350,2336,5152,5817,7393,8786,820,7451,8225,9195,9764
warmup,12.000,63220,,63308,0,63109,2189,5010,5807,7388,9461,557,7661,8397,9603,10181
warmup,13.000,64002,,63930,0,64058,2872,5299,6153,7264,8148,3107,7574,8386,9444,9927
warmup,14.000,63996,,63979,0,63938,2114,5181,5869,7553,8653,2174,7552,8223,9276,10000
warmup,15.000,63462,,63462,0,63522,2599,5085,5793,7198,8076,3093,7708,8489,9414,10267
warmup,16.000,65224,,65366,0,65177,2776,5151,5819,6905,7647,2654,7376,8123,9110,10077
warmup,17.000,64224,,64082,0,64329,2580,5107,5750,7278,8426,3279,7622,8263,9350,10084
warmup,18.000,64965,,64966,0,64897,1647,5173,5890,7163,8270,3168,7505,8146,9179,10258
warmup,19.000,65421,,65420,0,65460,2424,4908,5552,6754,7618,2854,7306,8039,8976,9434
warmup,20.000,65614,,65614,0,65595,2843,4839,5491,6594,7392,3228,7397,8123,9144,9966
warmup,21.000,65464,,65464,0,65337,2477,4926,5523,6868,7784,3178,7498,8180,9182,9909
