4         Threads
25        Connections per thread
180       Seconds


ALL STATS
============================================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p95 Latency     p99 Latency   p99.9 Latency       KB/sec 
--------------------------------------------------------------------------------------------------------------------------------------------
Sets        12595.48          ---          ---         0.72293         0.71100         0.74300         1.41500         1.47100     13110.14 
Gets       125951.97    125951.97         0.00         0.72142         0.70300         0.74300         1.41500         1.47100    130483.43 
Waits           0.00          ---          ---             ---             ---             ---             ---             ---          --- 
Totals     138547.45    125951.97         0.00         0.72156         0.70300         0.74300         1.41500         1.47100    143593.57 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.199        0.000
SET       0.687        5.000
SET       0.687       10.000
SET       0.695       15.000
SET       0.695       20.000
SET       0.695       25.000
SET       0.695       30.000
SET       0.703       35.000
SET       0.703       40.000
SET       0.703       45.000
SET       0.711       50.000
SET       0.711       52.500
SET       0.711       55.000
SET       0.711       57.500
SET       0.711       60.000
SET       0.711       62.500
SET       0.711       65.000
SET       0.719       67.500
SET       0.719       70.000
SET       0.719       72.500
SET       0.719       75.000
SET       0.719       76.250
SET       0.719       77.500
SET       0.719       78.750
SET       0.719       80.000
SET       0.727       81.250
SET       0.727       82.500
SET       0.727       83.750
SET       0.727       85.000
SET       0.727       86.250
SET       0.727       87.500
SET       0.727       88.125
SET       0.727       88.750
SET       0.727       89.375
SET       0.735       90.000
SET       0.735       90.625
SET       0.735       91.250
SET       0.735       91.875
SET       0.735       92.500
SET       0.735       93.125
SET       0.743       93.750
SET       0.743       94.062
SET       0.743       94.375
SET       0.743       94.688
SET       0.743       95.000
SET       0.751       95.312
SET       0.751       95.625
SET       0.759       95.938
SET       0.775       96.250
SET       0.791       96.562
SET       0.823       96.875
SET       0.831       97.031
SET       0.839       97.188
SET       0.895       97.344
SET       0.975       97.500
SET       1.351       97.656
SET       1.367       97.812
SET       1.375       97.969
SET       1.383       98.125
SET       1.391       98.281
SET       1.399       98.438
SET       1.399       98.516
SET       1.399       98.594
SET       1.407       98.672
SET       1.407       98.750
SET       1.407       98.828
SET       1.415       98.906
SET       1.415       98.984
SET       1.415       99.062
SET       1.423       99.141
SET       1.423       99.219
SET       1.423       99.258
SET       1.431       99.297
SET       1.431       99.336
SET       1.431       99.375
SET       1.431       99.414
SET       1.439       99.453
SET       1.439       99.492
SET       1.439       99.531
SET       1.439       99.570
SET       1.447       99.609
SET       1.447       99.629
SET       1.447       99.648
SET       1.447       99.668
SET       1.447       99.688
SET       1.447       99.707
SET       1.447       99.727
SET       1.455       99.746
SET       1.455       99.766
SET       1.455       99.785
SET       1.455       99.805
SET       1.455       99.814
SET       1.463       99.824
SET       1.463       99.834
SET       1.463       99.844
SET       1.463       99.854
SET       1.463       99.863
SET       1.463       99.873
SET       1.471       99.883
SET       1.471       99.893
SET       1.471       99.902
SET       1.471       99.907
SET       1.471       99.912
SET       1.479       99.917
SET       1.479       99.922
SET       1.479       99.927
SET       1.479       99.932
SET       1.487       99.937
SET       1.487       99.941
SET       1.487       99.946
SET       1.495       99.951
SET       1.495       99.954
SET       1.503       99.956
SET       1.503       99.958
SET       1.503       99.961
SET       1.511       99.963
SET       1.511       99.966
SET       1.511       99.968
SET       1.519       99.971
SET       1.519       99.973
SET       1.527       99.976
SET       1.527       99.977
SET       1.535       99.978
SET       1.535       99.979
SET       1.535       99.980
SET       1.535       99.982
SET       1.543       99.983
SET       1.543       99.984
SET       1.551       99.985
SET       1.551       99.987
SET       1.559       99.988
SET       1.559       99.988
SET       1.559       99.989
SET       1.559       99.990
SET       1.567       99.990
SET       1.567       99.991
SET       1.567       99.991
SET       1.567       99.992
SET       1.575       99.993
SET       1.575       99.993
SET       1.583       99.994
SET       1.583       99.994
SET       1.583       99.995
SET       1.591       99.995
SET       1.591       99.995
SET       1.599       99.995
SET       1.599       99.996
SET       1.615       99.996
SET       1.615       99.996
SET       1.655       99.997
SET       1.679       99.997
SET       1.679       99.997
SET       1.695       99.997
SET       1.703       99.997
SET       1.703       99.998
SET       1.719       99.998
SET       1.735       99.998
SET       1.807       99.998
SET       1.823       99.998
SET       1.887       99.998
SET       1.967       99.998
SET       1.975       99.999
SET       1.991       99.999
SET       2.007       99.999
SET       2.047       99.999
SET       2.079       99.999
SET       2.095       99.999
SET       2.111       99.999
SET       2.111       99.999
SET       2.127       99.999
SET       2.143       99.999
SET       2.143       99.999
SET       2.159       99.999
SET       2.159       99.999
SET       2.159       99.999
SET       2.175       99.999
SET       2.175       99.999
SET       2.191      100.000
SET       2.191      100.000
SET       2.207      100.000
SET       2.223      100.000
SET       2.223      100.000
SET       2.271      100.000
SET       2.271      100.000
SET       2.383      100.000
SET       2.383      100.000
SET       2.383      100.000
SET       2.431      100.000
SET       2.431      100.000
SET       2.431      100.000
SET       2.431      100.000
SET       2.431      100.000
SET       2.463      100.000
SET       2.463      100.000
SET       2.463      100.000
SET       2.463      100.000
SET       2.463      100.000
SET       2.655      100.000
SET       2.655      100.000
SET       2.655      100.000
SET       2.655      100.000
SET       2.655      100.000
SET       2.735      100.000
SET       2.735      100.000
SET       2.735      100.000
SET       2.735      100.000
SET       2.735      100.000
SET       2.735      100.000
SET       2.735      100.000
