id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
warmup,1.002,35212,,34799,0,34314,433,22134,24329,28363,30283,95,5018,7916,13229,15628
warmup,2.001,54506,,54436,0,55009,299,5607,7605,23813,38377,105,6508,8144,9990,17649
warmup,3.000,60264,,60253,0,60293,2481,5401,6198,8040,9828,214,7987,8917,10146,10811
warmup,4.001,58649,,58664,0,58731,3499,5679,6437,8162,9368,2975,8491,9339,10402,11482
warmup,5.001,60673,,60652,0,60481,2968,6070,7112,9204,11068,378,7895,8657,9837,10878
warmup,6.001,61808,,61875,0,61898,2409,5541,6525,8467,10145,1452,7862,8656,9791,10597
warmup,7.001,58835,,58782,0,58808,2152,5446,6157,7666,8701,3370,8356,9273,10095,10648
warmup,8.001,59026,,59013,0,59075,1818,5543,6478,8769,10424,1341,8283,9166,10124,10602
warmup,9.001,61001,,61000,0,61091,2214,5524,6636,8535,9626,3274,7907,8827,10125,11366
warmup,10.001,61847,,61847,0,61861,2769,5722,6871,8636,9590,2811,7854,8574,9911,10767
warmup,11.001,60977,,60986,0,60843,2536,5562,6525,8035,9713,2729,8008,8813,10039,10648
warmup,12.001,60756,,60747,0,60814,3201,5478,6352,7617,8770,1552,8012,8916,10009,10703
warmup,13.001,63394,,63394,0,63442,2414,5371,6116,7312,8641,2829,7565,8320,9382,10072
warmup,14.001,62049,,62049,0,62061,2729,5591,6517,7830,8548,2695,7860,8704,9489,10141
warmup,15.001,61233,,61233,0,61143,2605,5474,6156,8110,9339,2323,7981,8780,9977,10700
warmup,16.001,62947,,62986,0,62944,2639,5999,7420,9698,11191,3903,7673,8476,9540,10896
warmup,17.001,61020,,60980,0,61129,2287,5599,6448,8058,9347,2648,7959,8844,9963,11401
warmup,18.001,60557,,60658,0,60621,2276,5400,6072,7816,8495,3211,7966,8831,9978,10732
warmup,19.001,62352,,62255,0,62254,2818,5388,6380,8639,9672,3001,7781,8629,9673,10750
warmup,20.001,62413,,62409,0,62315,2360,5672,6609,8763,9971,3943,7746,8547,9743,10537
warmup,21.001,60513,,60513,0,60504,3163,5611,6394,8556,10211,2604,8008,8791,9913,10561
warmup,22.001,62703,,62703,0,62859,3249,5718,6551,8441,9863,1998,7734,8600,9734,10610
warmup,23.001,63247,,63247,0,63173,2847,5247,6085,7254,8295,2846,7688,8402,9444,10158
warmup,24.001,59708,,59711,0,59641,2701,5448,6361,8056,9385,2814,8314,9064,10095,10635
warmup,25.001,62254,,62269,0,62225,2390,5515,6374,7800,8557,3820,7907,8675,9854,10466
warmup,26.001,62100,,62118,0,62204,2217,5444,6314,8409,9791,3633,7859,8656,9774,10449
warmup,27.001,61245,,61214,0,61238,2552,5817,6849,8639,9833,3132,8078,8869,10040,10548
warmup,28.001,61123,,61125,0,60979,3114,5281,6015,7458,8792,3572,7882,8805,9793,10827
warmup,29.001,61593,,61596,0,61645,3038,5552,6363,7818,8660,2532,7828,8659,9932,10873
warmup,30.000,57769,,57759,0,57919,3004,5376,6083,7923,8843,3451,8460,9360,10357,12809
warmup,31.001,60886,,60895,0,60605,2612,5624,6898,8890,10203,3465,8058,8928,10053,11039
warmup,32.000,61653,,61644,0,61757,2737,5679,6415,7857,8886,3533,7907,8785,9788,10578
warmup,33.000,61873,,62018,0,62025,561,5626,6628,8715,9961,172,7548,8506,9859,11214
warmup,34.001,60479,,60334,0,60383,2735,5532,6459,8182,9590,2484,7996,8975,10007,11062
warmup,35.001,58249,,58252,0,58160,2601,5553,6347,8435,9333,3426,8389,9288,10141,11071
warmup,36.001,61041,,61038,0,61191,2619,5424,6128,7816,8857,3994,8003,8896,9854,10623
warmup,37.001,60695,,60699,0,60728,2674,5414,6382,8323,9920,3525,8064,8869,10003,10508
warmup,38.001,61297,,61293,0,61196,1865,5436,6179,7830,10261,3543,7814,8867,9926,10546
