id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
calibration,1.001,49126,,45692,0,35522,481,45967,111339,303116,392097,328,46796,69032,102333,126500
calibration,2.000,49537,,49520,0,50457,5821,233244,357006,430689,461429,3006,67351,97006,146017,185309
calibration,3.000,51640,,51091,0,47137,15088,224152,469844,599149,640744,3404,72157,96912,134468,152990
calibration,4.000,54496,,54519,0,46592,7576,326288,633299,874070,922920,5239,63305,91296,157239,190343
calibration,5.000,50731,,50955,0,50853,7425,482772,695460,1026113,1064072,6967,68132,103947,141280,159260
calibration,6.000,49602,,49355,0,51621,86618,487158,625072,854262,931869,6290,69501,95258,171193,204676
calibration,7.000,50910,,50910,0,51535,29659,476584,665264,1095294,1132887,6350,64811,93846,161963,179417
calibration,8.000,53599,,53599,0,47513,3769,348634,678474,1144282,1232970,8362,66115,96610,145506,175685
calibration,9.000,52732,,52732,0,47566,23860,523998,742394,1318777,1391636,10185,67010,96433,147141,186551
calibration,10.000,52470,,52470,0,48001,175945,541062,775751,1519547,1565936,6627,61184,94239,149637,204623
calibration,11.000,47370,,47402,0,55939,5010,599593,840454,1473213,1526890,8032,69949,100793,208923,231779
calibration,12.000,52017,,52433,0,49443,50190,422336,831934,1687796,1731555,6951,62480,100460,149589,186891
calibration,13.000,48413,,47982,0,53518,27447,405891,946537,1377839,1474609,5844,74904,95385,197880,236759
calibration,14.000,53114,,53597,0,47555,23119,330010,716257,1498096,1641705,7791,65323,89655,137835,167799
calibration,15.000,50303,,49873,0,53448,2217,473481,798161,1623007,1679474,4073,71327,99777,161717,233071
calibration,16.000,49819,,49748,0,54802,8124,321460,626427,1556083,1619897,8025,63539,102216,152985,218494
calibration,17.000,52173,,52173,0,50414,7915,239154,454466,1449011,1495157,4675,70217,97491,133073,165972
calibration,18.000,51776,,52155,0,50269,13790,289277,509582,1390441,1512459,4611,61621,98225,165112,213679
calibration,19.000,57492,,57205,0,44937,13443,333602,886556,1641912,1753565,5152,61656,92055,140142,186619
calibration,20.000,52247,,52320,0,48186,22205,626661,980381,1725389,1865930,3811,58835,89318,163973,240241
calibration,21.000,52532,,52368,0,49522,7459,631194,1176030,2014409,2077934,6756,66573,105820,161572,176224
calibration,22.000,49188,,49188,0,51820,10183,613774,1246239,1992478,2070235,4289,70978,100013,152676,207439
calibration,23.000,51809,,51970,0,49731,7565,698912,1319917,2140760,2169768,4171,66939,99729,156445,180608
calibration,24.000,57847,,57819,0,43775,7567,829407,1316915,2297981,2366224,7227,59028,85944,140853,171527
calibration,25.000,52569,,52436,0,46986,199365,1015079,1729507,2331681,2407970,10735,56390,85650,149312,196630
calibration,26.000,53576,,53671,0,46003,521913,1162799,1918080,2212264,2332299,5299,59948,89479,150912,204819
calibration,27.000,52727,,52632,0,49675,479104,1311005,1904589,2428779,2485623,4177,67284,92019,148005,182758
calibration,28.000,51666,,51666,0,48499,404872,1377252,1955641,2546926,2602018,6744,63584,91801,157399,233332
calibration,29.000,53214,,53214,0,48539,537069,1587579,1914082,2792939,2890329,7663,62294,95495,133435,161046
calibration,30.000,55379,,55489,0,43474,613605,1761386,2099791,2946673,2976182,5661,59391,84544,148517,195327
calibration,31.000,48457,,48347,0,49801,579717,1941369,2430736,2755194,2888600,6007,66613,102194,165713,200588
calibration,32.000,49045,,49068,0,51764,506842,2017687,2422903,2863857,2913486,2151,68343,108434,159360,185096
calibration,33.000,49215,,49516,0,51203,600834,1973480,2391000,2941569,2982812,5053,71267,115267,154930,179207
calibration,34.000,56141,,55877,0,45243,609425,1955219,2842490,3033186,3115770,3167,55812,97799,145731,185439
calibration,35.000,50263,,50808,0,50502,778988,1831384,2429280,3059692,3099130,6107,67520,100068,169445,199161
calibration,36.000,47918,,47634,0,51646,853613,1933266,2755455,3072692,3145451,9631,65664,116596,169652,199691
calibration,37.000,47713,,47480,0,55509,847611,1856577,2663898,3032015,3075624,9179,70824,112804,176232,261978
calibration,38.000,48921,,48993,0,51829,627562,1743028,2449593,2945033,3026251,8048,68992,104957,184310,217791
calibration,39.000,53100,,53108,0,46259,655392,1729950,2436130,2869478,2890942,3351,59591,91850,171355,202845
calibration,40.000,52962,,53014,0,47619,887456,1478903,2456827,2843503,2916581,8244,63557,96574,153860,185998
calibration,41.000,48900,,48679,0,54121,787403,2014175,2492984,2771041,2863622,3928,65690,95728,165515,212083
calibration,42.000,49389,,49397,0,52915,348607,1732475,2562948,2908937,2978001,4356,63437,101854,207024,242929
calibration,43.000,48547,,48539,0,52191,358978,1787592,2508301,3094619,3141351,5634,69199,97318,153922,225643
calibration,44.000,54399,,54399,0,46381,454208,1696324,2447427,3202206,3241837,5840,59101,94704,143262,189881
calibration,45.000,48940,,48940,0,50666,417604,1467668,2629652,3180345,3233629,4417,65031,108243,172779,218388
calibration,46.000,49722,,49722,0,50495,393267,1534214,2645009,3195467,3351766,3675,69144,97215,170277,224653
calibration,47.000,50309,,50309,0,51268,419561,1242478,2556372,3402671,3557746,6920,70050,112347,161341,215060
calibration,48.000,48487,,48634,0,51984,30245,1433654,2589834,3677950,3732379,7942,68496,100113,160964,199834
calibration,49.000,54767,,54620,0,43922,62325,2304519,2647621,3494337,3601230,5262,64189,88954,139850,210114
calibration,50.000,53792,,53902,0,47668,11462,1920337,2678943,3515686,3646371,10351,55949,92675,165027,197224
calibration,51.000,49598,,49488,0,51459,123118,2411396,2700587,3584461,3685828,3995,64387,102741,166902,201733
calibration,52.000,49841,,49841,0,53531,13264,2465021,3094752,3420030,3592910,11374,62054,95553,161913,195533
calibration,53.000,51394,,51394,0,48563,4320,2411515,2961435,3473163,3546776,2734,70095,103482,146986,199484
calibration,54.000,50004,,50317,0,52359,18335,2236402,2766818,3592859,3667378,5977,59891,99391,153999,191964
calibration,55.000,53210,,52896,0,48655,90174,2341053,2737496,3487340,3553688,4826,57318,81001,177527,221232
calibration,56.000,49852,,49917,0,53177,146326,2043403,2531043,3569132,3624178,5719,66386,106069,162018,183018
calibration,57.000,51839,,51879,0,49644,7636,2069349,2343111,3605788,3650379,5027,61940,101650,148899,179900
calibration,58.000,49204,,49099,0,50210,79008,2088066,2411097,3566884,3610856,3854,67421,93780,142392,255055
calibration,59.000,47210,,47210,0,54307,77116,2058888,2511193,3576654,3647716,4497,72623,108602,165930,203969
calibration,60.000,47614,,47614,0,52912,6984,2026553,2401138,3646226,3667752,4164,68354,118270,168911,182716
calibration,61.000,47396,,47500,0,52796,27693,1824938,2404110,3409676,3476599,9535,72022,95090,173110,293363
calibration,62.000,51246,,51197,0,50696,211803,1558752,3173718,3358035,3430202,3556,64832,93499,156802,184896
calibration,63.000,52786,,53145,0,46567,158277,1590479,3062957,3388057,3544742,3948,63322,102403,154681,197881
calibration,64.000,49762,,49352,0,49908,390058,1650395,2946899,3488968,3583903,5753,65803,101779,149701,183577
calibration,65.000,47955,,47951,0,54476,73096,1745355,2878978,3328668,3387058,9200,69038,96412,174486,199963
calibration,66.000,51617,,51617,0,49644,69059,1383696,2674335,3347482,3419340,5084,62944,102864,158700,205436
calibration,67.000,49990,,50038,0,51279,89596,2221232,2933258,3385557,3445934,4731,64758,99766,164460,217191
calibration,68.000,52463,,52415,0,50182,3069,1337168,2718254,3180433,3286993,12339,66356,94620,183596,225667
