4         Threads
25        Connections per thread
180       Seconds


ALL STATS
============================================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p95 Latency     p99 Latency   p99.9 Latency       KB/sec 
--------------------------------------------------------------------------------------------------------------------------------------------
Sets        12422.57          ---          ---         0.73266         0.71900         0.75900         1.43100         1.49500     12930.16 
Gets       124223.25    124223.25         0.00         0.73151         0.71900         0.75900         1.43100         1.48700    128692.51 
Waits           0.00          ---          ---             ---             ---             ---             ---             ---          --- 
Totals     136645.81    124223.25         0.00         0.73162         0.71900         0.75900         1.43100         1.48700    141622.67 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.111        0.000
SET       0.695        5.000
SET       0.695       10.000
SET       0.703       15.000
SET       0.703       20.000
SET       0.703       25.000
SET       0.711       30.000
SET       0.711       35.000
SET       0.711       40.000
SET       0.711       45.000
SET       0.719       50.000
SET       0.719       52.500
SET       0.719       55.000
SET       0.719       57.500
SET       0.719       60.000
SET       0.719       62.500
SET       0.727       65.000
SET       0.727       67.500
SET       0.727       70.000
SET       0.727       72.500
SET       0.727       75.000
SET       0.727       76.250
SET       0.727       77.500
SET       0.735       78.750
SET       0.735       80.000
SET       0.735       81.250
SET       0.735       82.500
SET       0.735       83.750
SET       0.735       85.000
SET       0.735       86.250
SET       0.735       87.500
SET       0.743       88.125
SET       0.743       88.750
SET       0.743       89.375
SET       0.743       90.000
SET       0.743       90.625
SET       0.743       91.250
SET       0.743       91.875
SET       0.743       92.500
SET       0.751       93.125
SET       0.751       93.750
SET       0.751       94.062
SET       0.759       94.375
SET       0.759       94.688
SET       0.759       95.000
SET       0.767       95.312
SET       0.775       95.625
SET       0.791       95.938
SET       0.807       96.250
SET       0.823       96.562
SET       0.847       96.875
SET       0.863       97.031
SET       0.919       97.188
SET       0.967       97.344
SET       1.007       97.500
SET       1.343       97.656
SET       1.383       97.812
SET       1.391       97.969
SET       1.399       98.125
SET       1.407       98.281
SET       1.415       98.438
SET       1.415       98.516
SET       1.415       98.594
SET       1.423       98.672
SET       1.423       98.750
SET       1.423       98.828
SET       1.431       98.906
SET       1.431       98.984
SET       1.439       99.062
SET       1.439       99.141
SET       1.439       99.219
SET       1.447       99.258
SET       1.447       99.297
SET       1.447       99.336
SET       1.447       99.375
SET       1.455       99.414
SET       1.455       99.453
SET       1.455       99.492
SET       1.455       99.531
SET       1.463       99.570
SET       1.463       99.609
SET       1.463       99.629
SET       1.463       99.648
SET       1.463       99.668
SET       1.471       99.688
SET       1.471       99.707
SET       1.471       99.727
SET       1.471       99.746
SET       1.471       99.766
SET       1.479       99.785
SET       1.479       99.805
SET       1.479       99.814
SET       1.479       99.824
SET       1.479       99.834
SET       1.479       99.844
SET       1.487       99.854
SET       1.487       99.863
SET       1.487       99.873
SET       1.487       99.883
SET       1.487       99.893
SET       1.495       99.902
SET       1.495       99.907
SET       1.495       99.912
SET       1.495       99.917
SET       1.503       99.922
SET       1.503       99.927
SET       1.503       99.932
SET       1.511       99.937
SET       1.511       99.941
SET       1.519       99.946
SET       1.519       99.951
SET       1.527       99.954
SET       1.527       99.956
SET       1.527       99.958
SET       1.535       99.961
SET       1.535       99.963
SET       1.543       99.966
SET       1.543       99.968
SET       1.551       99.971
SET       1.551       99.973
SET       1.559       99.976
SET       1.559       99.977
SET       1.567       99.978
SET       1.567       99.979
SET       1.575       99.980
SET       1.575       99.982
SET       1.575       99.983
SET       1.583       99.984
SET       1.583       99.985
SET       1.591       99.987
SET       1.591       99.988
SET       1.599       99.988
SET       1.599       99.989
SET       1.607       99.990
SET       1.607       99.990
SET       1.615       99.991
SET       1.631       99.991
SET       1.639       99.992
SET       1.671       99.993
SET       1.719       99.993
SET       1.759       99.994
SET       1.791       99.994
SET       1.807       99.995
SET       1.831       99.995
SET       1.847       99.995
SET       1.871       99.995
SET       1.903       99.996
SET       1.967       99.996
SET       2.039       99.996
SET       2.095       99.997
SET       2.143       99.997
SET       2.175       99.997
SET       2.191       99.997
SET       2.239       99.997
SET       2.383       99.998
SET       2.431       99.998
SET       2.575       99.998
SET       2.863       99.998
SET       3.359       99.998
SET       3.583       99.998
SET       3.823       99.998
SET       3.967       99.999
SET       3.983       99.999
SET       3.999       99.999
SET       3.999       99.999
SET       4.047       99.999
SET       4.079       99.999
SET       4.159       99.999
SET       4.223       99.999
SET       4.287       99.999
SET       4.287       99.999
SET       4.319       99.999
SET       4.383       99.999
SET       4.383       99.999
SET       4.415       99.999
SET       4.415       99.999
SET       4.415       99.999
SET       4.415      100.000
SET       4.415      100.000
SET       4.447      100.000
SET       4.447      100.000
SET       4.447      100.000
SET       4.511      100.000
SET       4.511      100.000
SET       4.511      100.000
SET       4.511      100.000
SET       6.207      100.000
SET       6.207      100.000
SET       6.207      100.000
SET       6.591      100.000
SET       6.591      100.000
SET       6.591      100.000
SET       6.623      100.000
SET       6.623      100.000
SET       6.623      100.000
SET       6.623      100.000
SET       6.655      100.000
SET       6.655      100.000
SET       6.655      100.000
SET       6.655      100.000
SET       6.655      100.000
SET       6.655      100.000
SET       6.719      100.000
SET       6.719      100.000
SET       6.719      100.000
SET       6.719      100.000
SET       6.719      100.000
SET       6.719      100.000
SET       6.719      100.000
SET       6.719      100.000
SET       6.719      100.000
SET       6.719      100.000
SET       6.911      100.000
SET       6.911      100.000
---
GET       0.103        0.000
GET       0.687        5.000
GET       0.695       10.000
GET       0.703       15.000
GET       0.703       20.000
GET       0.703       25.000
GET       0.711       30.000
GET       0.711       35.000
GET       0.711       40.000
GET       0.711       45.000
GET       0.719       50.000
GET       0.719       52.500
GET       0.719       55.000
GET       0.719       57.500
GET       0.719       60.000
GET       0.719       62.500
GET       0.727       65.000
GET       0.727       67.500
GET       0.727       70.000
GET       0.727       72.500
GET       0.727       75.000
GET       0.727       76.250
GET       0.727       77.500
GET       0.735       78.750
GET       0.735       80.000
GET       0.735       81.250
GET       0.735       82.500
