id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
q3-rate50,1.001,21915,,21580,0,21638,125,1022,3334,8843,11874,219,1080,3275,13889,17813
q3-rate50,2.000,26957,,27293,0,27235,121,343,579,10565,16816,218,531,851,13760,21881
q3-rate50,3.000,24305,,24278,0,24283,102,442,634,832,996,214,684,806,971,1074
q3-rate50,4.000,24271,,24294,0,24293,106,388,578,795,1025,245,601,761,958,1591
q3-rate50,5.000,24299,,24278,0,24285,116,362,535,745,881,227,625,753,940,2555
q3-rate50,6.000,24309,,24312,0,24315,117,359,529,753,1799,195,611,740,923,1907
q3-rate50,7.000,24316,,24315,0,24305,103,403,587,776,897,218,645,786,941,1101
q3-rate50,8.000,24310,,24294,0,24309,129,478,626,859,2532,238,700,806,1003,3367
q3-rate50,9.000,24305,,24332,0,24313,109,317,480,714,900,212,547,707,901,1029
q3-rate50,10.000,24297,,24282,0,24295,104,435,599,780,894,188,678,779,904,1015
q3-rate50,11.000,24292,,24294,0,24281,118,495,646,824,965,210,719,825,984,1647
q3-rate50,12.000,24291,,24316,0,24316,120,487,639,813,908,226,689,803,966,1110
q3-rate50,13.000,24328,,24308,0,24308,100,335,478,699,997,214,560,675,896,1390
q3-rate50,14.000,24303,,24316,0,24318,124,511,664,835,993,221,725,830,976,1115
q3-rate50,15.000,24292,,24276,0,24280,119,522,663,808,960,293,731,833,968,1126
q3-rate50,16.000,24295,,24296,0,24290,126,515,680,828,951,272,737,839,966,1103
q3-rate50,17.000,24299,,24309,0,24313,123,525,668,853,1225,271,738,843,977,1602
q3-rate50,18.000,24296,,24283,0,24279,126,509,674,824,938,297,733,834,978,1110
q3-rate50,19.000,24279,,24290,0,24298,112,531,668,815,995,280,738,835,995,1377
q3-rate50,20.000,24304,,24318,0,24310,144,500,653,813,920,314,731,833,965,1117
q3-rate50,21.000,24303,,24280,0,24286,123,440,622,815,924,232,684,807,949,1018
q3-rate50,22.000,24307,,24318,0,24312,127,472,626,803,961,260,713,819,991,1513
q3-rate50,23.000,24310,,24301,0,24308,118,493,650,828,941,293,724,825,975,1116
q3-rate50,24.000,24280,,24296,0,24292,123,524,688,855,1219,283,737,849,981,1634
q3-rate50,25.000,24319,,24313,0,24310,137,508,662,839,941,272,734,845,991,1471
q3-rate50,26.000,24322,,24307,0,24309,116,425,626,808,1012,202,652,796,941,1113
q3-rate50,27.000,24306,,24307,0,24310,127,517,677,834,923,311,747,850,997,1118
q3-rate50,28.000,24286,,24289,0,24295,120,488,647,837,1335,248,706,825,953,1119
q3-rate50,29.000,24285,,24284,0,24283,129,514,670,834,944,245,731,838,965,1120
q3-rate50,30.000,24301,,24322,0,24312,135,522,677,844,950,303,749,851,1018,2050
q3-rate50,31.000,24308,,24282,0,24290,110,494,650,806,890,240,711,813,949,1087
q3-rate50,32.000,24271,,24296,0,24291,129,513,669,838,998,297,746,837,1007,1594
q3-rate50,33.000,24285,,24288,0,24285,143,525,679,846,934,293,745,846,989,1161
q3-rate50,34.000,24302,,24285,0,24285,118,508,663,815,926,258,744,840,978,1146
q3-rate50,35.000,24311,,24305,0,24314,111,505,663,843,994,226,730,827,972,1505
q3-rate50,36.000,24307,,24313,0,24309,127,503,668,834,965,293,732,833,978,1096
q3-rate50,37.000,24294,,24285,0,24285,129,511,658,828,907,282,745,839,968,1073
q3-rate50,38.000,24283,,24283,0,24288,134,492,665,837,1598,260,752,850,1014,2065
q3-rate50,39.000,24282,,24297,0,24294,129,513,668,843,944,315,750,850,1017,1103
q3-rate50,40.000,24324,,24309,0,24306,118,480,645,853,966,259,712,825,980,1104
q3-rate50,41.000,24295,,24317,0,24317,125,476,635,817,917,213,702,813,972,1135
q3-rate50,42.000,24320,,24311,0,24307,134,524,660,831,1127,314,728,835,980,2551
q3-rate50,43.000,24312,,24309,0,24312,127,508,652,817,934,235,727,825,964,1103
q3-rate50,44.000,24295,,24283,0,24293,134,511,665,832,932,267,724,819,961,1074
q3-rate50,45.000,24305,,24308,0,24300,137,523,664,829,941,308,743,836,969,1133
