Linux 6.6.30+ (kylin) 	07/14/26 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:39:28      999    152546   25.00    6.00    0.00    0.00   31.00     0    879.00      0.00 2703764  144936   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:39:29      999    152546  220.00  100.00    0.00    0.00  320.00     0  24767.00      0.00 2728136  162100   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:39:30      999    152546  235.00  101.00    0.00    0.00  336.00     0   8304.00      0.00 2726692  161356   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:39:31      999    152546  224.00  108.00    0.00    0.00  332.00     0   5418.00      0.00 2727860  162352   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:39:32      999    152546  223.00  112.00    0.00    0.00  335.00     0   5255.00      0.00 2726756  161184   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:39:33      999    152546  222.00  107.00    0.00    0.00  329.00     0   4475.00      0.00 2727208  161900   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:39:34      999    152546  225.00  104.00    0.00    0.00  329.00     0   3446.00      0.00 2726472  162160   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:39:35      999    152546  220.00  109.00    0.00    0.00  329.00     0   2058.00      0.00 2725880  161016   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:39:36      999    152546  224.00  101.00    0.00    0.00  325.00     0   2389.00      0.00 2726936  161352   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:39:37      999    152546  223.00  109.00    0.00    0.00  332.00     0   2041.00      0.00 2726104  160888   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:39:38      999    152546  230.00  100.00    0.00    0.00  330.00     0   2372.00      0.00 2723976  158908   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:39:39      999    152546  227.00  104.00    0.00    0.00  331.00     0   1129.00      0.00 2724312  159672   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:39:40      999    152546  225.00  107.00    0.00    0.00  332.00     0   1363.00      0.00 2723720  159220   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:39:41      999    152546  227.00  103.00    0.00    0.00  330.00     0   1459.00      0.00 2724520  159768   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:39:42      999    152546  230.00   99.00    0.00    0.00  329.00     0   1312.00      0.00 2723416  159304   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:39:43      999    152546  227.00  100.00    0.00    0.00  327.00     0    526.00      0.00 2723336  159120   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:39:44      999    152546  231.00   99.00    0.00    0.00  330.00     0    809.00      0.00 2722744  157968   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:39:45      999    152546  226.00  100.00    0.00    0.00  326.00     0    860.00      0.00 2720472  156820   0.48  beam.smp

