Linux 6.6.30+ (kylin) 	07/14/26 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:40:37      999    153733   54.00   13.00    0.00    0.00   67.00     0    490.00      0.00 2710036  148912   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:40:38      999    153733  179.00   36.00    0.00    0.00  215.00     0  59996.00      0.00 2724036  161620   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:40:39      999    153733   86.00   18.00    0.00    0.00  104.00     0  47370.00      0.00 2719920  155288   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:40:40      999    153733    0.00    0.00    0.00    0.00    0.00     0      2.00      0.00 2717840  153408   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:40:41      999    153733  139.00   50.00    0.00    0.00  189.00     0  46291.00      0.00 2749936  191452   0.59  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:40:42      999    153733   59.00   19.00    0.00    0.00   78.00     0  16049.00      0.00 2756176  193572   0.59  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:40:43      999    153733    1.00    0.00    0.00    0.00    1.00     0     86.00      0.00 2754512  188916   0.58  beam.smp
