Linux 6.6.30+ (kylin) 	07/14/26 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:54:44      999    165229   27.00   13.00    0.00    0.00   40.00     0   1685.00      0.00 2710812  151120   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:54:45      999    165229  241.00   80.00    0.00    0.00  321.00     0  20291.00      0.00 2720316  157724   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:54:46      999    165229  228.00  109.00    0.00    0.00  337.00     0   8820.00      0.00 2719232  157540   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:54:47      999    165229  212.00  117.00    0.00    0.00  329.00     0   5125.00      0.00 2721424  158652   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:54:48      999    165229  213.00  114.00    0.00    0.00  327.00     0   4716.00      0.00 2721056  157140   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:54:49      999    165229  215.00  111.00    0.00    0.00  326.00     0   3873.00      0.00 2720980  157636   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:54:50      999    165229  239.00   92.00    0.00    0.00  331.00     0   2903.00      0.00 2718340  157104   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:54:51      999    165229  237.00   91.00    0.00    0.00  328.00     0   2681.00      0.00 2719556  158360   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:54:52      999    165229  211.00  109.00    0.00    0.00  320.00     0   2188.00      0.00 2717428  156236   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:54:53      999    165229  217.00  106.00    0.00    0.00  323.00     0   2040.00      0.00 2716836  155660   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:54:54      999    165229  218.00  108.00    0.00    0.00  326.00     0   1987.00      0.00 2717524  156096   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:54:55      999    165229  235.00   91.00    0.00    0.00  326.00     0   1975.00      0.00 2715908  155116   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:54:56      999    165229  215.00  108.00    0.00    0.00  323.00     0   2097.00      0.00 2716340  155184   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:54:57      999    165229  229.00   96.00    0.00    0.00  325.00     0   1880.00      0.00 2715092  154368   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:54:58      999    165229  221.00  103.00    0.00    0.00  324.00     0   1968.00      0.00 2715012  153204   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:54:59      999    165229  223.00  101.00    0.00    0.00  324.00     0   2176.00      0.00 2714932  153904   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:55:00      999    165229  225.00  100.00    0.00    0.00  325.00     0   1643.00      0.00 2714852  152980   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:55:01      999    165229  220.00  105.00    0.00    0.00  325.00     0   2350.00      0.00 2712436  151908   0.47  beam.smp

