id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
warmup,1.003,31793,,31294,0,30758,155,5352,12577,22361,26799,86,1593,3461,8701,16287
warmup,2.000,56243,,56245,0,56934,1120,6160,15895,26400,30007,383,7269,8288,10832,15098
warmup,3.000,62892,,62890,0,62855,493,5033,5695,6933,8241,557,7551,8487,9676,10523
warmup,4.000,62891,,62895,0,62884,2659,4950,5690,8148,9771,898,7737,8417,9570,10396
warmup,5.000,61302,,61335,0,61427,2475,5261,5885,7077,8375,3113,7824,8703,9832,10813
warmup,6.000,61392,,61355,0,61317,2312,4984,5694,6897,8477,2038,7899,8701,9643,10253
warmup,7.000,62795,,62795,0,62843,2784,4978,5655,7308,9612,3913,7714,8362,9401,10021
warmup,8.000,61857,,61880,0,61884,2947,5171,5862,7137,7668,656,7810,8604,9639,10137
warmup,9.000,60383,,60365,0,60327,2902,5091,5779,7153,8073,437,8093,8985,9841,10348
warmup,10.000,61035,,61087,0,61056,2339,5130,5885,7408,10743,1809,7929,8849,9739,10380
