Linux 6.6.30+ (kylin) 	07/14/26 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:55:53      999    168227   49.00   17.00    0.00    0.00   66.00     3     74.00      0.00 2703904  148568   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:55:54      999    168227  183.00   33.00    0.00    0.00  216.00     3  57469.00      0.00 2723816  157532   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:55:55      999    168227   98.00   12.00    0.00    0.00  110.00     3  39583.00      0.00 2719164  154168   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:55:56      999    168227    1.00    0.00    0.00    0.00    1.00     3      2.00      0.00 2717484  152756   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:55:57      999    168227  115.00   36.00    0.00    0.00  151.00     3  68746.00      0.00 2768456  193884   0.60  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:55:58      999    168227   94.00   33.00    0.00    0.00  127.00     3  36970.00      0.00 2763800  194040   0.60  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:55:59      999    168227    0.00    0.00    0.00    0.00    0.00     3    101.00      0.00 2763080  191152   0.59  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:56:00      999    168227    1.00    0.00    0.00    0.00    1.00     3     66.00      0.00 2758472  187548   0.58  beam.smp
