id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
warmup,1.002,34811,,34364,0,34039,1788,19230,22163,30946,41009,140,6577,9584,13555,17153
warmup,2.000,52990,,52958,0,53516,2821,6354,11730,20693,25734,1424,8057,9443,12425,15800
warmup,3.000,60155,,60220,0,60086,2383,5101,5772,7029,8617,1997,8087,8820,9900,10671
warmup,4.000,61189,,61110,0,61218,2634,4902,5530,6474,8400,3579,7978,8764,9866,10393
warmup,5.000,60558,,60571,0,60504,2375,5113,5781,6761,7945,3418,7963,8893,10032,10605
warmup,6.000,57831,,57811,0,57935,3107,5097,5577,6595,7344,4523,8524,9324,10270,10843
warmup,7.001,57480,,57480,0,57422,3158,5223,5845,7336,9813,2508,8631,9607,10358,11001
warmup,8.001,58810,,58810,0,58631,2816,5572,6463,9790,12316,493,8032,9029,10189,12381
warmup,9.000,61173,,61185,0,61289,2337,5402,6177,7547,9448,408,7875,8716,9931,10789
warmup,10.000,59624,,59615,0,59722,3049,5042,5664,6724,7732,1757,8102,8955,9873,10626
