id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
warmup,1.001,34473,,33973,0,33625,253,18580,21504,24558,26938,109,5339,9023,12317,13784
warmup,2.000,55158,,55159,0,55682,3976,9408,15589,24384,37383,128,7487,8714,11729,15026
warmup,3.000,62205,,62204,0,62164,2628,6720,7785,10053,11526,520,7827,8689,9824,10505
warmup,4.000,62805,,63028,0,62639,2901,7190,8854,12329,14652,2823,7618,8383,9874,11134
warmup,5.000,61949,,61740,0,62112,3052,6262,7154,8621,9841,2452,7911,8714,9725,10560
warmup,6.000,62716,,62873,0,62791,3776,7693,9463,12213,13059,1858,7648,8449,9783,10819
warmup,7.000,64205,,64034,0,64005,3121,7348,8404,9859,10861,2732,7557,8349,9392,10048
warmup,8.000,61160,,61173,0,61303,2441,6649,7859,9632,10829,2984,7936,8779,9997,10672
warmup,9.000,62433,,62457,0,62313,3348,7191,8694,11506,13039,3395,7801,8770,10049,11339
warmup,10.000,63393,,63368,0,63427,1279,7843,8952,10874,12054,1267,7538,8373,9683,10613
warmup,11.000,63006,,62993,0,63116,2519,7715,9199,11708,12357,3086,7659,8434,9768,10500
warmup,12.000,63476,,63507,0,63237,3166,7722,9019,11197,12534,1278,7609,8463,9673,10963
warmup,13.000,62806,,62802,0,62835,3860,7726,9112,12125,13161,2670,7767,8541,9768,10984
warmup,14.000,62218,,62191,0,62073,2687,7719,9472,12753,16254,3663,7786,8647,10227,11112
warmup,15.000,63614,,63614,0,63884,3310,7068,7950,9270,10202,3677,7531,8318,9519,10087
warmup,16.000,62253,,62253,0,62143,3013,7297,8752,12080,14164,3969,7797,8684,9734,10479
warmup,17.000,62770,,62771,0,62849,3087,6942,8618,10941,12808,3820,7815,8663,9711,10719
warmup,18.000,62328,,62329,0,62331,3111,6368,7445,9843,11473,3091,7911,8679,9732,10389
warmup,19.000,62378,,62376,0,62256,2672,7893,9263,11393,12481,2815,7688,8676,10041,10939
warmup,20.000,62188,,62294,0,62344,2663,7760,9473,12188,14438,2093,7777,8579,9811,11179
warmup,21.000,62146,,62040,0,62016,3167,7567,8606,10612,12129,3456,7732,8737,9784,10505
warmup,22.000,62284,,62374,0,62164,3995,8111,9564,11452,12777,2096,7716,8605,9834,10958
warmup,23.000,62058,,61967,0,62247,3859,7412,8894,12870,15574,3904,7909,8631,9673,11021
warmup,24.000,63554,,63557,0,63525,3467,7496,8839,11092,13103,3984,7536,8467,9962,11358
warmup,25.000,62732,,62800,0,62786,3051,6652,8104,10127,11522,3605,7711,8510,9614,10430
warmup,26.000,62414,,62367,0,62560,3511,7534,8889,10703,12033,3782,7740,8520,9812,10685
warmup,27.000,62321,,62297,0,62076,4058,8339,9477,11735,13384,4285,7751,8709,9914,10844
warmup,28.000,63073,,63079,0,63281,3587,6802,7975,11791,14222,3738,7721,8415,9487,10793
warmup,29.000,62962,,63118,0,62913,3213,6820,8250,10775,12394,3601,7786,8534,9666,10451
warmup,30.000,61703,,61541,0,61776,3626,7994,9554,12760,14148,3191,7947,8806,9977,10850
warmup,31.000,61909,,61909,0,61943,3802,7933,9447,12063,12953,3268,7792,8731,10047,11244
warmup,32.000,63567,,63567,0,63443,3201,7620,9036,11511,12572,3918,7481,8481,9616,10800
warmup,33.000,63298,,63311,0,63150,3576,7690,9417,11683,13269,1303,7422,8295,9699,10475
warmup,34.000,62237,,62224,0,62268,3188,7955,9351,12360,13848,2758,7724,8613,10052,11074
warmup,35.000,62532,,62533,0,62482,3389,7244,9023,13683,15228,3367,7664,8495,9780,10665
warmup,36.000,61935,,61964,0,61877,3646,7646,9531,11772,12929,3167,7833,8590,9871,10776
warmup,37.000,61623,,61595,0,61988,2275,6700,8064,10798,11941,3830,7988,8700,9726,10771
warmup,38.000,62587,,62585,0,62419,2157,7510,8909,11130,13011,3438,7765,8479,9801,10469
warmup,39.000,62980,,62980,0,62751,3372,7807,9123,11297,12353,3522,7750,8552,9816,10640
warmup,40.000,63139,,63203,0,63323,3209,7223,8646,12327,14022,3709,7635,8462,9663,10891
warmup,41.000,63138,,63075,0,63367,3375,6829,8059,10086,10783,3197,7662,8390,9481,10207
warmup,42.000,62946,,62963,0,62625,3495,8438,9560,11356,12855,3033,7667,8477,9750,10512
warmup,43.000,62031,,62026,0,62276,3222,7098,8743,10161,11560,3903,7939,8760,9805,10500
warmup,44.000,63795,,63782,0,63459,3356,6583,7644,9941,11467,3038,7545,8332,9400,10501
warmup,45.000,62816,,62824,0,63009,3711,8128,9213,11125,13585,3415,7630,8391,9609,10420
warmup,46.000,62435,,62427,0,62459,3430,7098,8662,11438,13246,3755,7861,8601,9450,10581
warmup,47.000,63877,,63880,0,63962,3180,8033,9439,12000,14084,3371,7571,8381,9783,10527
warmup,48.000,63827,,63824,0,63754,3612,7655,9083,10839,11884,3439,7625,8417,9754,10467
warmup,49.000,62614,,62614,0,62724,2692,7629,9017,11267,15395,2739,7710,8517,9713,10874
warmup,50.000,63711,,63711,0,63599,3890,8333,9985,13692,16106,2385,7533,8384,10005,12049
warmup,51.000,63054,,63054,0,62993,3170,7737,9402,14449,16898,3290,7662,8376,9545,11039
warmup,52.000,62871,,62871,0,63025,2877,7186,9536,13010,17108,2514,7694,8501,9957,11811
warmup,53.000,61965,,61966,0,62033,3505,9021,10487,12974,15542,3272,7784,8651,10205,11883
warmup,54.000,63266,,63265,0,63011,3031,7707,8987,10925,11991,3525,7640,8307,9572,10261
warmup,55.000,63549,,63615,0,63239,3540,8148,9626,12447,13566,3801,7710,8382,9536,10317
warmup,56.000,62737,,62671,0,62921,3929,8242,10045,11830,13292,3623,7697,8508,9962,10775
warmup,57.000,62698,,62698,0,62863,3160,7413,8898,12150,14391,4649,7644,8420,9639,11457
warmup,58.000,63531,,63531,0,63232,3307,7281,8914,11151,12579,2657,7594,8450,9611,10532
warmup,59.000,62602,,62677,0,62893,3174,7189,8673,10680,12406,3904,7855,8530,9608,10640
warmup,60.000,64040,,63964,0,64262,3471,7601,9080,11292,12086,3324,7614,8435,9501,10443
