4         Threads
25        Connections per thread
15        Seconds


ALL STATS
============================================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p95 Latency     p99 Latency   p99.9 Latency       KB/sec 
--------------------------------------------------------------------------------------------------------------------------------------------
Sets        12467.11          ---          ---         0.73052         0.71100         0.76700         1.42300         1.49500     12976.53 
Gets       124636.66    124636.66         0.00         0.72904         0.71100         0.75900         1.42300         1.49500    129120.79 
Waits           0.00          ---          ---             ---             ---             ---             ---             ---          --- 
Totals     137103.78    124636.66         0.00         0.72918         0.71100         0.75900         1.42300         1.49500    142097.33 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.191        0.000
SET       0.687        5.000
SET       0.695       10.000
SET       0.695       15.000
SET       0.703       20.000
SET       0.703       25.000
SET       0.703       30.000
SET       0.703       35.000
SET       0.711       40.000
SET       0.711       45.000
SET       0.711       50.000
SET       0.711       52.500
SET       0.711       55.000
SET       0.719       57.500
SET       0.719       60.000
SET       0.719       62.500
SET       0.719       65.000
SET       0.727       67.500
SET       0.727       70.000
SET       0.727       72.500
SET       0.727       75.000
SET       0.735       76.250
SET       0.735       77.500
SET       0.735       78.750
SET       0.735       80.000
SET       0.735       81.250
SET       0.735       82.500
SET       0.735       83.750
SET       0.735       85.000
SET       0.743       86.250
SET       0.743       87.500
SET       0.743       88.125
SET       0.743       88.750
SET       0.743       89.375
SET       0.743       90.000
SET       0.743       90.625
SET       0.751       91.250
SET       0.751       91.875
SET       0.751       92.500
SET       0.751       93.125
SET       0.759       93.750
SET       0.759       94.062
SET       0.759       94.375
SET       0.759       94.688
SET       0.767       95.000
SET       0.767       95.312
SET       0.775       95.625
SET       0.775       95.938
SET       0.783       96.250
SET       0.815       96.562
SET       0.831       96.875
SET       0.839       97.031
SET       0.855       97.188
SET       0.919       97.344
SET       0.983       97.500
SET       1.191       97.656
SET       1.375       97.812
SET       1.391       97.969
SET       1.391       98.125
SET       1.399       98.281
SET       1.407       98.438
SET       1.407       98.516
SET       1.407       98.594
SET       1.415       98.672
SET       1.415       98.750
SET       1.415       98.828
SET       1.415       98.906
SET       1.423       98.984
SET       1.423       99.062
SET       1.431       99.141
SET       1.439       99.219
SET       1.439       99.258
SET       1.439       99.297
SET       1.447       99.336
SET       1.447       99.375
SET       1.455       99.414
SET       1.455       99.453
SET       1.455       99.492
SET       1.463       99.531
SET       1.463       99.570
SET       1.471       99.609
SET       1.471       99.629
SET       1.471       99.648
SET       1.471       99.668
SET       1.471       99.688
SET       1.471       99.707
SET       1.471       99.727
SET       1.479       99.746
SET       1.479       99.766
SET       1.479       99.785
SET       1.479       99.805
SET       1.479       99.814
SET       1.487       99.824
SET       1.487       99.834
SET       1.487       99.844
SET       1.487       99.854
SET       1.487       99.863
SET       1.487       99.873
SET       1.495       99.883
SET       1.495       99.893
SET       1.495       99.902
SET       1.495       99.907
SET       1.495       99.912
SET       1.503       99.917
SET       1.503       99.922
SET       1.503       99.927
SET       1.503       99.932
SET       1.511       99.937
SET       1.511       99.941
SET       1.511       99.946
SET       1.519       99.951
SET       1.519       99.954
SET       1.519       99.956
SET       1.527       99.958
SET       1.527       99.961
SET       1.527       99.963
SET       1.535       99.966
SET       1.535       99.968
SET       1.543       99.971
SET       1.543       99.973
SET       1.551       99.976
SET       1.551       99.977
SET       1.551       99.978
SET       1.559       99.979
SET       1.559       99.980
SET       1.559       99.982
SET       1.567       99.983
SET       1.567       99.984
SET       1.575       99.985
SET       1.575       99.987
SET       1.583       99.988
SET       1.583       99.988
SET       1.583       99.989
SET       1.591       99.990
SET       1.591       99.990
SET       1.591       99.991
SET       1.591       99.991
