family,operation,size_mb,metric,unit,protected_median,nvhe_median,gap_protected_minus_nvhe,ratio_protected_over_nvhe,protected_n,nvhe_n
bw_mem,rd,67.11,bandwidth,MB/s,26410.41,26609.38,-198.97,0.992522562,3,3
bw_mem,rdwr,67.11,bandwidth,MB/s,16434.15,15561.48,872.67,1.05607886,3,3
bw_mem,wr,67.11,bandwidth,MB/s,16318.26,17563.17,-1244.91,0.929118149,3,3
bw_mmap_rd,mmap_only,67.11,bandwidth,MB/s,24231.4,24122.52,108.88,1.00451362,3,3
bw_mmap_rd,open2close,67.11,bandwidth,MB/s,8968.18,9585.61,-617.43,0.935587824,3,3
lat_mem_rd,load_stride_128,64.00000,load_latency,ns,3.518,3.477,0.041,1.01179177,3,3
lat_mmap_precise,mmap_write_touch_unmap,0.5,per_iter,us,11.743884,11.49318,0.250704,1.02181328,5,5
lat_mmap_precise,mmap_write_touch_unmap,1,per_iter,us,15.515172,16.720673,-1.205501,0.92790356,5,5
lat_mmap_precise,mmap_write_touch_unmap,16,per_iter,us,168.235718,165.235962,2.999756,1.01815438,5,5
lat_mmap_precise,mmap_write_touch_unmap,2,per_iter,us,23.134652,24.969466,-1.834814,0.926517692,5,5
lat_mmap_precise,mmap_write_touch_unmap,4,per_iter,us,52.428073,40.903754,11.524319,1.28174233,5,5
lat_mmap_precise,mmap_write_touch_unmap,64,per_iter,us,630.540637,631.600887,-1.06025,0.998321329,5,5
lat_mmap_precise,mmap_write_touch_unmap,8,per_iter,us,90.665853,88.048727,2.617126,1.02972361,5,5
mmap_split,mmap_populate_unmap,0.5,per_iter,us,27.764038,28.241097,-0.477059,0.983107632,3,3
mmap_split,mmap_populate_unmap,1,per_iter,us,58.387288,49.161596,9.225692,1.18766055,3,3
mmap_split,mmap_populate_unmap,16,per_iter,us,652.575196,657.733805,-5.158609,0.992156996,3,3
mmap_split,mmap_populate_unmap,2,per_iter,us,90.250928,91.880884,-1.629956,0.982260118,3,3
mmap_split,mmap_populate_unmap,4,per_iter,us,173.371406,173.135145,0.236261,1.0013646,3,3
mmap_split,mmap_populate_unmap,64,per_iter,us,2626.78521,2487.9621,138.82311,1.05579792,3,3
mmap_split,mmap_populate_unmap,8,per_iter,us,335.246582,334.514527,0.732055,1.00218841,3,3
mmap_split,mmap_read_touch_unmap,0.5,per_iter,us,7.158866,9.807341,-2.648475,0.729949739,3,3
mmap_split,mmap_read_touch_unmap,1,per_iter,us,14.013952,15.401281,-1.387329,0.909921194,3,3
mmap_split,mmap_read_touch_unmap,16,per_iter,us,80.551066,108.2323,-27.681234,0.744242393,3,3
mmap_split,mmap_read_touch_unmap,2,per_iter,us,19.870272,21.877987,-2.007715,0.908231274,3,3
mmap_split,mmap_read_touch_unmap,4,per_iter,us,25.902425,36.23428,-10.331855,0.714859658,3,3
mmap_split,mmap_read_touch_unmap,64,per_iter,us,398.596057,388.78418,9.811877,1.02523734,3,3
mmap_split,mmap_read_touch_unmap,8,per_iter,us,58.008851,43.601909,14.406942,1.33041998,3,3
mmap_split,mmap_unmap,0.5,per_iter,us,5.079305,6.077592,-0.998287,0.835743005,3,3
mmap_split,mmap_unmap,1,per_iter,us,3.569738,5.61761,-2.047872,0.635454935,3,3
mmap_split,mmap_unmap,16,per_iter,us,4.520548,7.848063,-3.327515,0.576008118,3,3
mmap_split,mmap_unmap,2,per_iter,us,6.725277,6.795898,-0.070621,0.98960829,3,3
mmap_split,mmap_unmap,4,per_iter,us,7.283339,7.399428,-0.116089,0.984311085,3,3
mmap_split,mmap_unmap,64,per_iter,us,8.30797,10.051137,-1.743167,0.826570168,3,3
mmap_split,mmap_unmap,8,per_iter,us,6.280476,3.462016,2.81846,1.81410947,3,3
