family,operation,size_mb,metric,unit,mode,n,median,mad,mad_pct
bw_mem,rd,67.11,bandwidth,MB/s,nvhe,3,26609.38,1159.81,4.35865
bw_mem,rdwr,67.11,bandwidth,MB/s,nvhe,3,15561.48,53.94,0.346625
bw_mem,wr,67.11,bandwidth,MB/s,nvhe,3,17563.17,38.99,0.221999
bw_mmap_rd,mmap_only,67.11,bandwidth,MB/s,nvhe,3,24122.52,871.47,3.61268
bw_mmap_rd,open2close,67.11,bandwidth,MB/s,nvhe,3,9585.61,106.96,1.11584
lat_mem_rd,load_stride_128,64.00000,load_latency,ns,nvhe,3,3.477,0.011,0.316365
lat_mmap_precise,mmap_write_touch_unmap,0.5,per_iter,us,nvhe,5,11.49318,0.526171,4.57812
lat_mmap_precise,mmap_write_touch_unmap,1,per_iter,us,nvhe,5,16.720673,1.942891,11.6197
lat_mmap_precise,mmap_write_touch_unmap,16,per_iter,us,nvhe,5,165.235962,10.192871,6.16868
lat_mmap_precise,mmap_write_touch_unmap,2,per_iter,us,nvhe,5,24.969466,3.253581,13.0302
lat_mmap_precise,mmap_write_touch_unmap,4,per_iter,us,nvhe,5,40.903754,2.330295,5.69702
lat_mmap_precise,mmap_write_touch_unmap,64,per_iter,us,nvhe,5,631.600887,9.09953,1.44071
lat_mmap_precise,mmap_write_touch_unmap,8,per_iter,us,nvhe,5,88.048727,1.680399,1.90849
mmap_split,mmap_populate_unmap,0.5,per_iter,us,nvhe,3,28.241097,0.658879,2.33305
mmap_split,mmap_populate_unmap,1,per_iter,us,nvhe,3,49.161596,0.804886,1.63723
mmap_split,mmap_populate_unmap,16,per_iter,us,nvhe,3,657.733805,1.809083,0.275048
mmap_split,mmap_populate_unmap,2,per_iter,us,nvhe,3,91.880884,1.888086,2.05493
mmap_split,mmap_populate_unmap,4,per_iter,us,nvhe,3,173.135145,1.924059,1.1113
mmap_split,mmap_populate_unmap,64,per_iter,us,nvhe,3,2487.9621,3.85064,0.154771
mmap_split,mmap_populate_unmap,8,per_iter,us,nvhe,3,334.514527,1.516825,0.453441
mmap_split,mmap_read_touch_unmap,0.5,per_iter,us,nvhe,3,9.807341,1.379729,14.0683
mmap_split,mmap_read_touch_unmap,1,per_iter,us,nvhe,3,15.401281,0.083018,0.539033
mmap_split,mmap_read_touch_unmap,16,per_iter,us,nvhe,3,108.2323,4.150757,3.83504
mmap_split,mmap_read_touch_unmap,2,per_iter,us,nvhe,3,21.877987,1.393994,6.37167
mmap_split,mmap_read_touch_unmap,4,per_iter,us,nvhe,3,36.23428,0.227607,0.628154
mmap_split,mmap_read_touch_unmap,64,per_iter,us,nvhe,3,388.78418,2.797853,0.719642
mmap_split,mmap_read_touch_unmap,8,per_iter,us,nvhe,3,43.601909,1.849081,4.24083
mmap_split,mmap_unmap,0.5,per_iter,us,nvhe,3,6.077592,0.145434,2.39295
mmap_split,mmap_unmap,1,per_iter,us,nvhe,3,5.61761,0.196188,3.49237
mmap_split,mmap_unmap,16,per_iter,us,nvhe,3,7.848063,1.694865,21.596
mmap_split,mmap_unmap,2,per_iter,us,nvhe,3,6.795898,0.73606,10.8309
mmap_split,mmap_unmap,4,per_iter,us,nvhe,3,7.399428,0.259724,3.51006
mmap_split,mmap_unmap,64,per_iter,us,nvhe,3,10.051137,2.15834,21.4736
mmap_split,mmap_unmap,8,per_iter,us,nvhe,3,3.462016,0.54655,15.787
mmap_split,mmap_write_touch_unmap,0.5,per_iter,us,nvhe,3,12.653239,0.316081,2.49802
mmap_split,mmap_write_touch_unmap,1,per_iter,us,nvhe,3,16.21139,0.146367,0.902865
mmap_split,mmap_write_touch_unmap,16,per_iter,us,nvhe,3,158.491414,8.500652,5.36348
mmap_split,mmap_write_touch_unmap,2,per_iter,us,nvhe,3,27.599113,0.151082,0.547416
mmap_split,mmap_write_touch_unmap,4,per_iter,us,nvhe,3,50.918091,0.673869,1.32344
mmap_split,mmap_write_touch_unmap,64,per_iter,us,nvhe,3,534.4869,11.271433,2.10883
mmap_split,mmap_write_touch_unmap,8,per_iter,us,nvhe,3,90.326579,0.390116,0.431895
mmap_split,munmap_after_no_touch,0.5,per_iter,us,nvhe,3,2.071233,0.339677,16.3997
mmap_split,munmap_after_no_touch,1,per_iter,us,nvhe,3,2.30505,0.033753,1.46431
mmap_split,munmap_after_no_touch,16,per_iter,us,nvhe,3,1.616103,0.521383,32.2617
mmap_split,munmap_after_no_touch,2,per_iter,us,nvhe,3,2.489744,0.15638,6.28097
mmap_split,munmap_after_no_touch,4,per_iter,us,nvhe,3,1.616278,0.123229,7.62425
mmap_split,munmap_after_no_touch,64,per_iter,us,nvhe,3,1.665127,0.57681,34.6406
mmap_split,munmap_after_no_touch,8,per_iter,us,nvhe,3,1.571346,0.222559,14.1636
mmap_split,munmap_after_read_touch,0.5,per_iter,us,nvhe,3,4.209315,0.258517,6.14155
mmap_split,munmap_after_read_touch,1,per_iter,us,nvhe,3,5.033021,0.007614,0.151281
mmap_split,munmap_after_read_touch,16,per_iter,us,nvhe,3,25.722399,1.101932,4.28394
mmap_split,munmap_after_read_touch,2,per_iter,us,nvhe,3,7.105395,0.005692,0.0801081
mmap_split,munmap_after_read_touch,4,per_iter,us,nvhe,3,14.764108,0.072787,0.493
mmap_split,munmap_after_read_touch,64,per_iter,us,nvhe,3,114.042007,3.24015,2.84119
mmap_split,munmap_after_read_touch,8,per_iter,us,nvhe,3,20.765301,0.501217,2.41372
mmap_split,munmap_after_write_touch,0.5,per_iter,us,nvhe,3,2.952047,0.099044,3.3551
mmap_split,munmap_after_write_touch,1,per_iter,us,nvhe,3,5.440428,0.920588,16.9212
mmap_split,munmap_after_write_touch,16,per_iter,us,nvhe,3,18.341759,0.184811,1.0076
mmap_split,munmap_after_write_touch,2,per_iter,us,nvhe,3,7.70497,0.831604,10.7931
mmap_split,munmap_after_write_touch,4,per_iter,us,nvhe,3,11.559052,0.99142,8.577
mmap_split,munmap_after_write_touch,64,per_iter,us,nvhe,3,44.74381,0.385583,0.861757
mmap_split,munmap_after_write_touch,8,per_iter,us,nvhe,3,15.495063,0.408925,2.63907
mmap_split,openclose,0.5,per_iter,us,nvhe,3,2.448303,0.016585,0.677408
mmap_split,openclose,1,per_iter,us,nvhe,3,4.661031,0.3237,6.94482
mmap_split,openclose,16,per_iter,us,nvhe,3,7.469075,0.500082,6.69537
mmap_split,openclose,2,per_iter,us,nvhe,3,2.708911,0.010742,0.396543
mmap_split,openclose,4,per_iter,us,nvhe,3,5.210721,1.637383,31.4233
mmap_split,openclose,64,per_iter,us,nvhe,3,8.458253,0.108777,1.28605
mmap_split,openclose,8,per_iter,us,nvhe,3,7.055929,0.057129,0.80966
mmap_split,read_touch_cold,0.5,per_iter,us,nvhe,3,2.790596,0.038652,1.38508
mmap_split,read_touch_cold,1,per_iter,us,nvhe,3,4.957723,0.273954,5.5258
mmap_split,read_touch_cold,16,per_iter,us,nvhe,3,51.332651,2.726673,5.31177
mmap_split,read_touch_cold,2,per_iter,us,nvhe,3,10.29538,0.082445,0.800796
mmap_split,read_touch_cold,4,per_iter,us,nvhe,3,17.27944,0.331152,1.91645
mmap_split,read_touch_cold,64,per_iter,us,nvhe,3,266.588677,4.685094,1.75742
mmap_split,read_touch_cold,8,per_iter,us,nvhe,3,34.402321,0.858659,2.49593
