mode	section	label	rc	thermal_gate_start_mc	thermal_wait_sec	thermal_gate_ready_mc	freq_before_khz	freq_after_khz	thermal_before_mc	thermal_after_mc	command
protected	lat_mmap_precise	file-64-sparse	0	35000	0	35000	578000	578000	36000	35000	'/data/local/tmp/pixel-ported-suite/lat_mmap_precise' '64' '2' '/data/local/tmp/pixel-ported-suite/mb.bin'
protected	mmap_split	mmap_unmap	0	35000	0	35000	648000	578000	36000	35000	'/data/local/tmp/pixel-ported-suite/mmap_split_bench' 'mmap_unmap' '64' '2' '/data/local/tmp/pixel-ported-suite/mb.bin' 10 16 1
protected	mmap_split	write_touch_cold	0	35000	0	35000	357000	1328000	35000	35000	'/data/local/tmp/pixel-ported-suite/mmap_split_bench' 'write_touch_cold' '64' '2' '/data/local/tmp/pixel-ported-suite/mb.bin' 10 16 1
protected	mmap_split	munmap_after_no_touch	0	37000	0	37000	1418000	1795000	35000	36000	'/data/local/tmp/pixel-ported-suite/mmap_split_bench' 'munmap_after_no_touch' '64' '2' '/data/local/tmp/pixel-ported-suite/mb.bin' 10 16 1
protected	mmap_split	munmap_after_write_touch	0	35000	0	35000	648000	1795000	35000	37000	'/data/local/tmp/pixel-ported-suite/mmap_split_bench' 'munmap_after_write_touch' '64' '2' '/data/local/tmp/pixel-ported-suite/mb.bin' 10 16 1
protected	mmap_split	mmap_write_touch_unmap	0	35000	0	35000	1795000	357000	36000	35000	'/data/local/tmp/pixel-ported-suite/mmap_split_bench' 'mmap_write_touch_unmap' '64' '2' '/data/local/tmp/pixel-ported-suite/mb.bin' 10 16 1
protected	munmap_threshold	file-0.25MB-dense	0	36000	0	36000	1549000	578000	36000	35000	'/data/local/tmp/pixel-ported-suite/munmap_only' file '64' '2' '/data/local/tmp/pixel-ported-suite/mb.bin' '0.25' 4
protected	munmap_threshold	file-6.4MB-sparse	0	35000	0	35000	1795000	578000	36000	36000	'/data/local/tmp/pixel-ported-suite/munmap_only' file '64' '2' '/data/local/tmp/pixel-ported-suite/mb.bin' 6.4 16
protected	op_sweep	munmap-file-0.25MB-dense	0	39000	0	39000	578000	648000	35000	37000	'/data/local/tmp/pixel-ported-suite/op_sweep' 'munmap' file '64' '2' '/data/local/tmp/pixel-ported-suite/mb.bin' '0.25' 4
protected	op_sweep	munmap-file-6.4MB-sparse	0	36000	0	36000	578000	648000	36000	36000	'/data/local/tmp/pixel-ported-suite/op_sweep' 'munmap' file '64' '2' '/data/local/tmp/pixel-ported-suite/mb.bin' 6.4 16
protected	backing	file-8MB-sparse	0	35000	0	35000	1328000	578000	38000	36000	'/data/local/tmp/pixel-ported-suite/munmap_only' 'file' '8' '2' '/data/local/tmp/pixel-ported-suite/mb.bin' 6.4 16
protected	backing	file-16MB-sparse	0	36000	0	36000	578000	1549000	35000	36000	'/data/local/tmp/pixel-ported-suite/munmap_only' 'file' '16' '2' '/data/local/tmp/pixel-ported-suite/mb.bin' 6.4 16
protected	backing	file-64MB-sparse	0	35000	0	35000	578000	578000	35000	35000	'/data/local/tmp/pixel-ported-suite/munmap_only' 'file' '64' '2' '/data/local/tmp/pixel-ported-suite/mb.bin' 6.4 16
protected	backing	file-64MB-full	0	36000	0	36000	648000	1795000	36000	36000	'/data/local/tmp/pixel-ported-suite/munmap_only' 'file' 64 '2' '/data/local/tmp/pixel-ported-suite/mb.bin' 64 4
protected	backing	anon_base-8MB-sparse	0	36000	0	36000	357000	1795000	37000	40000	'/data/local/tmp/pixel-ported-suite/munmap_only' 'anon_base' '8' '2' '/data/local/tmp/pixel-ported-suite/mb.bin' 6.4 16
protected	backing	anon_base-16MB-sparse	0	36000	0	36000	578000	1328000	35000	36000	'/data/local/tmp/pixel-ported-suite/munmap_only' 'anon_base' '16' '2' '/data/local/tmp/pixel-ported-suite/mb.bin' 6.4 16
