mode	section	label	rc	thermal_gate_start_mc	thermal_wait_sec	thermal_gate_ready_mc	freq_before_khz	freq_after_khz	thermal_before_mc	thermal_after_mc	command
nvhe	lat_mmap_precise	file-64-sparse	0	36000	0	36000	357000	1549000	35000	37000	'/data/local/tmp/pixel-ported-suite/lat_mmap_precise' '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin'
nvhe	mmap_split	mmap_unmap	0	37000	0	37000	578000	578000	35000	36000	'/data/local/tmp/pixel-ported-suite/mmap_split_bench' 'mmap_unmap' '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' 10 16 1
nvhe	mmap_split	write_touch_cold	0	36000	0	36000	1328000	1795000	37000	36000	'/data/local/tmp/pixel-ported-suite/mmap_split_bench' 'write_touch_cold' '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' 10 16 1
nvhe	mmap_split	munmap_after_no_touch	0	36000	0	36000	1795000	578000	36000	36000	'/data/local/tmp/pixel-ported-suite/mmap_split_bench' 'munmap_after_no_touch' '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' 10 16 1
nvhe	mmap_split	munmap_after_write_touch	0	36000	0	36000	1795000	1549000	36000	36000	'/data/local/tmp/pixel-ported-suite/mmap_split_bench' 'munmap_after_write_touch' '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' 10 16 1
nvhe	mmap_split	mmap_write_touch_unmap	0	36000	0	36000	1795000	1328000	36000	41000	'/data/local/tmp/pixel-ported-suite/mmap_split_bench' 'mmap_write_touch_unmap' '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' 10 16 1
nvhe	munmap_threshold	file-0.25MB-dense	0	36000	0	36000	578000	1221000	35000	36000	'/data/local/tmp/pixel-ported-suite/munmap_only' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '0.25' 4
nvhe	munmap_threshold	file-0.5MB-dense	0	36000	0	36000	578000	578000	37000	37000	'/data/local/tmp/pixel-ported-suite/munmap_only' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '0.5' 4
nvhe	munmap_threshold	file-1MB-dense	0	36000	0	36000	578000	1549000	36000	36000	'/data/local/tmp/pixel-ported-suite/munmap_only' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '1' 4
nvhe	munmap_threshold	file-1.5MB-dense	0	36000	0	36000	1795000	578000	37000	37000	'/data/local/tmp/pixel-ported-suite/munmap_only' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '1.5' 4
nvhe	munmap_threshold	file-1.9MB-dense	0	36000	0	36000	578000	1221000	37000	37000	'/data/local/tmp/pixel-ported-suite/munmap_only' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '1.9' 4
nvhe	munmap_threshold	file-2MB-dense	0	36000	0	36000	578000	1549000	36000	36000	'/data/local/tmp/pixel-ported-suite/munmap_only' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '2' 4
nvhe	munmap_threshold	file-2.1MB-dense	0	37000	0	37000	578000	1795000	36000	37000	'/data/local/tmp/pixel-ported-suite/munmap_only' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '2.1' 4
nvhe	munmap_threshold	file-4MB-dense	0	37000	0	37000	578000	1795000	35000	39000	'/data/local/tmp/pixel-ported-suite/munmap_only' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '4' 4
nvhe	munmap_threshold	file-8MB-dense	0	37000	0	37000	578000	2600000	37000	39000	'/data/local/tmp/pixel-ported-suite/munmap_only' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '8' 4
nvhe	munmap_threshold	file-16MB-dense	0	37000	0	37000	578000	1795000	37000	39000	'/data/local/tmp/pixel-ported-suite/munmap_only' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '16' 4
nvhe	munmap_threshold	file-64MB-dense	0	37000	0	37000	357000	1795000	36000	40000	'/data/local/tmp/pixel-ported-suite/munmap_only' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '64' 4
nvhe	munmap_threshold	file-6.4MB-sparse	0	40000	5	36000	578000	1328000	36000	37000	'/data/local/tmp/pixel-ported-suite/munmap_only' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' 6.4 16
nvhe	op_sweep	munmap-file-0.25MB-dense	0	38000	0	38000	578000	578000	36000	37000	'/data/local/tmp/pixel-ported-suite/op_sweep' 'munmap' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '0.25' 4
nvhe	op_sweep	munmap-file-0.5MB-dense	0	37000	0	37000	578000	1795000	37000	37000	'/data/local/tmp/pixel-ported-suite/op_sweep' 'munmap' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '0.5' 4
nvhe	op_sweep	munmap-file-1MB-dense	0	37000	0	37000	578000	1795000	38000	37000	'/data/local/tmp/pixel-ported-suite/op_sweep' 'munmap' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '1' 4
nvhe	op_sweep	munmap-file-1.5MB-dense	0	37000	0	37000	578000	787000	38000	39000	'/data/local/tmp/pixel-ported-suite/op_sweep' 'munmap' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '1.5' 4
nvhe	op_sweep	munmap-file-1.9MB-dense	0	37000	0	37000	910000	1795000	36000	40000	'/data/local/tmp/pixel-ported-suite/op_sweep' 'munmap' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '1.9' 4
nvhe	op_sweep	munmap-file-2MB-dense	0	40000	5	37000	578000	578000	37000	37000	'/data/local/tmp/pixel-ported-suite/op_sweep' 'munmap' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '2' 4
nvhe	op_sweep	munmap-file-2.1MB-dense	0	37000	0	37000	578000	578000	37000	37000	'/data/local/tmp/pixel-ported-suite/op_sweep' 'munmap' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '2.1' 4
nvhe	op_sweep	munmap-file-4MB-dense	0	36000	0	36000	1795000	1795000	37000	38000	'/data/local/tmp/pixel-ported-suite/op_sweep' 'munmap' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '4' 4
nvhe	op_sweep	munmap-file-8MB-dense	0	37000	0	37000	578000	1418000	37000	39000	'/data/local/tmp/pixel-ported-suite/op_sweep' 'munmap' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '8' 4
