mode	section	label	rc	thermal_gate_start_mc	thermal_wait_sec	thermal_gate_ready_mc	freq_before_khz	freq_after_khz	thermal_before_mc	thermal_after_mc	command
protected	lat_mmap_precise	file-64-sparse	0	36000	0	36000	578000	1795000	35000	37000	'/data/local/tmp/pixel-ported-suite/lat_mmap_precise' '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin'
protected	mmap_split	mmap_unmap	0	35000	0	35000	648000	1795000	35000	36000	'/data/local/tmp/pixel-ported-suite/mmap_split_bench' 'mmap_unmap' '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' 10 16 1
protected	mmap_split	write_touch_cold	0	35000	0	35000	578000	1549000	35000	35000	'/data/local/tmp/pixel-ported-suite/mmap_split_bench' 'write_touch_cold' '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' 10 16 1
protected	mmap_split	munmap_after_no_touch	0	35000	0	35000	910000	648000	35000	36000	'/data/local/tmp/pixel-ported-suite/mmap_split_bench' 'munmap_after_no_touch' '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' 10 16 1
protected	mmap_split	munmap_after_write_touch	0	35000	0	35000	578000	578000	35000	36000	'/data/local/tmp/pixel-ported-suite/mmap_split_bench' 'munmap_after_write_touch' '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' 10 16 1
protected	mmap_split	mmap_write_touch_unmap	0	37000	0	37000	578000	1945000	35000	35000	'/data/local/tmp/pixel-ported-suite/mmap_split_bench' 'mmap_write_touch_unmap' '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' 10 16 1
protected	munmap_threshold	file-0.25MB-dense	0	36000	0	36000	1549000	648000	36000	37000	'/data/local/tmp/pixel-ported-suite/munmap_only' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '0.25' 4
protected	munmap_threshold	file-0.5MB-dense	0	35000	0	35000	787000	578000	37000	35000	'/data/local/tmp/pixel-ported-suite/munmap_only' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '0.5' 4
protected	munmap_threshold	file-1MB-dense	0	35000	0	35000	578000	578000	36000	36000	'/data/local/tmp/pixel-ported-suite/munmap_only' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '1' 4
protected	munmap_threshold	file-1.5MB-dense	0	37000	0	37000	578000	357000	36000	36000	'/data/local/tmp/pixel-ported-suite/munmap_only' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '1.5' 4
protected	munmap_threshold	file-1.9MB-dense	0	36000	0	36000	648000	648000	35000	36000	'/data/local/tmp/pixel-ported-suite/munmap_only' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '1.9' 4
protected	munmap_threshold	file-2MB-dense	0	36000	0	36000	578000	1795000	36000	37000	'/data/local/tmp/pixel-ported-suite/munmap_only' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '2' 4
protected	munmap_threshold	file-2.1MB-dense	0	36000	0	36000	910000	1795000	36000	36000	'/data/local/tmp/pixel-ported-suite/munmap_only' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '2.1' 4
protected	munmap_threshold	file-4MB-dense	0	36000	0	36000	357000	1795000	35000	36000	'/data/local/tmp/pixel-ported-suite/munmap_only' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '4' 4
protected	munmap_threshold	file-8MB-dense	0	36000	0	36000	578000	1549000	36000	37000	'/data/local/tmp/pixel-ported-suite/munmap_only' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '8' 4
protected	munmap_threshold	file-16MB-dense	0	39000	5	35000	578000	1418000	35000	37000	'/data/local/tmp/pixel-ported-suite/munmap_only' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '16' 4
protected	munmap_threshold	file-64MB-dense	0	37000	0	37000	1795000	1795000	36000	40000	'/data/local/tmp/pixel-ported-suite/munmap_only' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '64' 4
protected	munmap_threshold	file-6.4MB-sparse	0	41000	5	36000	648000	1065000	36000	36000	'/data/local/tmp/pixel-ported-suite/munmap_only' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' 6.4 16
protected	op_sweep	munmap-file-0.25MB-dense	0	37000	0	37000	1065000	910000	36000	36000	'/data/local/tmp/pixel-ported-suite/op_sweep' 'munmap' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '0.25' 4
protected	op_sweep	munmap-file-0.5MB-dense	0	36000	0	36000	578000	578000	37000	37000	'/data/local/tmp/pixel-ported-suite/op_sweep' 'munmap' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '0.5' 4
protected	op_sweep	munmap-file-1MB-dense	0	36000	0	36000	1418000	578000	35000	36000	'/data/local/tmp/pixel-ported-suite/op_sweep' 'munmap' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '1' 4
protected	op_sweep	munmap-file-1.5MB-dense	0	39000	5	36000	578000	578000	35000	36000	'/data/local/tmp/pixel-ported-suite/op_sweep' 'munmap' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '1.5' 4
protected	op_sweep	munmap-file-1.9MB-dense	0	36000	0	36000	578000	357000	37000	37000	'/data/local/tmp/pixel-ported-suite/op_sweep' 'munmap' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '1.9' 4
protected	op_sweep	munmap-file-2MB-dense	0	35000	0	35000	578000	1795000	37000	37000	'/data/local/tmp/pixel-ported-suite/op_sweep' 'munmap' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '2' 4
protected	op_sweep	munmap-file-2.1MB-dense	0	36000	0	36000	578000	1795000	39000	38000	'/data/local/tmp/pixel-ported-suite/op_sweep' 'munmap' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '2.1' 4
protected	op_sweep	munmap-file-4MB-dense	0	37000	0	37000	578000	1795000	36000	36000	'/data/local/tmp/pixel-ported-suite/op_sweep' 'munmap' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '4' 4
protected	op_sweep	munmap-file-8MB-dense	0	36000	0	36000	1418000	1795000	37000	37000	'/data/local/tmp/pixel-ported-suite/op_sweep' 'munmap' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '8' 4
protected	op_sweep	munmap-file-16MB-dense	0	38000	0	38000	1795000	1549000	37000	37000	'/data/local/tmp/pixel-ported-suite/op_sweep' 'munmap' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '16' 4
protected	op_sweep	munmap-file-64MB-dense	0	38000	0	38000	1418000	1418000	39000	40000	'/data/local/tmp/pixel-ported-suite/op_sweep' 'munmap' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '64' 4
protected	op_sweep	munmap-file-6.4MB-sparse	0	38000	0	38000	1549000	1221000	39000	38000	'/data/local/tmp/pixel-ported-suite/op_sweep' 'munmap' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' 6.4 16
protected	op_sweep	dontneed-file-0.25MB-dense	0	37000	0	37000	578000	578000	37000	37000	'/data/local/tmp/pixel-ported-suite/op_sweep' 'dontneed' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '0.25' 4
protected	op_sweep	dontneed-file-0.5MB-dense	0	37000	0	37000	578000	1328000	38000	37000	'/data/local/tmp/pixel-ported-suite/op_sweep' 'dontneed' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '0.5' 4
protected	op_sweep	dontneed-file-1MB-dense	0	37000	0	37000	648000	1549000	38000	37000	'/data/local/tmp/pixel-ported-suite/op_sweep' 'dontneed' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '1' 4
protected	op_sweep	dontneed-file-1.5MB-dense	0	40000	5	36000	578000	1945000	36000	37000	'/data/local/tmp/pixel-ported-suite/op_sweep' 'dontneed' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '1.5' 4
protected	op_sweep	dontneed-file-1.9MB-dense	0	36000	0	36000	578000	1795000	37000	36000	'/data/local/tmp/pixel-ported-suite/op_sweep' 'dontneed' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '1.9' 4
protected	op_sweep	dontneed-file-2MB-dense	0	36000	0	36000	1795000	1795000	36000	36000	'/data/local/tmp/pixel-ported-suite/op_sweep' 'dontneed' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '2' 4
protected	op_sweep	dontneed-file-2.1MB-dense	0	37000	0	37000	578000	1795000	37000	36000	'/data/local/tmp/pixel-ported-suite/op_sweep' 'dontneed' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '2.1' 4
protected	op_sweep	dontneed-file-4MB-dense	0	36000	0	36000	578000	1549000	36000	37000	'/data/local/tmp/pixel-ported-suite/op_sweep' 'dontneed' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '4' 4
protected	op_sweep	dontneed-file-8MB-dense	0	36000	0	36000	357000	1328000	36000	37000	'/data/local/tmp/pixel-ported-suite/op_sweep' 'dontneed' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '8' 4
protected	op_sweep	dontneed-file-16MB-dense	0	37000	0	37000	1795000	1795000	36000	39000	'/data/local/tmp/pixel-ported-suite/op_sweep' 'dontneed' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '16' 4
protected	op_sweep	dontneed-file-64MB-dense	0	40000	5	37000	578000	1945000	36000	39000	'/data/local/tmp/pixel-ported-suite/op_sweep' 'dontneed' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '64' 4
protected	op_sweep	dontneed-file-6.4MB-sparse	0	38000	0	38000	578000	1328000	41000	38000	'/data/local/tmp/pixel-ported-suite/op_sweep' 'dontneed' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' 6.4 16
protected	op_sweep	mprotect-file-0.25MB-dense	0	37000	0	37000	578000	1795000	36000	38000	'/data/local/tmp/pixel-ported-suite/op_sweep' 'mprotect' file '64' '200' '/data/local/tmp/pixel-ported-suite/mb.bin' '0.25' 4
