mode,family,source,section,label,operation,mapping,size_mb,touch_mb,stride_kb,timed,iters,mean_us,min_us,per_iter_us,per_touch_ns,huge_anon_kb,huge_shmem_kb,huge_file_kb
protected,lat_mmap,lat_mmap_precise.txt,lat_mmap_precise,file-64-sparse,lat_mmap_precise,file,64,6.4,16,,200,,,678.844810,,,,
protected,munmap_threshold,munmap_threshold.txt,munmap_threshold,file-0.25MB-dense,munmap,file,64,0.250,4,,,22.4,7.4,,,,,
protected,munmap_threshold,munmap_threshold.txt,munmap_threshold,file-0.5MB-dense,munmap,file,64,0.500,4,,,28.1,15.1,,,,,
protected,munmap_threshold,munmap_threshold.txt,munmap_threshold,file-1MB-dense,munmap,file,64,1.000,4,,,45.6,23.2,,,,,
protected,munmap_threshold,munmap_threshold.txt,munmap_threshold,file-1.5MB-dense,munmap,file,64,1.500,4,,,52.9,29.5,,,,,
protected,munmap_threshold,munmap_threshold.txt,munmap_threshold,file-1.9MB-dense,munmap,file,64,1.900,4,,,59.6,36.5,,,,,
protected,munmap_threshold,munmap_threshold.txt,munmap_threshold,file-2MB-dense,munmap,file,64,2.000,4,,,49.6,38.2,,,,,
protected,munmap_threshold,munmap_threshold.txt,munmap_threshold,file-2.1MB-dense,munmap,file,64,2.100,4,,,47.1,39.6,,,,,
protected,munmap_threshold,munmap_threshold.txt,munmap_threshold,file-4MB-dense,munmap,file,64,4.000,4,,,87.1,72.2,,,,,
protected,munmap_threshold,munmap_threshold.txt,munmap_threshold,file-8MB-dense,munmap,file,64,8.000,4,,,153.3,138.8,,,,,
protected,munmap_threshold,munmap_threshold.txt,munmap_threshold,file-16MB-dense,munmap,file,64,16.000,4,,,285.5,277.8,,,,,
protected,munmap_threshold,munmap_threshold.txt,munmap_threshold,file-64MB-dense,munmap,file,64,64.000,4,,,1095.7,1069.5,,,,,
protected,munmap_threshold,munmap_threshold.txt,munmap_threshold,file-6.4MB-sparse,munmap,file,64,6.400,16,,,54.3,32.4,,,,,
protected,op_sweep,op_sweep.txt,op_sweep,munmap-file-0.25MB-dense,munmap,file,64,0.250,4,,,38.9,13.0,,,,,
protected,op_sweep,op_sweep.txt,op_sweep,munmap-file-0.5MB-dense,munmap,file,64,0.500,4,,,34.5,15.9,,,,,
protected,op_sweep,op_sweep.txt,op_sweep,munmap-file-1MB-dense,munmap,file,64,1.000,4,,,36.9,19.6,,,,,
protected,op_sweep,op_sweep.txt,op_sweep,munmap-file-1.5MB-dense,munmap,file,64,1.500,4,,,52.4,28.5,,,,,
protected,op_sweep,op_sweep.txt,op_sweep,munmap-file-1.9MB-dense,munmap,file,64,1.900,4,,,58.4,34.5,,,,,
protected,op_sweep,op_sweep.txt,op_sweep,munmap-file-2MB-dense,munmap,file,64,2.000,4,,,57.6,39.2,,,,,
protected,op_sweep,op_sweep.txt,op_sweep,munmap-file-2.1MB-dense,munmap,file,64,2.100,4,,,58.7,40.4,,,,,
protected,op_sweep,op_sweep.txt,op_sweep,munmap-file-4MB-dense,munmap,file,64,4.000,4,,,76.1,70.7,,,,,
protected,op_sweep,op_sweep.txt,op_sweep,munmap-file-8MB-dense,munmap,file,64,8.000,4,,,151.4,139.4,,,,,
protected,op_sweep,op_sweep.txt,op_sweep,munmap-file-16MB-dense,munmap,file,64,16.000,4,,,291.8,276.9,,,,,
protected,op_sweep,op_sweep.txt,op_sweep,munmap-file-64MB-dense,munmap,file,64,64.000,4,,,1089.2,1066.5,,,,,
protected,op_sweep,op_sweep.txt,op_sweep,munmap-file-6.4MB-sparse,munmap,file,64,6.400,16,,,42.9,36.1,,,,,
protected,op_sweep,op_sweep.txt,op_sweep,dontneed-file-0.25MB-dense,dontneed,file,64,0.250,4,,,20.6,6.1,,,,,
protected,op_sweep,op_sweep.txt,op_sweep,dontneed-file-0.5MB-dense,dontneed,file,64,0.500,4,,,33.1,12.9,,,,,
protected,op_sweep,op_sweep.txt,op_sweep,dontneed-file-1MB-dense,dontneed,file,64,1.000,4,,,40.4,18.1,,,,,
protected,op_sweep,op_sweep.txt,op_sweep,dontneed-file-1.5MB-dense,dontneed,file,64,1.500,4,,,45.5,27.3,,,,,
protected,op_sweep,op_sweep.txt,op_sweep,dontneed-file-1.9MB-dense,dontneed,file,64,1.900,4,,,40.9,32.8,,,,,
protected,op_sweep,op_sweep.txt,op_sweep,dontneed-file-2MB-dense,dontneed,file,64,2.000,4,,,53.4,35.2,,,,,
