mode,probe_mode,touch,pages,thermal_gate_ready_mc,event,count
nvhe,single,touched,4096,36000,task-clock,220.273072
nvhe,single,touched,4096,36000,cpu-cycles,568500838
nvhe,single,touched,4096,36000,instructions,744117312
nvhe,single,touched,4096,36000,stalled-cycles-backend,362981067
nvhe,single,touched,4096,36000,page-faults,123201
protected,single,touched,4096,35000,task-clock,291.713866
protected,single,touched,4096,35000,cpu-cycles,657753337
protected,single,touched,4096,35000,instructions,753757474
protected,single,touched,4096,35000,stalled-cycles-backend,444603460
protected,single,touched,4096,35000,page-faults,123206
