env,run,bench_mode,size_mb,iters,warmups,timed,touch_divisor,stride_kb,touch_bytes,touches_per_iter,total_ns,per_iter_ns,per_iter_us,per_touch_ns,sink
protected,1,openclose,0.5,10000,1,openclose,10,16,52428,4,54036825,5403.682,5.403682,0.000,0
protected,2,openclose,0.5,10000,1,openclose,10,16,52428,4,57774048,5777.405,5.777405,0.000,0
protected,3,openclose,0.5,10000,1,openclose,10,16,52428,4,56246745,5624.675,5.624675,0.000,0
protected,1,mmap_unmap,0.5,10000,1,mmap_unmap,10,16,52428,4,33754354,3375.435,3.375435,0.000,0
protected,2,mmap_unmap,0.5,10000,1,mmap_unmap,10,16,52428,4,50793050,5079.305,5.079305,0.000,0
protected,3,mmap_unmap,0.5,10000,1,mmap_unmap,10,16,52428,4,54988485,5498.849,5.498849,0.000,0
protected,1,mmap_populate_unmap,0.5,10000,1,mmap_populate_unmap,10,16,52428,4,253850342,25385.034,25.385034,0.000,0
protected,2,mmap_populate_unmap,0.5,10000,1,mmap_populate_unmap,10,16,52428,4,283925090,28392.509,28.392509,0.000,0
protected,3,mmap_populate_unmap,0.5,10000,1,mmap_populate_unmap,10,16,52428,4,277640381,27764.038,27.764038,0.000,0
protected,1,mmap_write_touch_unmap,0.5,10000,1,mmap_write_touch_unmap,10,16,52428,4,90535075,9053.507,9.053508,2263.377,0
protected,2,mmap_write_touch_unmap,0.5,10000,1,mmap_write_touch_unmap,10,16,52428,4,89534668,8953.467,8.953467,2238.367,0
protected,3,mmap_write_touch_unmap,0.5,10000,1,mmap_write_touch_unmap,10,16,52428,4,158348836,15834.884,15.834884,3958.721,0
protected,1,mmap_read_touch_unmap,0.5,10000,1,mmap_read_touch_unmap,10,16,52428,4,105688396,10568.840,10.568840,2642.210,0
protected,2,mmap_read_touch_unmap,0.5,10000,1,mmap_read_touch_unmap,10,16,52428,4,63129679,6312.968,6.312968,1578.242,0
protected,3,mmap_read_touch_unmap,0.5,10000,1,mmap_read_touch_unmap,10,16,52428,4,71588663,7158.866,7.158866,1789.717,0
protected,1,write_touch_cold,0.5,10000,1,write_touch_cold,10,16,52428,4,53250156,5325.016,5.325016,1331.254,0
protected,2,write_touch_cold,0.5,10000,1,write_touch_cold,10,16,52428,4,57350317,5735.032,5.735032,1433.758,0
protected,3,write_touch_cold,0.5,10000,1,write_touch_cold,10,16,52428,4,60168469,6016.847,6.016847,1504.212,0
protected,1,read_touch_cold,0.5,10000,1,read_touch_cold,10,16,52428,4,28248017,2824.802,2.824802,706.200,0
protected,2,read_touch_cold,0.5,10000,1,read_touch_cold,10,16,52428,4,29314295,2931.430,2.931430,732.857,0
