family,operation,size_mb,metric,unit,protected_median,nvhe_median,gap_protected_minus_nvhe,ratio_protected_over_nvhe,protected_n,nvhe_n
bw_mem,rd,67.11,bandwidth,MB/s,26358.55,26983.86,-625.31,0.976826518,5,5
bw_mem,rdwr,67.11,bandwidth,MB/s,16434.15,15848.12,586.03,1.03697789,5,5
bw_mem,wr,67.11,bandwidth,MB/s,17102.16,17563.17,-461.01,0.973751322,5,5
bw_mmap_rd,mmap_only,67.11,bandwidth,MB/s,24074.93,24122.52,-47.59,0.998027155,5,5
bw_mmap_rd,open2close,67.11,bandwidth,MB/s,9220.78,9585.61,-364.83,0.961939824,5,5
lat_mem_rd,load_stride_128,64.00000,load_latency,ns,3.523,3.471,0.052,1.01498127,5,5
lat_mmap_precise,mmap_write_touch_unmap,0.5,per_iter,us,11.743884,11.49318,0.250704,1.02181328,5,5
lat_mmap_precise,mmap_write_touch_unmap,1,per_iter,us,15.515172,16.720673,-1.205501,0.92790356,5,5
lat_mmap_precise,mmap_write_touch_unmap,16,per_iter,us,168.235718,165.235962,2.999756,1.01815438,5,5
lat_mmap_precise,mmap_write_touch_unmap,2,per_iter,us,23.134652,24.969466,-1.834814,0.926517692,5,5
lat_mmap_precise,mmap_write_touch_unmap,4,per_iter,us,52.428073,40.903754,11.524319,1.28174233,5,5
lat_mmap_precise,mmap_write_touch_unmap,64,per_iter,us,630.540637,631.600887,-1.06025,0.998321329,5,5
lat_mmap_precise,mmap_write_touch_unmap,8,per_iter,us,90.665853,88.048727,2.617126,1.02972361,5,5
mmap_split,mmap_populate_unmap,0.5,per_iter,us,26.823873,28.241097,-1.417224,0.949816964,5,5
mmap_split,mmap_populate_unmap,1,per_iter,us,52.659871,49.695506,2.964365,1.05965056,5,5
mmap_split,mmap_populate_unmap,16,per_iter,us,653.019572,659.542888,-6.523316,0.990109338,5,5
mmap_split,mmap_populate_unmap,2,per_iter,us,90.250928,91.880884,-1.629956,0.982260118,5,5
mmap_split,mmap_populate_unmap,4,per_iter,us,173.371406,173.135145,0.236261,1.0013646,5,5
mmap_split,mmap_populate_unmap,64,per_iter,us,2606.10908,2580.76796,25.34112,1.00981922,5,5
mmap_split,mmap_populate_unmap,8,per_iter,us,335.246582,334.514527,0.732055,1.00218841,5,5
mmap_split,mmap_read_touch_unmap,0.5,per_iter,us,7.158866,9.807341,-2.648475,0.729949739,5,5
mmap_split,mmap_read_touch_unmap,1,per_iter,us,14.013952,15.401281,-1.387329,0.909921194,5,5
mmap_split,mmap_read_touch_unmap,16,per_iter,us,96.867391,108.2323,-11.364909,0.894995219,5,5
mmap_split,mmap_read_touch_unmap,2,per_iter,us,16.779061,22.516846,-5.737785,0.745178121,5,5
mmap_split,mmap_read_touch_unmap,4,per_iter,us,26.144911,36.23428,-10.089369,0.721551829,5,5
