family,operation,size_mb,metric,unit,mode,n,median,mad,mad_pct
bw_mem,rd,67.11,bandwidth,MB/s,nvhe,5,26983.86,374.48,1.38779
bw_mem,rdwr,67.11,bandwidth,MB/s,nvhe,5,15848.12,340.58,2.14902
bw_mem,wr,67.11,bandwidth,MB/s,nvhe,5,17563.17,235.23,1.33934
bw_mmap_rd,mmap_only,67.11,bandwidth,MB/s,nvhe,5,24122.52,778.73,3.22823
bw_mmap_rd,open2close,67.11,bandwidth,MB/s,nvhe,5,9585.61,168.14,1.75409
lat_mem_rd,load_stride_128,64.00000,load_latency,ns,nvhe,5,3.471,0.016,0.460962
lat_mmap_precise,mmap_write_touch_unmap,0.5,per_iter,us,nvhe,5,11.49318,0.526171,4.57812
lat_mmap_precise,mmap_write_touch_unmap,1,per_iter,us,nvhe,5,16.720673,1.942891,11.6197
lat_mmap_precise,mmap_write_touch_unmap,16,per_iter,us,nvhe,5,165.235962,10.192871,6.16868
lat_mmap_precise,mmap_write_touch_unmap,2,per_iter,us,nvhe,5,24.969466,3.253581,13.0302
lat_mmap_precise,mmap_write_touch_unmap,4,per_iter,us,nvhe,5,40.903754,2.330295,5.69702
lat_mmap_precise,mmap_write_touch_unmap,64,per_iter,us,nvhe,5,631.600887,9.09953,1.44071
lat_mmap_precise,mmap_write_touch_unmap,8,per_iter,us,nvhe,5,88.048727,1.680399,1.90849
mmap_split,mmap_populate_unmap,0.5,per_iter,us,nvhe,5,28.241097,1.187655,4.20541
mmap_split,mmap_populate_unmap,1,per_iter,us,nvhe,5,49.695506,0.53391,1.07436
mmap_split,mmap_populate_unmap,16,per_iter,us,nvhe,5,659.542888,1.809083,0.274293
mmap_split,mmap_populate_unmap,2,per_iter,us,nvhe,5,91.880884,1.765112,1.92109
mmap_split,mmap_populate_unmap,4,per_iter,us,nvhe,5,173.135145,1.942465,1.12194
mmap_split,mmap_populate_unmap,64,per_iter,us,nvhe,5,2580.76796,13.125273,0.50858
mmap_split,mmap_populate_unmap,8,per_iter,us,nvhe,5,334.514527,1.556458,0.465289
mmap_split,mmap_read_touch_unmap,0.5,per_iter,us,nvhe,5,9.807341,2.29919,23.4436
mmap_split,mmap_read_touch_unmap,1,per_iter,us,nvhe,5,15.401281,0.432185,2.80616
mmap_split,mmap_read_touch_unmap,16,per_iter,us,nvhe,5,108.2323,5.621826,5.19422
mmap_split,mmap_read_touch_unmap,2,per_iter,us,nvhe,5,22.516846,0.697453,3.09747
mmap_split,mmap_read_touch_unmap,4,per_iter,us,nvhe,5,36.23428,0.522841,1.44295
mmap_split,mmap_read_touch_unmap,64,per_iter,us,nvhe,5,388.78418,2.797853,0.719642
mmap_split,mmap_read_touch_unmap,8,per_iter,us,nvhe,5,53.59965,5.612548,10.4712
mmap_split,mmap_unmap,0.5,per_iter,us,nvhe,5,5.295544,0.782048,14.768
mmap_split,mmap_unmap,1,per_iter,us,nvhe,5,5.61761,0.249186,4.4358
mmap_split,mmap_unmap,16,per_iter,us,nvhe,5,5.843669,1.582926,27.0879
mmap_split,mmap_unmap,2,per_iter,us,nvhe,5,6.609579,0.487004,7.36815
mmap_split,mmap_unmap,4,per_iter,us,nvhe,5,7.399428,0.296278,4.00407
mmap_split,mmap_unmap,64,per_iter,us,nvhe,5,9.77295,1.880153,19.2383
mmap_split,mmap_unmap,8,per_iter,us,nvhe,5,4.634826,1.71936,37.0965
mmap_split,mmap_write_touch_unmap,0.5,per_iter,us,nvhe,5,11.746672,1.030819,8.77541
mmap_split,mmap_write_touch_unmap,1,per_iter,us,nvhe,5,16.140355,0.217402,1.34695
mmap_split,mmap_write_touch_unmap,16,per_iter,us,nvhe,5,158.491414,8.500652,5.36348
mmap_split,mmap_write_touch_unmap,2,per_iter,us,nvhe,5,27.750195,0.151082,0.544436
mmap_split,mmap_write_touch_unmap,4,per_iter,us,nvhe,5,49.127224,1.790867,3.64537
mmap_split,mmap_write_touch_unmap,64,per_iter,us,nvhe,5,612.527533,20.906714,3.41319
mmap_split,mmap_write_touch_unmap,8,per_iter,us,nvhe,5,89.704204,1.012491,1.1287
mmap_split,munmap_after_no_touch,0.5,per_iter,us,nvhe,5,2.129338,0.111487,5.23576
mmap_split,munmap_after_no_touch,1,per_iter,us,nvhe,5,2.238677,0.069688,3.11291
mmap_split,munmap_after_no_touch,16,per_iter,us,nvhe,5,2.421591,0.864592,35.7035
mmap_split,munmap_after_no_touch,2,per_iter,us,nvhe,5,2.489744,0.15638,6.28097
mmap_split,munmap_after_no_touch,4,per_iter,us,nvhe,5,1.739507,0.276906,15.9186
mmap_split,munmap_after_no_touch,64,per_iter,us,nvhe,5,3.94415,1.494077,37.8808
mmap_split,munmap_after_no_touch,8,per_iter,us,nvhe,5,2.441369,0.870023,35.6367
mmap_split,munmap_after_read_touch,0.5,per_iter,us,nvhe,5,3.963879,0.156927,3.95893
mmap_split,munmap_after_read_touch,1,per_iter,us,nvhe,5,5.033021,0.99785,19.8261
mmap_split,munmap_after_read_touch,16,per_iter,us,nvhe,5,24.861825,0.241358,0.970798
mmap_split,munmap_after_read_touch,2,per_iter,us,nvhe,5,7.105395,0.679645,9.5652
mmap_split,munmap_after_read_touch,4,per_iter,us,nvhe,5,13.913531,0.923364,6.63645
