env,run,bench_mode,size_mb,iters,warmups,timed,touch_divisor,stride_kb,touch_bytes,touches_per_iter,total_ns,per_iter_ns,per_iter_us,per_touch_ns,sink
nvhe,1,openclose,0.5,10000,1,openclose,10,16,52428,4,53189087,5318.909,5.318909,0.000,0
nvhe,2,openclose,0.5,10000,1,openclose,10,16,52428,4,50431355,5043.136,5.043135,0.000,0
nvhe,1,mmap_unmap,0.5,10000,1,mmap_unmap,10,16,52428,4,48008382,4800.838,4.800838,0.000,0
nvhe,2,mmap_unmap,0.5,10000,1,mmap_unmap,10,16,52428,4,52955444,5295.544,5.295544,0.000,0
nvhe,1,mmap_populate_unmap,0.5,10000,1,mmap_populate_unmap,10,16,52428,4,270534424,27053.442,27.053442,0.000,0
nvhe,2,mmap_populate_unmap,0.5,10000,1,mmap_populate_unmap,10,16,52428,4,311626098,31162.610,31.162610,0.000,0
nvhe,1,mmap_write_touch_unmap,0.5,10000,1,mmap_write_touch_unmap,10,16,52428,4,107158528,10715.853,10.715853,2678.963,0
nvhe,2,mmap_write_touch_unmap,0.5,10000,1,mmap_write_touch_unmap,10,16,52428,4,98598510,9859.851,9.859851,2464.963,0
nvhe,1,mmap_read_touch_unmap,0.5,10000,1,mmap_read_touch_unmap,10,16,52428,4,121065308,12106.531,12.106531,3026.633,0
nvhe,2,mmap_read_touch_unmap,0.5,10000,1,mmap_read_touch_unmap,10,16,52428,4,65372192,6537.219,6.537219,1634.305,0
nvhe,1,write_touch_cold,0.5,10000,1,write_touch_cold,10,16,52428,4,53948462,5394.846,5.394846,1348.712,0
nvhe,2,write_touch_cold,0.5,10000,1,write_touch_cold,10,16,52428,4,63304044,6330.404,6.330404,1582.601,0
nvhe,1,read_touch_cold,0.5,10000,1,read_touch_cold,10,16,52428,4,28646875,2864.688,2.864688,716.172,0
nvhe,2,read_touch_cold,0.5,10000,1,read_touch_cold,10,16,52428,4,26482864,2648.286,2.648286,662.072,0
nvhe,1,write_touch_hot,0.5,10000,1,write_touch_hot,10,16,52428,4,66243,6.624,0.006624,1.656,0
nvhe,2,write_touch_hot,0.5,10000,1,write_touch_hot,10,16,52428,4,56641,5.664,0.005664,1.416,0
nvhe,1,read_touch_hot,0.5,10000,1,read_touch_hot,10,16,52428,4,35482,3.548,0.003548,0.887,0
nvhe,2,read_touch_hot,0.5,10000,1,read_touch_hot,10,16,52428,4,39062,3.906,0.003906,0.977,0
nvhe,1,munmap_after_no_touch,0.5,10000,1,munmap_after_no_touch,10,16,52428,4,22408252,2240.825,2.240825,0.000,0
nvhe,2,munmap_after_no_touch,0.5,10000,1,munmap_after_no_touch,10,16,52428,4,21293382,2129.338,2.129338,0.000,0
nvhe,1,munmap_after_write_touch,0.5,10000,1,munmap_after_write_touch,10,16,52428,4,26577480,2657.748,2.657748,0.000,0
nvhe,2,munmap_after_write_touch,0.5,10000,1,munmap_after_write_touch,10,16,52428,4,27103358,2710.336,2.710336,0.000,0
nvhe,1,munmap_after_read_touch,0.5,10000,1,munmap_after_read_touch,10,16,52428,4,38069524,3806.952,3.806952,0.000,0
nvhe,2,munmap_after_read_touch,0.5,10000,1,munmap_after_read_touch,10,16,52428,4,39638790,3963.879,3.963879,0.000,0
nvhe,1,openclose,1,8000,1,openclose,10,16,104857,7,43825683,5478.210,5.478210,0.000,0
nvhe,2,openclose,1,8000,1,openclose,10,16,104857,7,43485677,5435.710,5.435710,0.000,0
nvhe,1,mmap_unmap,1,8000,1,mmap_unmap,10,16,104857,7,23958374,2994.797,2.994797,0.000,0
nvhe,2,mmap_unmap,1,8000,1,mmap_unmap,10,16,104857,7,47212891,5901.611,5.901611,0.000,0
nvhe,1,mmap_populate_unmap,1,8000,1,mmap_populate_unmap,10,16,104857,7,429597982,53699.748,53.699748,0.000,0
nvhe,2,mmap_populate_unmap,1,8000,1,mmap_populate_unmap,10,16,104857,7,397564047,49695.506,49.695506,0.000,0
nvhe,1,mmap_write_touch_unmap,1,8000,1,mmap_write_touch_unmap,10,16,104857,7,129122844,16140.355,16.140355,2305.765,0
nvhe,2,mmap_write_touch_unmap,1,8000,1,mmap_write_touch_unmap,10,16,104857,7,112070719,14008.840,14.008840,2001.263,0
nvhe,1,mmap_read_touch_unmap,1,8000,1,mmap_read_touch_unmap,10,16,104857,7,84532349,10566.544,10.566544,1509.506,0
nvhe,2,mmap_read_touch_unmap,1,8000,1,mmap_read_touch_unmap,10,16,104857,7,144916544,18114.568,18.114568,2587.795,0
nvhe,1,write_touch_cold,1,8000,1,write_touch_cold,10,16,104857,7,58734731,7341.841,7.341841,1048.834,0
nvhe,2,write_touch_cold,1,8000,1,write_touch_cold,10,16,104857,7,66319310,8289.914,8.289914,1184.273,0
nvhe,1,read_touch_cold,1,8000,1,read_touch_cold,10,16,104857,7,30517600,3814.700,3.814700,544.957,0
nvhe,2,read_touch_cold,1,8000,1,read_touch_cold,10,16,104857,7,29681090,3710.136,3.710136,530.019,0
nvhe,1,write_touch_hot,1,8000,1,write_touch_hot,10,16,104857,7,93262,11.658,0.011658,1.665,0
nvhe,2,write_touch_hot,1,8000,1,write_touch_hot,10,16,104857,7,30924,3.865,0.003866,0.552,0
nvhe,1,read_touch_hot,1,8000,1,read_touch_hot,10,16,104857,7,159017,19.877,0.019877,2.840,0
nvhe,2,read_touch_hot,1,8000,1,read_touch_hot,10,16,104857,7,190266,23.783,0.023783,3.398,0
nvhe,1,munmap_after_no_touch,1,8000,1,munmap_after_no_touch,10,16,104857,7,17909418,2238.677,2.238677,0.000,0
nvhe,2,munmap_after_no_touch,1,8000,1,munmap_after_no_touch,10,16,104857,7,10919870,1364.984,1.364984,0.000,0
nvhe,1,munmap_after_write_touch,1,8000,1,munmap_after_write_touch,10,16,104857,7,25347871,3168.484,3.168484,0.000,0
nvhe,2,munmap_after_write_touch,1,8000,1,munmap_after_write_touch,10,16,104857,7,34337774,4292.222,4.292222,0.000,0
nvhe,1,munmap_after_read_touch,1,8000,1,munmap_after_read_touch,10,16,104857,7,62998680,7874.835,7.874835,0.000,0
nvhe,2,munmap_after_read_touch,1,8000,1,munmap_after_read_touch,10,16,104857,7,32281371,4035.171,4.035171,0.000,0
nvhe,1,openclose,2,5000,1,openclose,10,16,209715,13,26514648,5302.930,5.302930,0.000,0
nvhe,2,openclose,2,5000,1,openclose,10,16,209715,13,30673422,6134.684,6.134684,0.000,0
nvhe,1,mmap_unmap,2,5000,1,mmap_unmap,10,16,209715,13,30612875,6122.575,6.122575,0.000,0
nvhe,2,mmap_unmap,2,5000,1,mmap_unmap,10,16,209715,13,33047893,6609.579,6.609579,0.000,0
nvhe,1,mmap_populate_unmap,2,5000,1,mmap_populate_unmap,10,16,209715,13,468229981,93645.996,93.645996,0.000,0
nvhe,2,mmap_populate_unmap,2,5000,1,mmap_populate_unmap,10,16,209715,13,455547323,91109.465,91.109465,0.000,0
