mode	section	label	rc	thermal_gate_start_mc	thermal_wait_sec	thermal_gate_ready_mc	freq_before_khz	freq_after_khz	thermal_before_mc	thermal_after_mc	command
nvhe	mmap_split_full	openclose-0.5MB-run-1	0	42000	60	38000	578000	578000	41000	39000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'openclose' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin' 10 16 1
nvhe	mmap_split_full	openclose-0.5MB-run-2	0	41000	10	38000	578000	578000	40000	39000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'openclose' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin' 10 16 1
nvhe	mmap_split_full	mmap_unmap-0.5MB-run-1	0	39000	10	38000	578000	1549000	39000	39000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'mmap_unmap' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin' 10 16 1
nvhe	mmap_split_full	mmap_unmap-0.5MB-run-2	0	45000	5	38000	910000	1418000	39000	39000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'mmap_unmap' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin' 10 16 1
nvhe	mmap_split_full	mmap_populate_unmap-0.5MB-run-1	0	39000	25	38000	578000	1795000	38000	39000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'mmap_populate_unmap' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin' 10 16 1
nvhe	mmap_split_full	mmap_populate_unmap-0.5MB-run-2	0	38000	0	38000	1795000	1795000	39000	41000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'mmap_populate_unmap' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin' 10 16 1
nvhe	mmap_split_full	mmap_write_touch_unmap-0.5MB-run-1	0	39000	10	37000	578000	2130000	38000	40000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'mmap_write_touch_unmap' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin' 10 16 1
nvhe	mmap_split_full	mmap_write_touch_unmap-0.5MB-run-2	0	38000	0	38000	1795000	1945000	41000	39000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'mmap_write_touch_unmap' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin' 10 16 1
nvhe	mmap_split_full	mmap_read_touch_unmap-0.5MB-run-1	0	39000	5	38000	910000	1795000	38000	39000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'mmap_read_touch_unmap' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin' 10 16 1
nvhe	mmap_split_full	mmap_read_touch_unmap-0.5MB-run-2	0	40000	10	38000	1418000	2130000	38000	38000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'mmap_read_touch_unmap' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin' 10 16 1
nvhe	mmap_split_full	write_touch_cold-0.5MB-run-1	0	40000	15	38000	1945000	2130000	40000	41000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'write_touch_cold' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin' 10 16 1
nvhe	mmap_split_full	write_touch_cold-0.5MB-run-2	0	38000	0	38000	578000	2130000	38000	39000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'write_touch_cold' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin' 10 16 1
nvhe	mmap_split_full	read_touch_cold-0.5MB-run-1	0	40000	10	38000	1795000	1795000	39000	40000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'read_touch_cold' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin' 10 16 1
nvhe	mmap_split_full	read_touch_cold-0.5MB-run-2	0	40000	20	38000	578000	578000	38000	38000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'read_touch_cold' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin' 10 16 1
nvhe	mmap_split_full	write_touch_hot-0.5MB-run-1	0	39000	15	37000	1795000	578000	40000	38000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'write_touch_hot' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin' 10 16 1
nvhe	mmap_split_full	write_touch_hot-0.5MB-run-2	0	38000	0	38000	578000	578000	38000	41000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'write_touch_hot' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin' 10 16 1
nvhe	mmap_split_full	read_touch_hot-0.5MB-run-1	0	39000	20	37000	578000	578000	37000	38000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'read_touch_hot' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin' 10 16 1
nvhe	mmap_split_full	read_touch_hot-0.5MB-run-2	0	37000	0	37000	578000	1795000	38000	38000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'read_touch_hot' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin' 10 16 1
nvhe	mmap_split_full	munmap_after_no_touch-0.5MB-run-1	0	38000	0	38000	578000	1795000	38000	40000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'munmap_after_no_touch' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin' 10 16 1
nvhe	mmap_split_full	munmap_after_no_touch-0.5MB-run-2	0	40000	10	38000	787000	1945000	38000	40000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'munmap_after_no_touch' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin' 10 16 1
nvhe	mmap_split_full	munmap_after_write_touch-0.5MB-run-1	0	38000	0	38000	578000	1945000	39000	39000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'munmap_after_write_touch' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin' 10 16 1
nvhe	mmap_split_full	munmap_after_write_touch-0.5MB-run-2	0	38000	0	38000	1795000	2600000	40000	40000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'munmap_after_write_touch' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin' 10 16 1
nvhe	mmap_split_full	munmap_after_read_touch-0.5MB-run-1	0	41000	5	38000	2245000	1945000	40000	39000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'munmap_after_read_touch' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin' 10 16 1
nvhe	mmap_split_full	munmap_after_read_touch-0.5MB-run-2	0	39000	10	38000	1328000	1549000	39000	44000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'munmap_after_read_touch' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin' 10 16 1
nvhe	mmap_split_full	openclose-1MB-run-1	0	40000	5	37000	1065000	1945000	38000	38000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'openclose' '1' '8000' '/data/local/tmp/pixel-overview-early/lmb_1MB.bin' 10 16 1
nvhe	mmap_split_full	openclose-1MB-run-2	0	40000	25	37000	578000	2130000	37000	38000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'openclose' '1' '8000' '/data/local/tmp/pixel-overview-early/lmb_1MB.bin' 10 16 1
nvhe	mmap_split_full	mmap_unmap-1MB-run-1	0	39000	5	37000	578000	648000	38000	40000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'mmap_unmap' '1' '8000' '/data/local/tmp/pixel-overview-early/lmb_1MB.bin' 10 16 1
nvhe	mmap_split_full	mmap_unmap-1MB-run-2	0	37000	0	37000	1795000	1418000	38000	38000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'mmap_unmap' '1' '8000' '/data/local/tmp/pixel-overview-early/lmb_1MB.bin' 10 16 1
nvhe	mmap_split_full	mmap_populate_unmap-1MB-run-1	0	39000	15	37000	910000	1795000	40000	40000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'mmap_populate_unmap' '1' '8000' '/data/local/tmp/pixel-overview-early/lmb_1MB.bin' 10 16 1
nvhe	mmap_split_full	mmap_populate_unmap-1MB-run-2	0	38000	0	38000	910000	1945000	40000	40000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'mmap_populate_unmap' '1' '8000' '/data/local/tmp/pixel-overview-early/lmb_1MB.bin' 10 16 1
nvhe	mmap_split_full	mmap_write_touch_unmap-1MB-run-1	0	39000	15	38000	578000	578000	37000	40000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'mmap_write_touch_unmap' '1' '8000' '/data/local/tmp/pixel-overview-early/lmb_1MB.bin' 10 16 1
nvhe	mmap_split_full	mmap_write_touch_unmap-1MB-run-2	0	39000	10	37000	1065000	2130000	37000	39000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'mmap_write_touch_unmap' '1' '8000' '/data/local/tmp/pixel-overview-early/lmb_1MB.bin' 10 16 1
nvhe	mmap_split_full	mmap_read_touch_unmap-1MB-run-1	0	41000	5	38000	578000	787000	38000	39000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'mmap_read_touch_unmap' '1' '8000' '/data/local/tmp/pixel-overview-early/lmb_1MB.bin' 10 16 1
nvhe	mmap_split_full	mmap_read_touch_unmap-1MB-run-2	0	38000	0	38000	578000	1795000	38000	40000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'mmap_read_touch_unmap' '1' '8000' '/data/local/tmp/pixel-overview-early/lmb_1MB.bin' 10 16 1
nvhe	mmap_split_full	write_touch_cold-1MB-run-1	0	39000	5	38000	1795000	578000	40000	40000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'write_touch_cold' '1' '8000' '/data/local/tmp/pixel-overview-early/lmb_1MB.bin' 10 16 1
nvhe	mmap_split_full	write_touch_cold-1MB-run-2	0	39000	5	37000	578000	1945000	38000	40000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'write_touch_cold' '1' '8000' '/data/local/tmp/pixel-overview-early/lmb_1MB.bin' 10 16 1
nvhe	mmap_split_full	read_touch_cold-1MB-run-1	0	40000	15	37000	1418000	578000	38000	41000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'read_touch_cold' '1' '8000' '/data/local/tmp/pixel-overview-early/lmb_1MB.bin' 10 16 1
