mode	section	label	rc	thermal_gate_start_mc	thermal_wait_sec	thermal_gate_ready_mc	freq_before_khz	freq_after_khz	thermal_before_mc	thermal_after_mc	command
protected	mmap_split_full	openclose-0.5MB-run-1	0	37000	0	37000	1418000	1795000	36000	36000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'openclose' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin' 10 16 1
protected	mmap_split_full	openclose-0.5MB-run-2	0	37000	0	37000	578000	1795000	36000	36000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'openclose' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin' 10 16 1
protected	mmap_split_full	mmap_unmap-0.5MB-run-1	0	37000	0	37000	1945000	1795000	36000	37000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'mmap_unmap' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin' 10 16 1
protected	mmap_split_full	mmap_unmap-0.5MB-run-2	0	36000	0	36000	2130000	357000	36000	36000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'mmap_unmap' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin' 10 16 1
protected	mmap_split_full	mmap_populate_unmap-0.5MB-run-1	0	37000	0	37000	578000	1795000	37000	39000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'mmap_populate_unmap' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin' 10 16 1
protected	mmap_split_full	mmap_populate_unmap-0.5MB-run-2	0	38000	0	38000	1418000	1795000	36000	37000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'mmap_populate_unmap' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin' 10 16 1
protected	mmap_split_full	mmap_write_touch_unmap-0.5MB-run-1	0	36000	0	36000	578000	1945000	38000	36000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'mmap_write_touch_unmap' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin' 10 16 1
protected	mmap_split_full	mmap_write_touch_unmap-0.5MB-run-2	0	37000	0	37000	578000	1795000	37000	37000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'mmap_write_touch_unmap' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin' 10 16 1
protected	mmap_split_full	mmap_read_touch_unmap-0.5MB-run-1	0	36000	0	36000	1795000	787000	38000	37000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'mmap_read_touch_unmap' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin' 10 16 1
protected	mmap_split_full	mmap_read_touch_unmap-0.5MB-run-2	0	37000	0	37000	578000	1795000	37000	38000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'mmap_read_touch_unmap' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin' 10 16 1
protected	mmap_split_full	write_touch_cold-0.5MB-run-1	0	37000	0	37000	1795000	1795000	36000	38000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'write_touch_cold' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin' 10 16 1
protected	mmap_split_full	write_touch_cold-0.5MB-run-2	0	38000	0	38000	2245000	2600000	38000	45000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'write_touch_cold' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin' 10 16 1
protected	mmap_split_full	read_touch_cold-0.5MB-run-1	0	40000	20	38000	578000	1945000	40000	40000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'read_touch_cold' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin' 10 16 1
protected	mmap_split_full	read_touch_cold-0.5MB-run-2	0	39000	5	37000	1795000	1795000	39000	39000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'read_touch_cold' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin' 10 16 1
protected	mmap_split_full	write_touch_hot-0.5MB-run-1	0	40000	5	37000	1945000	648000	36000	38000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'write_touch_hot' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin' 10 16 1
protected	mmap_split_full	write_touch_hot-0.5MB-run-2	0	37000	0	37000	648000	1795000	39000	38000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'write_touch_hot' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin' 10 16 1
protected	mmap_split_full	read_touch_hot-0.5MB-run-1	0	36000	0	36000	578000	1795000	39000	37000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'read_touch_hot' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin' 10 16 1
protected	mmap_split_full	read_touch_hot-0.5MB-run-2	0	38000	0	38000	578000	1795000	37000	38000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'read_touch_hot' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin' 10 16 1
protected	mmap_split_full	munmap_after_no_touch-0.5MB-run-1	0	38000	0	38000	357000	1795000	37000	39000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'munmap_after_no_touch' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin' 10 16 1
protected	mmap_split_full	munmap_after_no_touch-0.5MB-run-2	0	37000	0	37000	578000	2367000	37000	38000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'munmap_after_no_touch' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin' 10 16 1
protected	mmap_split_full	munmap_after_write_touch-0.5MB-run-1	0	38000	0	38000	1418000	1795000	39000	37000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'munmap_after_write_touch' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin' 10 16 1
protected	mmap_split_full	munmap_after_write_touch-0.5MB-run-2	0	37000	0	37000	1795000	2245000	37000	38000	'/data/local/tmp/pixel-overview-early/mmap_split_bench' 'munmap_after_write_touch' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin' 10 16 1
