# mode=nvhe
# date=2026-06-11T09:10:41+08:00
# host=ryuu
# uname=Linux ryuu 6.6.30+ #637 SMP Wed May 13 17:04:48 CST 2026 aarch64 aarch64 aarch64 GNU/Linux
# cmdline=BOOT_IMAGE=/boot/vmlinuz-6.6.30+ root=UUID=467fea64-4de9-4c08-8333-c7c04d7423cd ro console=ttyAMA0,115200 loglevel=8 initcall_debug sysrq_always_enabled splash loglevel=7 resume=UUID=e70c138a-8ad9-4744-9e30-215eb6893b22 security=kysec kvm-arm.mode=nvhe hyp_trace_printk=1
# lsm=capability,kysec,box
# thp=[always] madvise never
# aslr=2
# core=0
# runs=10
# touch_divisor=10
# stride_kb=16
# warmups=1
# backing_fill=lmdd-or-dd-fsync
env,run,bench_mode,size_mb,iters,warmups,timed,touch_divisor,stride_kb,touch_bytes,touches_per_iter,total_ns,per_iter_ns,per_iter_us,per_touch_ns,sink
nvhe,1,openclose,0.5,10000,1,openclose,10,16,52428,4,26115676,2611.568,2.611568,0.000,0
nvhe,2,openclose,0.5,10000,1,openclose,10,16,52428,4,26572009,2657.201,2.657201,0.000,0
nvhe,3,openclose,0.5,10000,1,openclose,10,16,52428,4,29567367,2956.737,2.956737,0.000,0
nvhe,4,openclose,0.5,10000,1,openclose,10,16,52428,4,26986364,2698.636,2.698636,0.000,0
nvhe,5,openclose,0.5,10000,1,openclose,10,16,52428,4,26781066,2678.107,2.678107,0.000,0
nvhe,6,openclose,0.5,10000,1,openclose,10,16,52428,4,29639307,2963.931,2.963931,0.000,0
nvhe,7,openclose,0.5,10000,1,openclose,10,16,52428,4,26893145,2689.314,2.689315,0.000,0
nvhe,8,openclose,0.5,10000,1,openclose,10,16,52428,4,26879585,2687.959,2.687959,0.000,0
nvhe,9,openclose,0.5,10000,1,openclose,10,16,52428,4,27792332,2779.233,2.779233,0.000,0
nvhe,10,openclose,0.5,10000,1,openclose,10,16,52428,4,27838691,2783.869,2.783869,0.000,0
nvhe,1,mmap_unmap,0.5,10000,1,mmap_unmap,10,16,52428,4,36887606,3688.761,3.688761,0.000,0
nvhe,2,mmap_unmap,0.5,10000,1,mmap_unmap,10,16,52428,4,36370893,3637.089,3.637089,0.000,0
nvhe,3,mmap_unmap,0.5,10000,1,mmap_unmap,10,16,52428,4,39019396,3901.940,3.901940,0.000,0
nvhe,4,mmap_unmap,0.5,10000,1,mmap_unmap,10,16,52428,4,36152736,3615.274,3.615274,0.000,0
nvhe,5,mmap_unmap,0.5,10000,1,mmap_unmap,10,16,52428,4,35155209,3515.521,3.515521,0.000,0
nvhe,6,mmap_unmap,0.5,10000,1,mmap_unmap,10,16,52428,4,42198831,4219.883,4.219883,0.000,0
nvhe,7,mmap_unmap,0.5,10000,1,mmap_unmap,10,16,52428,4,41054347,4105.435,4.105435,0.000,0
nvhe,8,mmap_unmap,0.5,10000,1,mmap_unmap,10,16,52428,4,35324207,3532.421,3.532421,0.000,0
nvhe,9,mmap_unmap,0.5,10000,1,mmap_unmap,10,16,52428,4,42588625,4258.863,4.258863,0.000,0
nvhe,10,mmap_unmap,0.5,10000,1,mmap_unmap,10,16,52428,4,42440628,4244.063,4.244063,0.000,0
nvhe,1,mmap_populate_unmap,0.5,10000,1,mmap_populate_unmap,10,16,52428,4,480824550,48082.455,48.082455,0.000,0
nvhe,2,mmap_populate_unmap,0.5,10000,1,mmap_populate_unmap,10,16,52428,4,518016307,51801.631,51.801631,0.000,0
nvhe,3,mmap_populate_unmap,0.5,10000,1,mmap_populate_unmap,10,16,52428,4,481901537,48190.154,48.190154,0.000,0
nvhe,4,mmap_populate_unmap,0.5,10000,1,mmap_populate_unmap,10,16,52428,4,476939359,47693.936,47.693936,0.000,0
nvhe,5,mmap_populate_unmap,0.5,10000,1,mmap_populate_unmap,10,16,52428,4,473899201,47389.920,47.389920,0.000,0
nvhe,6,mmap_populate_unmap,0.5,10000,1,mmap_populate_unmap,10,16,52428,4,482026589,48202.659,48.202659,0.000,0
nvhe,7,mmap_populate_unmap,0.5,10000,1,mmap_populate_unmap,10,16,52428,4,521146395,52114.639,52.114639,0.000,0
nvhe,8,mmap_populate_unmap,0.5,10000,1,mmap_populate_unmap,10,16,52428,4,478766244,47876.624,47.876624,0.000,0
nvhe,9,mmap_populate_unmap,0.5,10000,1,mmap_populate_unmap,10,16,52428,4,471108883,47110.888,47.110888,0.000,0
nvhe,10,mmap_populate_unmap,0.5,10000,1,mmap_populate_unmap,10,16,52428,4,481070169,48107.017,48.107017,0.000,0
nvhe,1,mmap_write_touch_unmap,0.5,10000,1,mmap_write_touch_unmap,10,16,52428,4,84070858,8407.086,8.407086,2101.771,0
nvhe,2,mmap_write_touch_unmap,0.5,10000,1,mmap_write_touch_unmap,10,16,52428,4,111930287,11193.029,11.193029,2798.257,0
nvhe,3,mmap_write_touch_unmap,0.5,10000,1,mmap_write_touch_unmap,10,16,52428,4,88659279,8865.928,8.865928,2216.482,0
nvhe,4,mmap_write_touch_unmap,0.5,10000,1,mmap_write_touch_unmap,10,16,52428,4,85453796,8545.380,8.545380,2136.345,0
nvhe,5,mmap_write_touch_unmap,0.5,10000,1,mmap_write_touch_unmap,10,16,52428,4,86868220,8686.822,8.686822,2171.706,0
