env,core,iter,bench,variant,value,unit
pkvm-guest-np-aligned,0,1,lat_syscall,null,0.1238,us
pkvm-guest-np-aligned,0,1,lat_syscall,read,0.2983,us
pkvm-guest-np-aligned,0,1,lat_syscall,write,0.2448,us
pkvm-guest-np-aligned,0,1,lat_syscall,stat,0.9397,us
pkvm-guest-np-aligned,0,1,lat_syscall,fstat,0.2241,us
pkvm-guest-np-aligned,0,1,lat_syscall,open,1.5923,us
pkvm-guest-np-aligned,0,1,lat_select,file_n10,0.2771,us
pkvm-guest-np-aligned,0,1,lat_select,file_n100,1.5124,us
pkvm-guest-np-aligned,0,1,lat_select,file_n250,2.7019,us
pkvm-guest-np-aligned,0,1,lat_select,file_n500,5.3768,us
pkvm-guest-np-aligned,0,1,lat_select,tcp_n10,0.3214,us
pkvm-guest-np-aligned,0,1,lat_select,tcp_n100,2.8604,us
pkvm-guest-np-aligned,0,1,lat_select,tcp_n250,7.0631,us
pkvm-guest-np-aligned,0,1,lat_select,tcp_n500,14.2074,us
pkvm-guest-np-aligned,0,1,lat_sig,install,0.1487,us
pkvm-guest-np-aligned,0,1,lat_sig,catch,0.8645,us
pkvm-guest-np-aligned,0,1,lat_sig,prot,0.1146,us
pkvm-guest-np-aligned,0,1,lat_pipe,rt,5.9711,us
pkvm-guest-np-aligned,0,1,lat_unix,rt,10.3974,us
pkvm-guest-np-aligned,0,1,lat_proc,fork,152.8889,us
pkvm-guest-np-aligned,0,1,lat_proc,exec,337.3333,us
pkvm-guest-np-aligned,0,1,lat_proc,shell,700.8750,us
pkvm-guest-np-aligned,0,1,lat_ops,integer_bit,0.34,ns
pkvm-guest-np-aligned,0,1,lat_ops,integer_add,0.24,ns
pkvm-guest-np-aligned,0,1,lat_ops,integer_mul,0.97,ns
pkvm-guest-np-aligned,0,1,lat_ops,integer_div,3.82,ns
pkvm-guest-np-aligned,0,1,lat_ops,integer_mod,3.97,ns
pkvm-guest-np-aligned,0,1,lat_ops,int64_bit,0.34,ns
pkvm-guest-np-aligned,0,1,lat_ops,uint64_add,0.24,ns
pkvm-guest-np-aligned,0,1,lat_ops,int64_mul,1.95,ns
pkvm-guest-np-aligned,0,1,lat_ops,int64_div,3.10,ns
pkvm-guest-np-aligned,0,1,lat_ops,int64_mod,4.92,ns
pkvm-guest-np-aligned,0,1,lat_ops,float_add,0.96,ns
pkvm-guest-np-aligned,0,1,lat_ops,float_mul,1.43,ns
pkvm-guest-np-aligned,0,1,lat_ops,float_div,3.82,ns
pkvm-guest-np-aligned,0,1,lat_ops,double_add,0.95,ns
pkvm-guest-np-aligned,0,1,lat_ops,double_mul,1.43,ns
pkvm-guest-np-aligned,0,1,lat_ops,double_div,5.73,ns
