env,core,iter,bench,variant,value,unit
n90-host-N5,0,1,lat_syscall,null,0.1530,us
n90-host-N5,0,1,lat_syscall,read,0.2044,us
n90-host-N5,0,1,lat_syscall,write,0.1853,us
n90-host-N5,0,1,lat_syscall,stat,1.1117,us
n90-host-N5,0,1,lat_syscall,fstat,0.2558,us
n90-host-N5,0,1,lat_syscall,open,1.8007,us
n90-host-N5,0,1,lat_select,file_n10,0.3915,us
n90-host-N5,0,1,lat_select,file_n100,1.3036,us
n90-host-N5,0,1,lat_select,file_n250,2.8021,us
n90-host-N5,0,1,lat_select,file_n500,5.4079,us
n90-host-N5,0,1,lat_select,tcp_n10,0.4368,us
n90-host-N5,0,1,lat_select,tcp_n100,2.9361,us
n90-host-N5,0,1,lat_select,tcp_n250,7.1005,us
n90-host-N5,0,1,lat_select,tcp_n500,14.1432,us
n90-host-N5,0,1,lat_sig,install,0.1906,us
n90-host-N5,0,1,lat_sig,catch,0.9035,us
n90-host-N5,0,1,lat_sig,prot,0.1124,us
n90-host-N5,0,1,lat_pipe,rt,5.6438,us
n90-host-N5,0,1,lat_unix,rt,9.3427,us
n90-host-N5,0,1,lat_proc,fork,120.7174,us
n90-host-N5,0,1,lat_proc,exec,344.8000,us
n90-host-N5,0,1,lat_proc,shell,721.6250,us
n90-host-N5,0,1,lat_ops,integer_bit,0.34,ns
n90-host-N5,0,1,lat_ops,integer_add,0.24,ns
n90-host-N5,0,1,lat_ops,integer_mul,0.97,ns
n90-host-N5,0,1,lat_ops,integer_div,3.81,ns
n90-host-N5,0,1,lat_ops,integer_mod,3.95,ns
n90-host-N5,0,1,lat_ops,int64_bit,0.34,ns
n90-host-N5,0,1,lat_ops,uint64_add,0.24,ns
n90-host-N5,0,1,lat_ops,int64_mul,1.94,ns
n90-host-N5,0,1,lat_ops,int64_div,3.10,ns
n90-host-N5,0,1,lat_ops,int64_mod,4.91,ns
n90-host-N5,0,1,lat_ops,float_add,0.95,ns
n90-host-N5,0,1,lat_ops,float_mul,1.43,ns
n90-host-N5,0,1,lat_ops,float_div,3.81,ns
n90-host-N5,0,1,lat_ops,double_add,0.95,ns
n90-host-N5,0,1,lat_ops,double_mul,1.43,ns
n90-host-N5,0,1,lat_ops,double_div,5.72,ns
n90-host-N5,0,1,lat_ops,float_bogomflops,1.24,ns
n90-host-N5,0,1,lat_ops,double_bogomflops,2.40,ns
