env,core,iter,bench,variant,value,unit
n90-host,0,1,lat_syscall,null,0.1513,us
n90-host,0,1,lat_syscall,read,0.2049,us
n90-host,0,1,lat_syscall,write,0.1861,us
n90-host,0,1,lat_syscall,stat,1.1331,us
n90-host,0,1,lat_syscall,fstat,0.2565,us
n90-host,0,1,lat_syscall,open,1.8341,us
n90-host,0,1,lat_select,file_n10,0.3870,us
n90-host,0,1,lat_select,file_n100,1.3041,us
n90-host,0,1,lat_select,file_n250,2.8019,us
n90-host,0,1,lat_select,file_n500,5.4029,us
n90-host,0,1,lat_select,tcp_n10,0.4363,us
n90-host,0,1,lat_select,tcp_n100,2.9623,us
n90-host,0,1,lat_select,tcp_n250,7.1160,us
n90-host,0,1,lat_select,tcp_n500,14.2218,us
n90-host,0,1,lat_sig,install,0.1898,us
n90-host,0,1,lat_sig,catch,0.8924,us
n90-host,0,1,lat_sig,prot,0.1071,us
n90-host,0,1,lat_pipe,rt,5.7943,us
n90-host,0,1,lat_unix,rt,9.8184,us
n90-host,0,1,lat_proc,fork,125.3678,us
n90-host,0,1,lat_proc,exec,365.2333,us
n90-host,0,1,lat_proc,shell,768.2000,us
n90-host,0,1,lat_ops,integer_bit,0.34,ns
n90-host,0,1,lat_ops,integer_add,0.24,ns
n90-host,0,1,lat_ops,integer_mul,0.97,ns
n90-host,0,1,lat_ops,integer_div,3.81,ns
n90-host,0,1,lat_ops,integer_mod,3.95,ns
n90-host,0,1,lat_ops,int64_bit,0.34,ns
n90-host,0,1,lat_ops,uint64_add,0.24,ns
n90-host,0,1,lat_ops,int64_mul,1.94,ns
n90-host,0,1,lat_ops,int64_div,3.10,ns
n90-host,0,1,lat_ops,int64_mod,4.91,ns
n90-host,0,1,lat_ops,float_add,0.95,ns
n90-host,0,1,lat_ops,float_mul,1.43,ns
n90-host,0,1,lat_ops,float_div,3.81,ns
n90-host,0,1,lat_ops,double_add,0.95,ns
n90-host,0,1,lat_ops,double_mul,1.43,ns
n90-host,0,1,lat_ops,double_div,5.72,ns
n90-host,0,1,lat_ops,float_bogomflops,1.24,ns
n90-host,0,1,lat_ops,double_bogomflops,2.40,ns
n90-host,0,1,par_ops,integer_bit,2.78,parallel
n90-host,0,1,par_ops,integer_add,1.68,parallel
n90-host,0,1,par_ops,integer_mul,2.10,parallel
n90-host,0,1,par_ops,integer_div,1.00,parallel
n90-host,0,1,par_ops,integer_mod,1.28,parallel
n90-host,0,1,par_ops,int64_bit,1.90,parallel
n90-host,0,1,par_ops,int64_add,1.60,parallel
n90-host,0,1,par_ops,int64_mul,1.38,parallel
n90-host,0,1,par_ops,int64_div,1.00,parallel
n90-host,0,1,par_ops,int64_mod,1.67,parallel
n90-host,0,1,par_ops,float_add,4.00,parallel
n90-host,0,1,par_ops,float_mul,5.82,parallel
n90-host,0,1,par_ops,float_div,5.33,parallel
n90-host,0,1,par_ops,double_add,4.00,parallel
n90-host,0,1,par_ops,double_mul,5.82,parallel
n90-host,0,1,par_ops,double_div,2.40,parallel
n90-host,0,1,lmdd,file_write_bw,1143875,KB/s
n90-host,0,1,lat_pagefault,minor,0.2228,us
n90-host,0,1,lat_mmap,sz0.524288MB,8.285,us
n90-host,0,1,lat_mmap,sz1.048576MB,13,us
n90-host,0,1,lat_mmap,sz2.097152MB,24,us
n90-host,0,1,lat_mmap,sz4.194304MB,43,us
n90-host,0,1,lat_mmap,sz8.388608MB,80,us
n90-host,0,1,lat_mmap,sz16.777216MB,153,us
n90-host,0,1,lat_mmap,sz33.554432MB,301,us
n90-host,0,1,lat_mmap,sz67.108864MB,601,us
n90-host,0,1,lat_fs,sz0K_niters,1009,count
n90-host,0,1,lat_fs,sz0K_create,93843,ops/s
n90-host,0,1,lat_fs,sz0K_unlink,146975,ops/s
n90-host,0,1,lat_fs,sz1K_niters,708,count
n90-host,0,1,lat_fs,sz1K_create,68379,ops/s
n90-host,0,1,lat_fs,sz1K_unlink,111290,ops/s
n90-host,0,1,lat_fs,sz4K_niters,718,count
n90-host,0,1,lat_fs,sz4K_create,68231,ops/s
n90-host,0,1,lat_fs,sz4K_unlink,111948,ops/s
n90-host,0,1,lat_fs,sz10K_niters,586,count
n90-host,0,1,lat_fs,sz10K_create,56422,ops/s
n90-host,0,1,lat_fs,sz10K_unlink,92190,ops/s
n90-host,0,1,lat_udp,lhost,18.2178,us
n90-host,0,1,lat_tcp,lhost,25.0136,us
n90-host,0,1,lat_rpc,udp_lhost,27.0214,us
n90-host,0,1,lat_rpc,tcp_lhost,33.2803,us
n90-host,0,1,lat_connect,lhost,9679.5614,us
n90-host,0,1,bw_tcp,msg0.000001MB,1.17,MB/s
n90-host,0,1,bw_tcp,msg0.000064MB,72.43,MB/s
n90-host,0,1,bw_tcp,msg0.000128MB,149.21,MB/s
n90-host,0,1,bw_tcp,msg0.000256MB,210.66,MB/s
n90-host,0,1,bw_tcp,msg0.000512MB,316.46,MB/s
n90-host,0,1,bw_tcp,msg0.001024MB,734.89,MB/s
n90-host,0,1,bw_tcp,msg0.001437MB,948.26,MB/s
n90-host,0,1,bw_tcp,msg10.000000MB,2519.10,MB/s
n90-host,0,1,lat_http,bw_lhost,25.94,MB/s
n90-host,0,1,bw_unix,bw,4730.92,MB/s
n90-host,0,1,bw_pipe,bw,4208.10,MB/s
n90-host,0,1,bw_file_rd,sz0.000512,779.90,MB/s
n90-host,0,1,bw_file_rd,sz0.001024,1451.66,MB/s
n90-host,0,1,bw_file_rd,sz0.002048,2565.31,MB/s
n90-host,0,1,bw_file_rd,sz0.004096,4156.19,MB/s
n90-host,0,1,bw_file_rd,sz0.008192,5978.45,MB/s
n90-host,0,1,bw_file_rd,sz0.016384,7411.49,MB/s
n90-host,0,1,bw_file_rd,sz0.032768,7919.55,MB/s
n90-host,0,1,bw_file_rd,sz0.065536,8052.77,MB/s
n90-host,0,1,bw_file_rd,sz0.131072,8067.25,MB/s
n90-host,0,1,bw_file_rd,sz0.262144,8110.01,MB/s
n90-host,0,1,bw_file_rd,sz0.524288,8001.49,MB/s
n90-host,0,1,bw_file_rd,sz1.05,7951.74,MB/s
n90-host,0,1,bw_file_rd,sz2.10,7681.88,MB/s
n90-host,0,1,bw_file_rd,sz4.19,6219.54,MB/s
n90-host,0,1,bw_file_rd,sz8.39,5843.17,MB/s
n90-host,0,1,bw_file_rd,sz16.78,6215.16,MB/s
n90-host,0,1,bw_file_rd,sz33.55,6625.42,MB/s
n90-host,0,1,bw_file_rd,sz67.11,7015.35,MB/s
n90-host,0,1,bw_file_rd_o2c,sz0.000512,221.45,MB/s
n90-host,0,1,bw_file_rd_o2c,sz0.001024,434.28,MB/s
n90-host,0,1,bw_file_rd_o2c,sz0.002048,836.78,MB/s
n90-host,0,1,bw_file_rd_o2c,sz0.004096,1545.79,MB/s
n90-host,0,1,bw_file_rd_o2c,sz0.008192,2695.26,MB/s
n90-host,0,1,bw_file_rd_o2c,sz0.016384,4139.88,MB/s
n90-host,0,1,bw_file_rd_o2c,sz0.032768,5525.10,MB/s
n90-host,0,1,bw_file_rd_o2c,sz0.065536,6562.52,MB/s
n90-host,0,1,bw_file_rd_o2c,sz0.131072,7242.73,MB/s
n90-host,0,1,bw_file_rd_o2c,sz0.262144,7659.50,MB/s
n90-host,0,1,bw_file_rd_o2c,sz0.524288,7746.46,MB/s
n90-host,0,1,bw_file_rd_o2c,sz1.05,7750.93,MB/s
n90-host,0,1,bw_file_rd_o2c,sz2.10,7605.27,MB/s
n90-host,0,1,bw_file_rd_o2c,sz4.19,6148.32,MB/s
n90-host,0,1,bw_file_rd_o2c,sz8.39,5800.25,MB/s
n90-host,0,1,bw_file_rd_o2c,sz16.78,6120.28,MB/s
n90-host,0,1,bw_file_rd_o2c,sz33.55,6655.86,MB/s
n90-host,0,1,bw_file_rd_o2c,sz67.11,7024.90,MB/s
n90-host,0,1,bw_mmap_rd,sz0.000512,24985.16,MB/s
n90-host,0,1,bw_mmap_rd,sz0.001024,20403.41,MB/s
n90-host,0,1,bw_mmap_rd,sz0.002048,21116.71,MB/s
n90-host,0,1,bw_mmap_rd,sz0.004096,21507.81,MB/s
n90-host,0,1,bw_mmap_rd,sz0.008192,21708.95,MB/s
n90-host,0,1,bw_mmap_rd,sz0.016384,21812.12,MB/s
n90-host,0,1,bw_mmap_rd,sz0.032768,21862.20,MB/s
n90-host,0,1,bw_mmap_rd,sz0.065536,21747.96,MB/s
n90-host,0,1,bw_mmap_rd,sz0.131072,21268.70,MB/s
n90-host,0,1,bw_mmap_rd,sz0.262144,21259.43,MB/s
n90-host,0,1,bw_mmap_rd,sz0.524288,21256.85,MB/s
n90-host,0,1,bw_mmap_rd,sz1.05,21257.50,MB/s
n90-host,0,1,bw_mmap_rd,sz2.10,21250.43,MB/s
n90-host,0,1,bw_mmap_rd,sz4.19,21146.38,MB/s
n90-host,0,1,bw_mmap_rd,sz8.39,17070.52,MB/s
n90-host,0,1,bw_mmap_rd,sz16.78,16749.81,MB/s
n90-host,0,1,bw_mmap_rd,sz33.55,17063.02,MB/s
n90-host,0,1,bw_mmap_rd,sz67.11,17081.84,MB/s
n90-host,0,1,bw_mmap_rd_o2c,sz0.000512,82.86,MB/s
n90-host,0,1,bw_mmap_rd_o2c,sz0.001024,163.63,MB/s
n90-host,0,1,bw_mmap_rd_o2c,sz0.002048,323.02,MB/s
n90-host,0,1,bw_mmap_rd_o2c,sz0.004096,640.28,MB/s
n90-host,0,1,bw_mmap_rd_o2c,sz0.008192,1211.05,MB/s
n90-host,0,1,bw_mmap_rd_o2c,sz0.016384,2094.07,MB/s
n90-host,0,1,bw_mmap_rd_o2c,sz0.032768,3190.64,MB/s
n90-host,0,1,bw_mmap_rd_o2c,sz0.065536,4601.09,MB/s
n90-host,0,1,bw_mmap_rd_o2c,sz0.131072,5869.97,MB/s
n90-host,0,1,bw_mmap_rd_o2c,sz0.262144,6694.70,MB/s
