env,core,iter,bench,variant,value,unit
pkvm-guest-np-smoke,0,1,lat_syscall,null,0.1127,us
pkvm-guest-np-smoke,0,1,lat_syscall,read,0.1662,us
pkvm-guest-np-smoke,0,1,lat_syscall,write,0.1476,us
pkvm-guest-np-smoke,0,1,lat_syscall,stat,0.9135,us
pkvm-guest-np-smoke,0,1,lat_syscall,fstat,0.2172,us
pkvm-guest-np-smoke,0,1,lat_syscall,open,1.5484,us
pkvm-guest-np-smoke,0,1,lat_select,file_n10,0.2754,us
pkvm-guest-np-smoke,0,1,lat_select,file_n100,1.2003,us
pkvm-guest-np-smoke,0,1,lat_select,file_n250,2.6903,us
pkvm-guest-np-smoke,0,1,lat_select,file_n500,5.4728,us
pkvm-guest-np-smoke,0,1,lat_select,tcp_n10,0.3172,us
pkvm-guest-np-smoke,0,1,lat_select,tcp_n100,2.8574,us
pkvm-guest-np-smoke,0,1,lat_select,tcp_n250,7.0692,us
pkvm-guest-np-smoke,0,1,lat_select,tcp_n500,14.2079,us
pkvm-guest-np-smoke,0,1,lat_sig,install,0.1476,us
pkvm-guest-np-smoke,0,1,lat_sig,catch,0.8595,us
pkvm-guest-np-smoke,0,1,lat_sig,prot,0.1249,us
pkvm-guest-np-smoke,0,1,lat_pipe,rt,5.0434,us
pkvm-guest-np-smoke,0,1,lat_unix,rt,8.9886,us
pkvm-guest-np-smoke,0,1,lat_proc,fork,148.7391,us
pkvm-guest-np-smoke,0,1,lat_proc,exec,355.0000,us
pkvm-guest-np-smoke,0,1,lat_proc,shell,733.5000,us
pkvm-guest-np-smoke,0,1,lat_ops,integer_bit,0.34,ns
pkvm-guest-np-smoke,0,1,lat_ops,integer_add,0.24,ns
pkvm-guest-np-smoke,0,1,lat_ops,integer_mul,0.97,ns
pkvm-guest-np-smoke,0,1,lat_ops,integer_div,3.82,ns
pkvm-guest-np-smoke,0,1,lat_ops,integer_mod,3.96,ns
pkvm-guest-np-smoke,0,1,lat_ops,int64_bit,0.34,ns
pkvm-guest-np-smoke,0,1,lat_ops,uint64_add,0.24,ns
pkvm-guest-np-smoke,0,1,lat_ops,int64_mul,1.95,ns
pkvm-guest-np-smoke,0,1,lat_ops,int64_div,3.10,ns
pkvm-guest-np-smoke,0,1,lat_ops,int64_mod,4.92,ns
pkvm-guest-np-smoke,0,1,lat_ops,float_add,0.96,ns
pkvm-guest-np-smoke,0,1,lat_ops,float_mul,1.43,ns
pkvm-guest-np-smoke,0,1,lat_ops,float_div,3.82,ns
pkvm-guest-np-smoke,0,1,lat_ops,double_add,0.96,ns
pkvm-guest-np-smoke,0,1,lat_ops,double_mul,1.43,ns
pkvm-guest-np-smoke,0,1,lat_ops,double_div,5.73,ns
pkvm-guest-np-smoke,0,1,lat_ops,float_bogomflops,1.24,ns
pkvm-guest-np-smoke,0,1,lat_ops,double_bogomflops,2.41,ns
pkvm-guest-np-smoke,0,1,par_ops,integer_bit,2.78,parallel
pkvm-guest-np-smoke,0,1,par_ops,integer_add,1.68,parallel
pkvm-guest-np-smoke,0,1,par_ops,integer_mul,2.10,parallel
pkvm-guest-np-smoke,0,1,par_ops,integer_div,1.00,parallel
pkvm-guest-np-smoke,0,1,par_ops,integer_mod,1.28,parallel
pkvm-guest-np-smoke,0,1,par_ops,int64_bit,1.92,parallel
pkvm-guest-np-smoke,0,1,par_ops,int64_add,1.59,parallel
pkvm-guest-np-smoke,0,1,par_ops,int64_mul,1.38,parallel
pkvm-guest-np-smoke,0,1,par_ops,int64_div,1.00,parallel
pkvm-guest-np-smoke,0,1,par_ops,int64_mod,1.67,parallel
pkvm-guest-np-smoke,0,1,par_ops,float_add,4.00,parallel
pkvm-guest-np-smoke,0,1,par_ops,float_mul,5.81,parallel
pkvm-guest-np-smoke,0,1,par_ops,float_div,5.33,parallel
pkvm-guest-np-smoke,0,1,par_ops,double_add,4.00,parallel
pkvm-guest-np-smoke,0,1,par_ops,double_mul,5.82,parallel
pkvm-guest-np-smoke,0,1,par_ops,double_div,2.40,parallel
pkvm-guest-np-smoke,0,1,lmdd,file_write_bw,450274,KB/s
pkvm-guest-np-smoke,0,1,lat_pagefault,minor,0.2226,us
pkvm-guest-np-smoke,0,1,lat_mmap,sz0.524288MB,8.720,us
pkvm-guest-np-smoke,0,1,lat_mmap,sz1.048576MB,38,us
pkvm-guest-np-smoke,0,1,lat_mmap,sz2.097152MB,48,us
pkvm-guest-np-smoke,0,1,lat_mmap,sz4.194304MB,44,us
pkvm-guest-np-smoke,0,1,lat_mmap,sz8.388608MB,82,us
pkvm-guest-np-smoke,0,1,lat_fs,sz0K_niters,374,count
pkvm-guest-np-smoke,0,1,lat_fs,sz0K_create,72579,ops/s
pkvm-guest-np-smoke,0,1,lat_fs,sz0K_unlink,168309,ops/s
pkvm-guest-np-smoke,0,1,lat_fs,sz1K_niters,380,count
pkvm-guest-np-smoke,0,1,lat_fs,sz1K_create,69776,ops/s
pkvm-guest-np-smoke,0,1,lat_fs,sz1K_unlink,124275,ops/s
pkvm-guest-np-smoke,0,1,lat_fs,sz4K_niters,383,count
pkvm-guest-np-smoke,0,1,lat_fs,sz4K_create,69434,ops/s
pkvm-guest-np-smoke,0,1,lat_fs,sz4K_unlink,124365,ops/s
pkvm-guest-np-smoke,0,1,lat_fs,sz10K_niters,260,count
pkvm-guest-np-smoke,0,1,lat_fs,sz10K_create,53213,ops/s
pkvm-guest-np-smoke,0,1,lat_fs,sz10K_unlink,103066,ops/s
pkvm-guest-np-smoke,0,1,lat_udp,lhost,14.3803,us
pkvm-guest-np-smoke,0,1,lat_tcp,lhost,20.5459,us
pkvm-guest-np-smoke,0,1,lat_connect,lhost,10138.4125,us
pkvm-guest-np-smoke,0,1,bw_tcp,msg0.000001MB,1.93,MB/s
pkvm-guest-np-smoke,0,1,bw_tcp,msg0.000064MB,73.27,MB/s
pkvm-guest-np-smoke,0,1,bw_tcp,msg0.000128MB,125.24,MB/s
pkvm-guest-np-smoke,0,1,bw_tcp,msg0.000256MB,200.02,MB/s
pkvm-guest-np-smoke,0,1,bw_tcp,msg0.000512MB,301.98,MB/s
pkvm-guest-np-smoke,0,1,bw_tcp,msg0.001024MB,724.73,MB/s
pkvm-guest-np-smoke,0,1,bw_tcp,msg0.001437MB,968.12,MB/s
pkvm-guest-np-smoke,0,1,bw_tcp,msg10.000000MB,2525.25,MB/s
pkvm-guest-np-smoke,0,1,lat_http,bw_lhost,27.64,MB/s
pkvm-guest-np-smoke,0,1,bw_unix,bw,4836.21,MB/s
pkvm-guest-np-smoke,0,1,bw_pipe,bw,4430.05,MB/s
pkvm-guest-np-smoke,0,1,bw_file_rd,sz0.000512,929.22,MB/s
pkvm-guest-np-smoke,0,1,bw_file_rd,sz0.001024,1685.38,MB/s
pkvm-guest-np-smoke,0,1,bw_file_rd,sz0.002048,2929.90,MB/s
pkvm-guest-np-smoke,0,1,bw_file_rd,sz0.004096,4607.81,MB/s
pkvm-guest-np-smoke,0,1,bw_file_rd,sz0.008192,6461.61,MB/s
pkvm-guest-np-smoke,0,1,bw_file_rd,sz0.016384,7719.41,MB/s
pkvm-guest-np-smoke,0,1,bw_file_rd,sz0.032768,8279.60,MB/s
pkvm-guest-np-smoke,0,1,bw_file_rd,sz0.065536,7966.75,MB/s
