env,core,iter,bench,variant,value,unit
n90-baremetal-N5,0,1,lat_syscall,null,0.1526,us
n90-baremetal-N5,0,1,lat_syscall,read,0.2058,us
n90-baremetal-N5,0,1,lat_syscall,write,0.1868,us
n90-baremetal-N5,0,1,lat_syscall,stat,1.1074,us
n90-baremetal-N5,0,1,lat_syscall,fstat,0.2553,us
n90-baremetal-N5,0,1,lat_syscall,open,1.7741,us
n90-baremetal-N5,0,1,lat_select,file_n10,0.3897,us
n90-baremetal-N5,0,1,lat_select,file_n100,1.3091,us
n90-baremetal-N5,0,1,lat_select,file_n250,2.8058,us
n90-baremetal-N5,0,1,lat_select,file_n500,5.4055,us
n90-baremetal-N5,0,1,lat_select,tcp_n10,0.4344,us
n90-baremetal-N5,0,1,lat_select,tcp_n100,2.9578,us
n90-baremetal-N5,0,1,lat_select,tcp_n250,7.1791,us
n90-baremetal-N5,0,1,lat_select,tcp_n500,14.1774,us
n90-baremetal-N5,0,1,lat_sig,install,0.1908,us
n90-baremetal-N5,0,1,lat_sig,catch,0.8957,us
n90-baremetal-N5,0,1,lat_sig,prot,0.1164,us
n90-baremetal-N5,0,1,lat_pipe,rt,5.8399,us
n90-baremetal-N5,0,1,lat_unix,rt,9.1967,us
n90-baremetal-N5,0,1,lat_proc,fork,118.3404,us
n90-baremetal-N5,0,1,lat_proc,exec,345.3750,us
n90-baremetal-N5,0,1,lat_proc,shell,724.6250,us
n90-baremetal-N5,0,1,lat_ops,integer_bit,0.34,ns
n90-baremetal-N5,0,1,lat_ops,integer_add,0.24,ns
n90-baremetal-N5,0,1,lat_ops,integer_mul,0.97,ns
n90-baremetal-N5,0,1,lat_ops,integer_div,3.81,ns
n90-baremetal-N5,0,1,lat_ops,integer_mod,3.95,ns
n90-baremetal-N5,0,1,lat_ops,int64_bit,0.34,ns
n90-baremetal-N5,0,1,lat_ops,uint64_add,0.24,ns
n90-baremetal-N5,0,1,lat_ops,int64_mul,1.94,ns
n90-baremetal-N5,0,1,lat_ops,int64_div,3.10,ns
n90-baremetal-N5,0,1,lat_ops,int64_mod,4.91,ns
n90-baremetal-N5,0,1,lat_ops,float_add,0.95,ns
n90-baremetal-N5,0,1,lat_ops,float_mul,1.43,ns
n90-baremetal-N5,0,1,lat_ops,float_div,3.81,ns
n90-baremetal-N5,0,1,lat_ops,double_add,0.95,ns
n90-baremetal-N5,0,1,lat_ops,double_mul,1.43,ns
n90-baremetal-N5,0,1,lat_ops,double_div,5.72,ns
n90-baremetal-N5,0,1,lat_ops,float_bogomflops,1.24,ns
n90-baremetal-N5,0,1,lat_ops,double_bogomflops,2.40,ns
n90-baremetal-N5,0,1,par_ops,integer_bit,2.78,parallel
n90-baremetal-N5,0,1,par_ops,integer_add,1.63,parallel
n90-baremetal-N5,0,1,par_ops,integer_mul,2.10,parallel
n90-baremetal-N5,0,1,par_ops,integer_div,1.00,parallel
n90-baremetal-N5,0,1,par_ops,integer_mod,1.38,parallel
n90-baremetal-N5,0,1,par_ops,int64_bit,1.88,parallel
n90-baremetal-N5,0,1,par_ops,int64_add,1.57,parallel
n90-baremetal-N5,0,1,par_ops,int64_mul,1.38,parallel
n90-baremetal-N5,0,1,par_ops,int64_div,1.00,parallel
n90-baremetal-N5,0,1,par_ops,int64_mod,1.67,parallel
n90-baremetal-N5,0,1,par_ops,float_add,4.00,parallel
n90-baremetal-N5,0,1,par_ops,float_mul,5.82,parallel
n90-baremetal-N5,0,1,par_ops,float_div,5.33,parallel
n90-baremetal-N5,0,1,par_ops,double_add,4.00,parallel
n90-baremetal-N5,0,1,par_ops,double_mul,5.82,parallel
n90-baremetal-N5,0,1,par_ops,double_div,2.40,parallel
n90-baremetal-N5,0,1,lmdd,file_write_bw,964984,KB/s
n90-baremetal-N5,0,1,lat_pagefault,minor,0.2118,us
n90-baremetal-N5,0,1,lat_mmap,sz0.524288MB,6.886,us
n90-baremetal-N5,0,1,lat_mmap,sz1.048576MB,10,us
n90-baremetal-N5,0,1,lat_mmap,sz2.097152MB,18,us
n90-baremetal-N5,0,1,lat_mmap,sz4.194304MB,31,us
n90-baremetal-N5,0,1,lat_mmap,sz8.388608MB,56,us
n90-baremetal-N5,0,1,lat_fs,sz0K_niters,544,count
n90-baremetal-N5,0,1,lat_fs,sz0K_create,94167,ops/s
n90-baremetal-N5,0,1,lat_fs,sz0K_unlink,151680,ops/s
n90-baremetal-N5,0,1,lat_fs,sz1K_niters,347,count
n90-baremetal-N5,0,1,lat_fs,sz1K_create,67866,ops/s
n90-baremetal-N5,0,1,lat_fs,sz1K_unlink,118187,ops/s
n90-baremetal-N5,0,1,lat_fs,sz4K_niters,359,count
n90-baremetal-N5,0,1,lat_fs,sz4K_create,69198,ops/s
n90-baremetal-N5,0,1,lat_fs,sz4K_unlink,115865,ops/s
n90-baremetal-N5,0,1,lat_fs,sz10K_niters,293,count
n90-baremetal-N5,0,1,lat_fs,sz10K_create,56216,ops/s
n90-baremetal-N5,0,1,lat_fs,sz10K_unlink,95599,ops/s
n90-baremetal-N5,0,1,lat_udp,lhost,17.9106,us
n90-baremetal-N5,0,1,lat_tcp,lhost,24.4436,us
n90-baremetal-N5,0,1,lat_rpc,udp_lhost,26.5365,us
n90-baremetal-N5,0,1,lat_rpc,tcp_lhost,32.6861,us
n90-baremetal-N5,0,1,lat_connect,lhost,11009.2043,us
n90-baremetal-N5,0,1,bw_tcp,msg0.000001MB,0.88,MB/s
n90-baremetal-N5,0,1,bw_tcp,msg0.000064MB,55.34,MB/s
n90-baremetal-N5,0,1,bw_tcp,msg0.000128MB,112.18,MB/s
n90-baremetal-N5,0,1,bw_tcp,msg0.000256MB,276.84,MB/s
n90-baremetal-N5,0,1,bw_tcp,msg0.000512MB,481.66,MB/s
n90-baremetal-N5,0,1,bw_tcp,msg0.001024MB,739.77,MB/s
n90-baremetal-N5,0,1,bw_tcp,msg0.001437MB,1018.91,MB/s
n90-baremetal-N5,0,1,bw_tcp,msg10.000000MB,2086.16,MB/s
n90-baremetal-N5,0,1,lat_http,bw_lhost,26.09,MB/s
n90-baremetal-N5,0,1,bw_unix,bw,4746.63,MB/s
n90-baremetal-N5,0,1,bw_pipe,bw,4234.64,MB/s
n90-baremetal-N5,0,1,bw_file_rd,sz0.000512,795.37,MB/s
n90-baremetal-N5,0,1,bw_file_rd,sz0.001024,1451.49,MB/s
n90-baremetal-N5,0,1,bw_file_rd,sz0.002048,2639.64,MB/s
n90-baremetal-N5,0,1,bw_file_rd,sz0.004096,4183.42,MB/s
n90-baremetal-N5,0,1,bw_file_rd,sz0.008192,6014.70,MB/s
n90-baremetal-N5,0,1,bw_file_rd,sz0.016384,7379.35,MB/s
n90-baremetal-N5,0,1,bw_file_rd,sz0.032768,7932.36,MB/s
n90-baremetal-N5,0,1,bw_file_rd,sz0.065536,8031.37,MB/s
n90-baremetal-N5,0,1,bw_file_rd,sz0.131072,8082.06,MB/s
n90-baremetal-N5,0,1,bw_file_rd,sz0.262144,8051.40,MB/s
n90-baremetal-N5,0,1,bw_file_rd,sz0.524288,8002.19,MB/s
n90-baremetal-N5,0,1,bw_file_rd,sz1.05,7935.17,MB/s
n90-baremetal-N5,0,1,bw_file_rd,sz2.10,7684.84,MB/s
n90-baremetal-N5,0,1,bw_file_rd,sz4.19,6198.86,MB/s
n90-baremetal-N5,0,1,bw_file_rd,sz8.39,5508.85,MB/s
n90-baremetal-N5,0,1,bw_file_rd_o2c,sz0.000512,225.72,MB/s
n90-baremetal-N5,0,1,bw_file_rd_o2c,sz0.001024,443.71,MB/s
n90-baremetal-N5,0,1,bw_file_rd_o2c,sz0.002048,852.46,MB/s
n90-baremetal-N5,0,1,bw_file_rd_o2c,sz0.004096,1578.13,MB/s
n90-baremetal-N5,0,1,bw_file_rd_o2c,sz0.008192,2771.18,MB/s
n90-baremetal-N5,0,1,bw_file_rd_o2c,sz0.016384,4244.59,MB/s
n90-baremetal-N5,0,1,bw_file_rd_o2c,sz0.032768,5650.27,MB/s
n90-baremetal-N5,0,1,bw_file_rd_o2c,sz0.065536,6601.18,MB/s
n90-baremetal-N5,0,1,bw_file_rd_o2c,sz0.131072,7264.58,MB/s
n90-baremetal-N5,0,1,bw_file_rd_o2c,sz0.262144,7620.47,MB/s
n90-baremetal-N5,0,1,bw_file_rd_o2c,sz0.524288,7758.61,MB/s
n90-baremetal-N5,0,1,bw_file_rd_o2c,sz1.05,7805.30,MB/s
n90-baremetal-N5,0,1,bw_file_rd_o2c,sz2.10,7589.21,MB/s
n90-baremetal-N5,0,1,bw_file_rd_o2c,sz4.19,6151.13,MB/s
n90-baremetal-N5,0,1,bw_file_rd_o2c,sz8.39,5487.23,MB/s
n90-baremetal-N5,0,1,bw_mmap_rd,sz0.000512,24985.21,MB/s
n90-baremetal-N5,0,1,bw_mmap_rd,sz0.001024,20400.73,MB/s
n90-baremetal-N5,0,1,bw_mmap_rd,sz0.002048,21126.31,MB/s
n90-baremetal-N5,0,1,bw_mmap_rd,sz0.004096,21494.52,MB/s
n90-baremetal-N5,0,1,bw_mmap_rd,sz0.008192,21712.89,MB/s
n90-baremetal-N5,0,1,bw_mmap_rd,sz0.016384,21807.67,MB/s
n90-baremetal-N5,0,1,bw_mmap_rd,sz0.032768,21857.24,MB/s
n90-baremetal-N5,0,1,bw_mmap_rd,sz0.065536,21742.03,MB/s
n90-baremetal-N5,0,1,bw_mmap_rd,sz0.131072,21301.28,MB/s
n90-baremetal-N5,0,1,bw_mmap_rd,sz0.262144,21198.27,MB/s
n90-baremetal-N5,0,1,bw_mmap_rd,sz0.524288,21283.17,MB/s
n90-baremetal-N5,0,1,bw_mmap_rd,sz1.05,21263.90,MB/s
n90-baremetal-N5,0,1,bw_mmap_rd,sz2.10,21256.20,MB/s
n90-baremetal-N5,0,1,bw_mmap_rd,sz4.19,21175.71,MB/s
n90-baremetal-N5,0,1,bw_mmap_rd,sz8.39,16605.13,MB/s
n90-baremetal-N5,0,1,bw_mmap_rd_o2c,sz0.000512,82.75,MB/s
n90-baremetal-N5,0,1,bw_mmap_rd_o2c,sz0.001024,163.73,MB/s
n90-baremetal-N5,0,1,bw_mmap_rd_o2c,sz0.002048,329.72,MB/s
n90-baremetal-N5,0,1,bw_mmap_rd_o2c,sz0.004096,644.18,MB/s
n90-baremetal-N5,0,1,bw_mmap_rd_o2c,sz0.008192,1223.25,MB/s
n90-baremetal-N5,0,1,bw_mmap_rd_o2c,sz0.016384,2201.64,MB/s
n90-baremetal-N5,0,1,bw_mmap_rd_o2c,sz0.032768,3474.33,MB/s
n90-baremetal-N5,0,1,bw_mmap_rd_o2c,sz0.065536,5234.97,MB/s
n90-baremetal-N5,0,1,bw_mmap_rd_o2c,sz0.131072,6823.14,MB/s
n90-baremetal-N5,0,1,bw_mmap_rd_o2c,sz0.262144,8260.24,MB/s
n90-baremetal-N5,0,1,bw_mmap_rd_o2c,sz0.524288,9108.15,MB/s
n90-baremetal-N5,0,1,bw_mmap_rd_o2c,sz1.05,9576.89,MB/s
n90-baremetal-N5,0,1,bw_mmap_rd_o2c,sz2.10,9781.49,MB/s
n90-baremetal-N5,0,1,bw_mmap_rd_o2c,sz4.19,9623.64,MB/s
n90-baremetal-N5,0,1,bw_mmap_rd_o2c,sz8.39,8174.70,MB/s
n90-baremetal-N5,0,1,bw_mem_bcopy_unaligned,sz0.000512,28030.07,MB/s
n90-baremetal-N5,0,1,bw_mem_bcopy_unaligned,sz0.001024,30071.81,MB/s
n90-baremetal-N5,0,1,bw_mem_bcopy_unaligned,sz0.002048,31582.16,MB/s
n90-baremetal-N5,0,1,bw_mem_bcopy_unaligned,sz0.004096,32439.69,MB/s
n90-baremetal-N5,0,1,bw_mem_bcopy_unaligned,sz0.008192,33015.43,MB/s
n90-baremetal-N5,0,1,bw_mem_bcopy_unaligned,sz0.016384,33337.80,MB/s
n90-baremetal-N5,0,1,bw_mem_bcopy_unaligned,sz0.032768,33476.72,MB/s
n90-baremetal-N5,0,1,bw_mem_bcopy_unaligned,sz0.065536,33482.68,MB/s
n90-baremetal-N5,0,1,bw_mem_bcopy_unaligned,sz0.131072,32964.93,MB/s
n90-baremetal-N5,0,1,bw_mem_bcopy_unaligned,sz0.262144,33000.14,MB/s
n90-baremetal-N5,0,1,bw_mem_bcopy_unaligned,sz0.524288,29155.23,MB/s
n90-baremetal-N5,0,1,bw_mem_bcopy_unaligned,sz1.05,20967.78,MB/s
n90-baremetal-N5,0,1,bw_mem_bcopy_unaligned,sz2.10,14548.40,MB/s
n90-baremetal-N5,0,1,bw_mem_bcopy_unaligned,sz4.19,12722.86,MB/s
n90-baremetal-N5,0,1,bw_mem_bcopy_aligned,sz0.000512,28165.12,MB/s
n90-baremetal-N5,0,1,bw_mem_bcopy_aligned,sz0.001024,30205.28,MB/s
n90-baremetal-N5,0,1,bw_mem_bcopy_aligned,sz0.002048,31734.89,MB/s
n90-baremetal-N5,0,1,bw_mem_bcopy_aligned,sz0.004096,32616.93,MB/s
n90-baremetal-N5,0,1,bw_mem_bcopy_aligned,sz0.008192,33117.26,MB/s
n90-baremetal-N5,0,1,bw_mem_bcopy_aligned,sz0.016384,33356.65,MB/s
n90-baremetal-N5,0,1,bw_mem_bcopy_aligned,sz0.032768,33476.72,MB/s
n90-baremetal-N5,0,1,bw_mem_bcopy_aligned,sz0.065536,33482.31,MB/s
n90-baremetal-N5,0,1,bw_mem_bcopy_aligned,sz0.131072,32994.97,MB/s
n90-baremetal-N5,0,1,bw_mem_bcopy_aligned,sz0.262144,33048.17,MB/s
n90-baremetal-N5,0,1,bw_mem_bcopy_aligned,sz0.524288,28074.46,MB/s
n90-baremetal-N5,0,1,bw_mem_bcopy_aligned,sz1.05,21183.35,MB/s
n90-baremetal-N5,0,1,bw_mem_bcopy_aligned,sz2.10,14905.13,MB/s
n90-baremetal-N5,0,1,bw_mem_bcopy_aligned,sz4.19,12720.72,MB/s
n90-baremetal-N5,0,1,bw_mem_bzero,sz0.000512,44771.87,MB/s
n90-baremetal-N5,0,1,bw_mem_bzero,sz0.001024,53734.14,MB/s
n90-baremetal-N5,0,1,bw_mem_bzero,sz0.002048,59704.50,MB/s
n90-baremetal-N5,0,1,bw_mem_bzero,sz0.004096,63207.81,MB/s
n90-baremetal-N5,0,1,bw_mem_bzero,sz0.008192,65119.18,MB/s
n90-baremetal-N5,0,1,bw_mem_bzero,sz0.016384,66122.31,MB/s
n90-baremetal-N5,0,1,bw_mem_bzero,sz0.032768,66651.33,MB/s
n90-baremetal-N5,0,1,bw_mem_bzero,sz0.065536,66907.91,MB/s
n90-baremetal-N5,0,1,bw_mem_bzero,sz0.131072,67023.02,MB/s
n90-baremetal-N5,0,1,bw_mem_bzero,sz0.262144,67071.16,MB/s
n90-baremetal-N5,0,1,bw_mem_bzero,sz0.524288,64595.41,MB/s
n90-baremetal-N5,0,1,bw_mem_bzero,sz1.05,60773.21,MB/s
n90-baremetal-N5,0,1,bw_mem_bzero,sz2.10,58860.59,MB/s
n90-baremetal-N5,0,1,bw_mem_bzero,sz4.19,46936.81,MB/s
n90-baremetal-N5,0,1,bw_mem_bzero,sz8.39,40834.67,MB/s
n90-baremetal-N5,0,1,bw_mem_fcp,sz0.000512,8141.84,MB/s
n90-baremetal-N5,0,1,bw_mem_fcp,sz0.001024,8266.88,MB/s
n90-baremetal-N5,0,1,bw_mem_fcp,sz0.002048,8330.52,MB/s
n90-baremetal-N5,0,1,bw_mem_fcp,sz0.004096,8361.92,MB/s
n90-baremetal-N5,0,1,bw_mem_fcp,sz0.008192,8378.32,MB/s
n90-baremetal-N5,0,1,bw_mem_fcp,sz0.016384,8388.22,MB/s
n90-baremetal-N5,0,1,bw_mem_fcp,sz0.032768,8391.51,MB/s
n90-baremetal-N5,0,1,bw_mem_fcp,sz0.065536,8382.24,MB/s
n90-baremetal-N5,0,1,bw_mem_fcp,sz0.131072,8354.14,MB/s
n90-baremetal-N5,0,1,bw_mem_fcp,sz0.262144,8355.19,MB/s
n90-baremetal-N5,0,1,bw_mem_fcp,sz0.524288,8356.70,MB/s
n90-baremetal-N5,0,1,bw_mem_fcp,sz1.05,8355.19,MB/s
n90-baremetal-N5,0,1,bw_mem_fcp,sz2.10,8344.61,MB/s
n90-baremetal-N5,0,1,bw_mem_fcp,sz4.19,8287.65,MB/s
n90-baremetal-N5,0,1,bw_mem_cp,sz0.000512,29851.69,MB/s
