env,core,iter,bench,variant,value,unit
n90-baremetal-noLSM-N5,0,1,lat_syscall,null,0.0880,us
n90-baremetal-noLSM-N5,0,1,lat_syscall,read,0.1399,us
n90-baremetal-noLSM-N5,0,1,lat_syscall,write,0.1203,us
n90-baremetal-noLSM-N5,0,1,lat_syscall,stat,0.8260,us
n90-baremetal-noLSM-N5,0,1,lat_syscall,fstat,0.1964,us
n90-baremetal-noLSM-N5,0,1,lat_syscall,open,1.2655,us
n90-baremetal-noLSM-N5,0,1,lat_select,file_n10,0.2526,us
n90-baremetal-noLSM-N5,0,1,lat_select,file_n100,1.1767,us
n90-baremetal-noLSM-N5,0,1,lat_select,file_n250,2.6644,us
n90-baremetal-noLSM-N5,0,1,lat_select,file_n500,5.2772,us
n90-baremetal-noLSM-N5,0,1,lat_select,tcp_n10,0.2914,us
n90-baremetal-noLSM-N5,0,1,lat_select,tcp_n100,2.8155,us
n90-baremetal-noLSM-N5,0,1,lat_select,tcp_n250,7.0467,us
n90-baremetal-noLSM-N5,0,1,lat_select,tcp_n500,14.1933,us
n90-baremetal-noLSM-N5,0,1,lat_sig,install,0.1247,us
n90-baremetal-noLSM-N5,0,1,lat_sig,catch,0.7771,us
n90-baremetal-noLSM-N5,0,1,lat_sig,prot,0.1370,us
n90-baremetal-noLSM-N5,0,1,lat_pipe,rt,5.1014,us
n90-baremetal-noLSM-N5,0,1,lat_unix,rt,8.7145,us
n90-baremetal-noLSM-N5,0,1,lat_proc,fork,115.5833,us
n90-baremetal-noLSM-N5,0,1,lat_proc,exec,316.6471,us
n90-baremetal-noLSM-N5,0,1,lat_proc,shell,734.8750,us
n90-baremetal-noLSM-N5,0,1,lat_ops,integer_bit,0.34,ns
n90-baremetal-noLSM-N5,0,1,lat_ops,integer_add,0.24,ns
n90-baremetal-noLSM-N5,0,1,lat_ops,integer_mul,0.97,ns
n90-baremetal-noLSM-N5,0,1,lat_ops,integer_div,3.81,ns
n90-baremetal-noLSM-N5,0,1,lat_ops,integer_mod,3.95,ns
n90-baremetal-noLSM-N5,0,1,lat_ops,int64_bit,0.34,ns
n90-baremetal-noLSM-N5,0,1,lat_ops,uint64_add,0.24,ns
n90-baremetal-noLSM-N5,0,1,lat_ops,int64_mul,1.94,ns
n90-baremetal-noLSM-N5,0,1,lat_ops,int64_div,3.09,ns
n90-baremetal-noLSM-N5,0,1,lat_ops,int64_mod,4.90,ns
n90-baremetal-noLSM-N5,0,1,lat_ops,float_add,0.95,ns
n90-baremetal-noLSM-N5,0,1,lat_ops,float_mul,1.43,ns
n90-baremetal-noLSM-N5,0,1,lat_ops,float_div,3.81,ns
n90-baremetal-noLSM-N5,0,1,lat_ops,double_add,0.95,ns
n90-baremetal-noLSM-N5,0,1,lat_ops,double_mul,1.43,ns
n90-baremetal-noLSM-N5,0,1,lat_ops,double_div,5.71,ns
n90-baremetal-noLSM-N5,0,1,lat_ops,float_bogomflops,1.23,ns
n90-baremetal-noLSM-N5,0,1,lat_ops,double_bogomflops,2.40,ns
n90-baremetal-noLSM-N5,0,1,par_ops,integer_bit,2.78,parallel
n90-baremetal-noLSM-N5,0,1,par_ops,integer_add,1.68,parallel
n90-baremetal-noLSM-N5,0,1,par_ops,integer_mul,2.10,parallel
n90-baremetal-noLSM-N5,0,1,par_ops,integer_div,1.00,parallel
n90-baremetal-noLSM-N5,0,1,par_ops,integer_mod,1.28,parallel
