env,core,iter,bench,variant,value,unit
n90-host-quiet,0,1,lat_syscall,null,0.1514,us
n90-host-quiet,0,1,lat_syscall,read,0.2050,us
n90-host-quiet,0,1,lat_syscall,write,0.1857,us
n90-host-quiet,0,1,lat_syscall,stat,1.1096,us
n90-host-quiet,0,1,lat_syscall,fstat,0.2557,us
n90-host-quiet,0,1,lat_syscall,open,1.7897,us
n90-host-quiet,0,1,lat_select,file_n10,0.3882,us
n90-host-quiet,0,1,lat_select,file_n100,1.3050,us
n90-host-quiet,0,1,lat_select,file_n250,2.8043,us
n90-host-quiet,0,1,lat_select,file_n500,5.4145,us
n90-host-quiet,0,1,lat_select,tcp_n10,0.4366,us
n90-host-quiet,0,1,lat_select,tcp_n100,2.9577,us
n90-host-quiet,0,1,lat_select,tcp_n250,7.0887,us
n90-host-quiet,0,1,lat_select,tcp_n500,14.1922,us
n90-host-quiet,0,1,lat_sig,install,0.1902,us
n90-host-quiet,0,1,lat_sig,catch,0.8988,us
n90-host-quiet,0,1,lat_sig,prot,0.1083,us
n90-host-quiet,0,1,lat_pipe,rt,5.8881,us
n90-host-quiet,0,1,lat_unix,rt,9.8004,us
n90-host-quiet,0,1,lat_proc,fork,130.1111,us
n90-host-quiet,0,1,lat_proc,exec,376.2667,us
n90-host-quiet,0,1,lat_proc,shell,785.6250,us
n90-host-quiet,0,1,lat_ops,integer_bit,0.34,ns
n90-host-quiet,0,1,lat_ops,integer_add,0.24,ns
n90-host-quiet,0,1,lat_ops,integer_mul,0.97,ns
n90-host-quiet,0,1,lat_ops,integer_div,3.81,ns
n90-host-quiet,0,1,lat_ops,integer_mod,3.95,ns
n90-host-quiet,0,1,lat_ops,int64_bit,0.34,ns
n90-host-quiet,0,1,lat_ops,uint64_add,0.24,ns
n90-host-quiet,0,1,lat_ops,int64_mul,1.94,ns
n90-host-quiet,0,1,lat_ops,int64_div,3.10,ns
n90-host-quiet,0,1,lat_ops,int64_mod,4.91,ns
n90-host-quiet,0,1,lat_ops,float_add,0.95,ns
n90-host-quiet,0,1,lat_ops,float_mul,1.43,ns
n90-host-quiet,0,1,lat_ops,float_div,3.81,ns
n90-host-quiet,0,1,lat_ops,double_add,0.95,ns
n90-host-quiet,0,1,lat_ops,double_mul,1.43,ns
n90-host-quiet,0,1,lat_ops,double_div,5.72,ns
n90-host-quiet,0,1,lat_ops,float_bogomflops,1.24,ns
n90-host-quiet,0,1,lat_ops,double_bogomflops,2.40,ns
n90-host-quiet,0,1,par_ops,integer_bit,2.78,parallel
n90-host-quiet,0,1,par_ops,integer_add,1.66,parallel
n90-host-quiet,0,1,par_ops,integer_mul,2.10,parallel
n90-host-quiet,0,1,par_ops,integer_div,1.00,parallel
n90-host-quiet,0,1,par_ops,integer_mod,1.31,parallel
n90-host-quiet,0,1,par_ops,int64_bit,1.89,parallel
n90-host-quiet,0,1,par_ops,int64_add,1.57,parallel
n90-host-quiet,0,1,par_ops,int64_mul,1.38,parallel
n90-host-quiet,0,1,par_ops,int64_div,1.00,parallel
n90-host-quiet,0,1,par_ops,int64_mod,1.67,parallel
n90-host-quiet,0,1,par_ops,float_add,4.00,parallel
n90-host-quiet,0,1,par_ops,float_mul,5.82,parallel
n90-host-quiet,0,1,par_ops,float_div,5.33,parallel
n90-host-quiet,0,1,par_ops,double_add,4.00,parallel
n90-host-quiet,0,1,par_ops,double_mul,5.82,parallel
n90-host-quiet,0,1,par_ops,double_div,2.40,parallel
n90-host-quiet,0,1,lmdd,file_write_bw,942540,KB/s
n90-host-quiet,0,1,lat_pagefault,minor,0.2141,us
n90-host-quiet,0,1,lat_mmap,sz0.524288MB,8.142,us
n90-host-quiet,0,1,lat_mmap,sz1.048576MB,13,us
n90-host-quiet,0,1,lat_mmap,sz2.097152MB,24,us
n90-host-quiet,0,1,lat_mmap,sz4.194304MB,42,us
n90-host-quiet,0,1,lat_mmap,sz8.388608MB,80,us
n90-host-quiet,0,1,lat_fs,sz0K_niters,546,count
n90-host-quiet,0,1,lat_fs,sz0K_create,93766,ops/s
n90-host-quiet,0,1,lat_fs,sz0K_unlink,154691,ops/s
n90-host-quiet,0,1,lat_fs,sz1K_niters,381,count
n90-host-quiet,0,1,lat_fs,sz1K_create,68476,ops/s
n90-host-quiet,0,1,lat_fs,sz1K_unlink,117841,ops/s
n90-host-quiet,0,1,lat_fs,sz4K_niters,379,count
n90-host-quiet,0,1,lat_fs,sz4K_create,68697,ops/s
n90-host-quiet,0,1,lat_fs,sz4K_unlink,117877,ops/s
n90-host-quiet,0,1,lat_fs,sz10K_niters,327,count
n90-host-quiet,0,1,lat_fs,sz10K_create,57108,ops/s
n90-host-quiet,0,1,lat_fs,sz10K_unlink,96945,ops/s
n90-host-quiet,0,1,lat_udp,lhost,18.2249,us
n90-host-quiet,0,1,lat_tcp,lhost,25.2198,us
n90-host-quiet,0,1,lat_rpc,udp_lhost,27.2629,us
n90-host-quiet,0,1,lat_rpc,tcp_lhost,33.6591,us
n90-host-quiet,0,1,lat_connect,lhost,11113.8587,us
n90-host-quiet,0,1,bw_tcp,msg0.000001MB,1.14,MB/s
n90-host-quiet,0,1,bw_tcp,msg0.000064MB,72.46,MB/s
n90-host-quiet,0,1,bw_tcp,msg0.000128MB,100.72,MB/s
n90-host-quiet,0,1,bw_tcp,msg0.000256MB,211.58,MB/s
n90-host-quiet,0,1,bw_tcp,msg0.000512MB,331.00,MB/s
n90-host-quiet,0,1,bw_tcp,msg0.001024MB,739.43,MB/s
n90-host-quiet,0,1,bw_tcp,msg0.001437MB,1035.51,MB/s
n90-host-quiet,0,1,bw_tcp,msg10.000000MB,1993.62,MB/s
n90-host-quiet,0,1,lat_http,bw_lhost,24.30,MB/s
n90-host-quiet,0,1,bw_unix,bw,4703.68,MB/s
n90-host-quiet,0,1,bw_pipe,bw,4193.37,MB/s
n90-host-quiet,0,1,bw_file_rd,sz0.000512,820.51,MB/s
n90-host-quiet,0,1,bw_file_rd,sz0.001024,1457.25,MB/s
n90-host-quiet,0,1,bw_file_rd,sz0.002048,2576.77,MB/s
n90-host-quiet,0,1,bw_file_rd,sz0.004096,4200.83,MB/s
n90-host-quiet,0,1,bw_file_rd,sz0.008192,6004.69,MB/s
n90-host-quiet,0,1,bw_file_rd,sz0.016384,7423.91,MB/s
n90-host-quiet,0,1,bw_file_rd,sz0.032768,7932.36,MB/s
n90-host-quiet,0,1,bw_file_rd,sz0.065536,8004.40,MB/s
n90-host-quiet,0,1,bw_file_rd,sz0.131072,8132.55,MB/s
n90-host-quiet,0,1,bw_file_rd,sz0.262144,8107.05,MB/s
n90-host-quiet,0,1,bw_file_rd,sz0.524288,8000.03,MB/s
n90-host-quiet,0,1,bw_file_rd,sz1.05,7948.06,MB/s
n90-host-quiet,0,1,bw_file_rd,sz2.10,7722.07,MB/s
n90-host-quiet,0,1,bw_file_rd,sz4.19,6220.70,MB/s
n90-host-quiet,0,1,bw_file_rd,sz8.39,5614.86,MB/s
n90-host-quiet,0,1,bw_file_rd_o2c,sz0.000512,223.71,MB/s
n90-host-quiet,0,1,bw_file_rd_o2c,sz0.001024,438.32,MB/s
n90-host-quiet,0,1,bw_file_rd_o2c,sz0.002048,841.19,MB/s
n90-host-quiet,0,1,bw_file_rd_o2c,sz0.004096,1576.19,MB/s
n90-host-quiet,0,1,bw_file_rd_o2c,sz0.008192,2722.82,MB/s
n90-host-quiet,0,1,bw_file_rd_o2c,sz0.016384,4222.37,MB/s
n90-host-quiet,0,1,bw_file_rd_o2c,sz0.032768,5627.25,MB/s
n90-host-quiet,0,1,bw_file_rd_o2c,sz0.065536,6541.73,MB/s
n90-host-quiet,0,1,bw_file_rd_o2c,sz0.131072,7304.25,MB/s
n90-host-quiet,0,1,bw_file_rd_o2c,sz0.262144,7645.87,MB/s
n90-host-quiet,0,1,bw_file_rd_o2c,sz0.524288,7757.42,MB/s
n90-host-quiet,0,1,bw_file_rd_o2c,sz1.05,7805.30,MB/s
n90-host-quiet,0,1,bw_file_rd_o2c,sz2.10,7637.91,MB/s
n90-host-quiet,0,1,bw_file_rd_o2c,sz4.19,6174.90,MB/s
n90-host-quiet,0,1,bw_file_rd_o2c,sz8.39,5526.09,MB/s
n90-host-quiet,0,1,bw_mmap_rd,sz0.000512,24985.21,MB/s
n90-host-quiet,0,1,bw_mmap_rd,sz0.001024,20400.73,MB/s
n90-host-quiet,0,1,bw_mmap_rd,sz0.002048,21126.31,MB/s
n90-host-quiet,0,1,bw_mmap_rd,sz0.004096,21509.63,MB/s
n90-host-quiet,0,1,bw_mmap_rd,sz0.008192,21716.84,MB/s
n90-host-quiet,0,1,bw_mmap_rd,sz0.016384,21807.67,MB/s
n90-host-quiet,0,1,bw_mmap_rd,sz0.032768,21865.18,MB/s
n90-host-quiet,0,1,bw_mmap_rd,sz0.065536,21745.98,MB/s
n90-host-quiet,0,1,bw_mmap_rd,sz0.131072,21289.67,MB/s
n90-host-quiet,0,1,bw_mmap_rd,sz0.262144,21287.02,MB/s
n90-host-quiet,0,1,bw_mmap_rd,sz0.524288,21260.05,MB/s
n90-host-quiet,0,1,bw_mmap_rd,sz1.05,21263.90,MB/s
n90-host-quiet,0,1,bw_mmap_rd,sz2.10,21244.67,MB/s
n90-host-quiet,0,1,bw_mmap_rd,sz4.19,21194.82,MB/s
n90-host-quiet,0,1,bw_mmap_rd,sz8.39,16704.32,MB/s
n90-host-quiet,0,1,bw_mmap_rd_o2c,sz0.000512,83.29,MB/s
n90-host-quiet,0,1,bw_mmap_rd_o2c,sz0.001024,165.67,MB/s
n90-host-quiet,0,1,bw_mmap_rd_o2c,sz0.002048,326.34,MB/s
n90-host-quiet,0,1,bw_mmap_rd_o2c,sz0.004096,644.33,MB/s
n90-host-quiet,0,1,bw_mmap_rd_o2c,sz0.008192,1215.22,MB/s
n90-host-quiet,0,1,bw_mmap_rd_o2c,sz0.016384,2098.06,MB/s
n90-host-quiet,0,1,bw_mmap_rd_o2c,sz0.032768,3261.86,MB/s
n90-host-quiet,0,1,bw_mmap_rd_o2c,sz0.065536,4665.84,MB/s
n90-host-quiet,0,1,bw_mmap_rd_o2c,sz0.131072,5770.62,MB/s
n90-host-quiet,0,1,bw_mmap_rd_o2c,sz0.262144,6764.39,MB/s
n90-host-quiet,0,1,bw_mmap_rd_o2c,sz0.524288,7245.55,MB/s
n90-host-quiet,0,1,bw_mmap_rd_o2c,sz1.05,7535.58,MB/s
n90-host-quiet,0,1,bw_mmap_rd_o2c,sz2.10,9650.06,MB/s
n90-host-quiet,0,1,bw_mmap_rd_o2c,sz4.19,9532.51,MB/s
n90-host-quiet,0,1,bw_mmap_rd_o2c,sz8.39,8112.77,MB/s
n90-host-quiet,0,1,bw_mem_bcopy_unaligned,sz0.000512,28035.16,MB/s
n90-host-quiet,0,1,bw_mem_bcopy_unaligned,sz0.001024,30077.28,MB/s
n90-host-quiet,0,1,bw_mem_bcopy_unaligned,sz0.002048,31587.91,MB/s
n90-host-quiet,0,1,bw_mem_bcopy_unaligned,sz0.004096,32433.80,MB/s
n90-host-quiet,0,1,bw_mem_bcopy_unaligned,sz0.008192,33027.38,MB/s
n90-host-quiet,0,1,bw_mem_bcopy_unaligned,sz0.016384,33308.29,MB/s
n90-host-quiet,0,1,bw_mem_bcopy_unaligned,sz0.032768,33480.61,MB/s
n90-host-quiet,0,1,bw_mem_bcopy_unaligned,sz0.065536,33481.90,MB/s
n90-host-quiet,0,1,bw_mem_bcopy_unaligned,sz0.131072,32958.24,MB/s
n90-host-quiet,0,1,bw_mem_bcopy_unaligned,sz0.262144,33012.14,MB/s
n90-host-quiet,0,1,bw_mem_bcopy_unaligned,sz0.524288,28375.12,MB/s
n90-host-quiet,0,1,bw_mem_bcopy_unaligned,sz1.05,21526.16,MB/s
n90-host-quiet,0,1,bw_mem_bcopy_unaligned,sz2.10,14665.40,MB/s
n90-host-quiet,0,1,bw_mem_bcopy_unaligned,sz4.19,12707.87,MB/s
n90-host-quiet,0,1,bw_mem_bcopy_aligned,sz0.000512,28166.32,MB/s
n90-host-quiet,0,1,bw_mem_bcopy_aligned,sz0.001024,30203.39,MB/s
n90-host-quiet,0,1,bw_mem_bcopy_aligned,sz0.002048,31730.38,MB/s
n90-host-quiet,0,1,bw_mem_bcopy_aligned,sz0.004096,32612.93,MB/s
n90-host-quiet,0,1,bw_mem_bcopy_aligned,sz0.008192,33100.05,MB/s
n90-host-quiet,0,1,bw_mem_bcopy_aligned,sz0.016384,33350.60,MB/s
n90-host-quiet,0,1,bw_mem_bcopy_aligned,sz0.032768,33476.72,MB/s
n90-host-quiet,0,1,bw_mem_bcopy_aligned,sz0.065536,33475.82,MB/s
n90-host-quiet,0,1,bw_mem_bcopy_aligned,sz0.131072,32988.16,MB/s
n90-host-quiet,0,1,bw_mem_bcopy_aligned,sz0.262144,33018.50,MB/s
n90-host-quiet,0,1,bw_mem_bcopy_aligned,sz0.524288,29420.19,MB/s
n90-host-quiet,0,1,bw_mem_bcopy_aligned,sz1.05,21682.87,MB/s
n90-host-quiet,0,1,bw_mem_bcopy_aligned,sz2.10,14766.08,MB/s
n90-host-quiet,0,1,bw_mem_bcopy_aligned,sz4.19,12725.01,MB/s
n90-host-quiet,0,1,bw_mem_bzero,sz0.000512,44771.87,MB/s
n90-host-quiet,0,1,bw_mem_bzero,sz0.001024,53714.62,MB/s
n90-host-quiet,0,1,bw_mem_bzero,sz0.002048,59694.68,MB/s
n90-host-quiet,0,1,bw_mem_bzero,sz0.004096,63210.36,MB/s
n90-host-quiet,0,1,bw_mem_bzero,sz0.008192,65119.18,MB/s
n90-host-quiet,0,1,bw_mem_bzero,sz0.016384,66119.87,MB/s
n90-host-quiet,0,1,bw_mem_bzero,sz0.032768,66628.66,MB/s
n90-host-quiet,0,1,bw_mem_bzero,sz0.065536,66907.55,MB/s
n90-host-quiet,0,1,bw_mem_bzero,sz0.131072,67024.64,MB/s
n90-host-quiet,0,1,bw_mem_bzero,sz0.262144,66298.19,MB/s
n90-host-quiet,0,1,bw_mem_bzero,sz0.524288,63162.63,MB/s
n90-host-quiet,0,1,bw_mem_bzero,sz1.05,60817.41,MB/s
n90-host-quiet,0,1,bw_mem_bzero,sz2.10,58675.55,MB/s
n90-host-quiet,0,1,bw_mem_bzero,sz4.19,50353.68,MB/s
n90-host-quiet,0,1,bw_mem_bzero,sz8.39,42267.59,MB/s
n90-host-quiet,0,1,bw_mem_fcp,sz0.000512,8138.87,MB/s
n90-host-quiet,0,1,bw_mem_fcp,sz0.001024,8266.79,MB/s
n90-host-quiet,0,1,bw_mem_fcp,sz0.002048,8328.11,MB/s
n90-host-quiet,0,1,bw_mem_fcp,sz0.004096,8361.99,MB/s
n90-host-quiet,0,1,bw_mem_fcp,sz0.008192,8376.39,MB/s
n90-host-quiet,0,1,bw_mem_fcp,sz0.016384,8385.49,MB/s
n90-host-quiet,0,1,bw_mem_fcp,sz0.032768,8391.51,MB/s
n90-host-quiet,0,1,bw_mem_fcp,sz0.065536,8383.76,MB/s
n90-host-quiet,0,1,bw_mem_fcp,sz0.131072,8352.63,MB/s
n90-host-quiet,0,1,bw_mem_fcp,sz0.262144,8355.19,MB/s
n90-host-quiet,0,1,bw_mem_fcp,sz0.524288,8353.67,MB/s
n90-host-quiet,0,1,bw_mem_fcp,sz1.05,8353.67,MB/s
n90-host-quiet,0,1,bw_mem_fcp,sz2.10,8338.58,MB/s
n90-host-quiet,0,1,bw_mem_fcp,sz4.19,8289.14,MB/s
n90-host-quiet,0,1,bw_mem_cp,sz0.000512,29846.18,MB/s
n90-host-quiet,0,1,bw_mem_cp,sz0.001024,31612.86,MB/s
n90-host-quiet,0,1,bw_mem_cp,sz0.002048,32555.48,MB/s
n90-host-quiet,0,1,bw_mem_cp,sz0.004096,33061.16,MB/s
n90-host-quiet,0,1,bw_mem_cp,sz0.008192,33320.44,MB/s
n90-host-quiet,0,1,bw_mem_cp,sz0.016384,33447.69,MB/s
n90-host-quiet,0,1,bw_mem_cp,sz0.032768,33291.24,MB/s
n90-host-quiet,0,1,bw_mem_cp,sz0.065536,20998.58,MB/s
n90-host-quiet,0,1,bw_mem_cp,sz0.131072,21265.16,MB/s
n90-host-quiet,0,1,bw_mem_cp,sz0.262144,19161.60,MB/s
n90-host-quiet,0,1,bw_mem_cp,sz0.524288,16008.79,MB/s
n90-host-quiet,0,1,bw_mem_cp,sz1.05,14822.21,MB/s
n90-host-quiet,0,1,bw_mem_cp,sz2.10,14159.60,MB/s
n90-host-quiet,0,1,bw_mem_cp,sz4.19,9840.45,MB/s
n90-host-quiet,0,1,bw_mem_frd,sz0.000512,10701.72,MB/s
n90-host-quiet,0,1,bw_mem_frd,sz0.001024,10830.14,MB/s
n90-host-quiet,0,1,bw_mem_frd,sz0.002048,10894.62,MB/s
n90-host-quiet,0,1,bw_mem_frd,sz0.004096,10923.95,MB/s
n90-host-quiet,0,1,bw_mem_frd,sz0.008192,10939.57,MB/s
n90-host-quiet,0,1,bw_mem_frd,sz0.016384,10949.75,MB/s
n90-host-quiet,0,1,bw_mem_frd,sz0.032768,10950.53,MB/s
n90-host-quiet,0,1,bw_mem_frd,sz0.065536,10954.42,MB/s
n90-host-quiet,0,1,bw_mem_frd,sz0.131072,10754.14,MB/s
n90-host-quiet,0,1,bw_mem_frd,sz0.262144,10758.04,MB/s
n90-host-quiet,0,1,bw_mem_frd,sz0.524288,10752.19,MB/s
n90-host-quiet,0,1,bw_mem_frd,sz1.05,10747.86,MB/s
n90-host-quiet,0,1,bw_mem_frd,sz2.10,10752.72,MB/s
n90-host-quiet,0,1,bw_mem_frd,sz4.19,10750.69,MB/s
n90-host-quiet,0,1,bw_mem_frd,sz8.39,10614.65,MB/s
n90-host-quiet,0,1,bw_mem_rd,sz0.000512,52424.40,MB/s
n90-host-quiet,0,1,bw_mem_rd,sz0.001024,54441.43,MB/s
n90-host-quiet,0,1,bw_mem_rd,sz0.002048,55460.65,MB/s
n90-host-quiet,0,1,bw_mem_rd,sz0.004096,56036.62,MB/s
n90-host-quiet,0,1,bw_mem_rd,sz0.008192,56421.48,MB/s
n90-host-quiet,0,1,bw_mem_rd,sz0.016384,56577.86,MB/s
n90-host-quiet,0,1,bw_mem_rd,sz0.032768,56646.52,MB/s
n90-host-quiet,0,1,bw_mem_rd,sz0.065536,56676.53,MB/s
n90-host-quiet,0,1,bw_mem_rd,sz0.131072,43579.78,MB/s
n90-host-quiet,0,1,bw_mem_rd,sz0.262144,41908.67,MB/s
n90-host-quiet,0,1,bw_mem_rd,sz0.524288,38315.93,MB/s
n90-host-quiet,0,1,bw_mem_rd,sz1.05,34136.10,MB/s
n90-host-quiet,0,1,bw_mem_rd,sz2.10,32869.52,MB/s
n90-host-quiet,0,1,bw_mem_rd,sz4.19,32101.42,MB/s
n90-host-quiet,0,1,bw_mem_rd,sz8.39,18819.09,MB/s
n90-host-quiet,0,1,bw_mem_fwr,sz0.000512,15801.21,MB/s
n90-host-quiet,0,1,bw_mem_fwr,sz0.001024,16278.89,MB/s
