env,core,iter,bench,variant,value,unit
n90-nvhe-noLSM-N5,0,1,lat_syscall,null,0.1031,us
n90-nvhe-noLSM-N5,0,1,lat_syscall,read,0.1667,us
n90-nvhe-noLSM-N5,0,1,lat_syscall,write,0.1406,us
n90-nvhe-noLSM-N5,0,1,lat_syscall,stat,0.9631,us
n90-nvhe-noLSM-N5,0,1,lat_syscall,fstat,0.2275,us
n90-nvhe-noLSM-N5,0,1,lat_syscall,open,1.4782,us
n90-nvhe-noLSM-N5,0,1,lat_select,file_n10,0.2953,us
n90-nvhe-noLSM-N5,0,1,lat_select,file_n100,1.3737,us
n90-nvhe-noLSM-N5,0,1,lat_select,file_n250,3.1175,us
n90-nvhe-noLSM-N5,0,1,lat_select,file_n500,6.1611,us
n90-nvhe-noLSM-N5,0,1,lat_select,tcp_n10,0.3397,us
n90-nvhe-noLSM-N5,0,1,lat_select,tcp_n100,3.2822,us
n90-nvhe-noLSM-N5,0,1,lat_select,tcp_n250,8.2191,us
n90-nvhe-noLSM-N5,0,1,lat_select,tcp_n500,16.6018,us
n90-nvhe-noLSM-N5,0,1,lat_sig,install,0.1468,us
n90-nvhe-noLSM-N5,0,1,lat_sig,catch,0.9026,us
n90-nvhe-noLSM-N5,0,1,lat_sig,prot,0.1640,us
n90-nvhe-noLSM-N5,0,1,lat_pipe,rt,5.8395,us
n90-nvhe-noLSM-N5,0,1,lat_unix,rt,10.1337,us
n90-nvhe-noLSM-N5,0,1,lat_proc,fork,133.3171,us
n90-nvhe-noLSM-N5,0,1,lat_proc,exec,377.2000,us
n90-nvhe-noLSM-N5,0,1,lat_proc,shell,772.7143,us
n90-nvhe-noLSM-N5,0,1,lat_ops,integer_bit,0.39,ns
n90-nvhe-noLSM-N5,0,1,lat_ops,integer_add,0.28,ns
n90-nvhe-noLSM-N5,0,1,lat_ops,integer_mul,1.13,ns
n90-nvhe-noLSM-N5,0,1,lat_ops,integer_div,4.45,ns
n90-nvhe-noLSM-N5,0,1,lat_ops,integer_mod,4.61,ns
n90-nvhe-noLSM-N5,0,1,lat_ops,int64_bit,0.39,ns
n90-nvhe-noLSM-N5,0,1,lat_ops,uint64_add,0.28,ns
n90-nvhe-noLSM-N5,0,1,lat_ops,int64_mul,2.27,ns
n90-nvhe-noLSM-N5,0,1,lat_ops,int64_div,3.61,ns
n90-nvhe-noLSM-N5,0,1,lat_ops,int64_mod,5.73,ns
n90-nvhe-noLSM-N5,0,1,lat_ops,float_add,1.11,ns
n90-nvhe-noLSM-N5,0,1,lat_ops,float_mul,1.67,ns
n90-nvhe-noLSM-N5,0,1,lat_ops,float_div,4.45,ns
n90-nvhe-noLSM-N5,0,1,lat_ops,double_add,1.11,ns
n90-nvhe-noLSM-N5,0,1,lat_ops,double_mul,1.67,ns
n90-nvhe-noLSM-N5,0,1,lat_ops,double_div,6.67,ns
n90-nvhe-noLSM-N5,0,1,lat_ops,float_bogomflops,1.44,ns
n90-nvhe-noLSM-N5,0,1,lat_ops,double_bogomflops,2.80,ns
n90-nvhe-noLSM-N5,0,1,par_ops,integer_bit,2.78,parallel
n90-nvhe-noLSM-N5,0,1,par_ops,integer_add,1.61,parallel
n90-nvhe-noLSM-N5,0,1,par_ops,integer_mul,2.10,parallel
n90-nvhe-noLSM-N5,0,1,par_ops,integer_div,1.00,parallel
n90-nvhe-noLSM-N5,0,1,par_ops,integer_mod,1.37,parallel
n90-nvhe-noLSM-N5,0,1,par_ops,int64_bit,1.89,parallel
n90-nvhe-noLSM-N5,0,1,par_ops,int64_add,1.59,parallel
n90-nvhe-noLSM-N5,0,1,par_ops,int64_mul,1.38,parallel
n90-nvhe-noLSM-N5,0,1,par_ops,int64_div,1.00,parallel
