env,core,iter,bench,variant,value,unit
pkvm-guest-np-N5,0,1,lat_syscall,null,0.1124,us
pkvm-guest-np-N5,0,1,lat_syscall,read,0.1658,us
pkvm-guest-np-N5,0,1,lat_syscall,write,0.1447,us
pkvm-guest-np-N5,0,1,lat_syscall,stat,0.9175,us
pkvm-guest-np-N5,0,1,lat_syscall,fstat,0.2197,us
pkvm-guest-np-N5,0,1,lat_syscall,open,1.5424,us
pkvm-guest-np-N5,0,1,lat_select,file_n10,0.2754,us
pkvm-guest-np-N5,0,1,lat_select,file_n100,1.1996,us
pkvm-guest-np-N5,0,1,lat_select,file_n250,2.6952,us
pkvm-guest-np-N5,0,1,lat_select,file_n500,5.3750,us
pkvm-guest-np-N5,0,1,lat_select,tcp_n10,0.3174,us
pkvm-guest-np-N5,0,1,lat_select,tcp_n100,2.8649,us
pkvm-guest-np-N5,0,1,lat_select,tcp_n250,7.0814,us
pkvm-guest-np-N5,0,1,lat_select,tcp_n500,14.2021,us
pkvm-guest-np-N5,0,1,lat_sig,install,0.1480,us
pkvm-guest-np-N5,0,1,lat_sig,catch,0.8629,us
pkvm-guest-np-N5,0,1,lat_sig,prot,0.1145,us
pkvm-guest-np-N5,0,1,lat_pipe,rt,5.8372,us
pkvm-guest-np-N5,0,1,lat_unix,rt,9.2704,us
pkvm-guest-np-N5,0,1,lat_proc,fork,135.6889,us
pkvm-guest-np-N5,0,1,lat_proc,exec,347.1250,us
pkvm-guest-np-N5,0,1,lat_proc,shell,711.0000,us
pkvm-guest-np-N5,0,1,lat_ops,integer_bit,0.34,ns
pkvm-guest-np-N5,0,1,lat_ops,integer_add,0.24,ns
pkvm-guest-np-N5,0,1,lat_ops,integer_mul,0.97,ns
pkvm-guest-np-N5,0,1,lat_ops,integer_div,3.82,ns
pkvm-guest-np-N5,0,1,lat_ops,integer_mod,3.96,ns
pkvm-guest-np-N5,0,1,lat_ops,int64_bit,0.34,ns
pkvm-guest-np-N5,0,1,lat_ops,uint64_add,0.24,ns
pkvm-guest-np-N5,0,1,lat_ops,int64_mul,1.95,ns
pkvm-guest-np-N5,0,1,lat_ops,int64_div,3.11,ns
pkvm-guest-np-N5,0,1,lat_ops,int64_mod,4.92,ns
pkvm-guest-np-N5,0,1,lat_ops,float_add,0.96,ns
