env,core,iter,bench,variant,value,unit
n90-kvmoff-noLSM-full,0,1,lat_syscall,null,0.1028,us
n90-kvmoff-noLSM-full,0,1,lat_syscall,read,0.1641,us
n90-kvmoff-noLSM-full,0,1,lat_syscall,write,0.1406,us
n90-kvmoff-noLSM-full,0,1,lat_syscall,stat,0.9494,us
n90-kvmoff-noLSM-full,0,1,lat_syscall,fstat,0.2274,us
n90-kvmoff-noLSM-full,0,1,lat_syscall,open,1.4947,us
n90-kvmoff-noLSM-full,0,1,lat_select,file_n10,0.2969,us
n90-kvmoff-noLSM-full,0,1,lat_select,file_n100,1.3748,us
n90-kvmoff-noLSM-full,0,1,lat_select,file_n250,3.1167,us
n90-kvmoff-noLSM-full,0,1,lat_select,file_n500,6.1261,us
n90-kvmoff-noLSM-full,0,1,lat_select,tcp_n10,0.3419,us
n90-kvmoff-noLSM-full,0,1,lat_select,tcp_n100,3.3098,us
n90-kvmoff-noLSM-full,0,1,lat_select,tcp_n250,8.2403,us
n90-kvmoff-noLSM-full,0,1,lat_select,tcp_n500,16.5897,us
n90-kvmoff-noLSM-full,0,1,lat_sig,install,0.1445,us
n90-kvmoff-noLSM-full,0,1,lat_sig,catch,0.9098,us
n90-kvmoff-noLSM-full,0,1,lat_sig,prot,0.1566,us
n90-kvmoff-noLSM-full,0,1,lat_pipe,rt,5.4852,us
n90-kvmoff-noLSM-full,0,1,lat_unix,rt,10.0691,us
n90-kvmoff-noLSM-full,0,1,lat_proc,fork,137.6914,us
n90-kvmoff-noLSM-full,0,1,lat_proc,exec,380.7931,us
n90-kvmoff-noLSM-full,0,1,lat_proc,shell,802.2857,us
n90-kvmoff-noLSM-full,0,1,lat_ops,integer_bit,0.39,ns
n90-kvmoff-noLSM-full,0,1,lat_ops,integer_add,0.28,ns
n90-kvmoff-noLSM-full,0,1,lat_ops,integer_mul,1.13,ns
n90-kvmoff-noLSM-full,0,1,lat_ops,integer_div,4.45,ns
n90-kvmoff-noLSM-full,0,1,lat_ops,integer_mod,4.61,ns
n90-kvmoff-noLSM-full,0,1,lat_ops,int64_bit,0.39,ns
n90-kvmoff-noLSM-full,0,1,lat_ops,uint64_add,0.28,ns
n90-kvmoff-noLSM-full,0,1,lat_ops,int64_mul,2.27,ns
n90-kvmoff-noLSM-full,0,1,lat_ops,int64_div,3.61,ns
n90-kvmoff-noLSM-full,0,1,lat_ops,int64_mod,5.72,ns
n90-kvmoff-noLSM-full,0,1,lat_ops,float_add,1.11,ns
n90-kvmoff-noLSM-full,0,1,lat_ops,float_mul,1.67,ns
n90-kvmoff-noLSM-full,0,1,lat_ops,float_div,4.45,ns
n90-kvmoff-noLSM-full,0,1,lat_ops,double_add,1.11,ns
n90-kvmoff-noLSM-full,0,1,lat_ops,double_mul,1.67,ns
n90-kvmoff-noLSM-full,0,1,lat_ops,double_div,6.67,ns
n90-kvmoff-noLSM-full,0,1,lat_ops,float_bogomflops,1.44,ns
n90-kvmoff-noLSM-full,0,1,lat_ops,double_bogomflops,2.80,ns
n90-kvmoff-noLSM-full,0,1,par_ops,integer_bit,2.78,parallel
n90-kvmoff-noLSM-full,0,1,par_ops,integer_add,1.71,parallel
n90-kvmoff-noLSM-full,0,1,par_ops,integer_mul,2.10,parallel
n90-kvmoff-noLSM-full,0,1,par_ops,integer_div,1.00,parallel
n90-kvmoff-noLSM-full,0,1,par_ops,integer_mod,1.33,parallel
n90-kvmoff-noLSM-full,0,1,par_ops,int64_bit,1.90,parallel
n90-kvmoff-noLSM-full,0,1,par_ops,int64_add,1.64,parallel
n90-kvmoff-noLSM-full,0,1,par_ops,int64_mul,1.38,parallel
n90-kvmoff-noLSM-full,0,1,par_ops,int64_div,1.00,parallel
n90-kvmoff-noLSM-full,0,1,par_ops,int64_mod,1.67,parallel
n90-kvmoff-noLSM-full,0,1,par_ops,float_add,4.00,parallel
n90-kvmoff-noLSM-full,0,1,par_ops,float_mul,5.82,parallel
n90-kvmoff-noLSM-full,0,1,par_ops,float_div,5.33,parallel
n90-kvmoff-noLSM-full,0,1,par_ops,double_add,4.00,parallel
n90-kvmoff-noLSM-full,0,1,par_ops,double_mul,5.82,parallel
n90-kvmoff-noLSM-full,0,1,par_ops,double_div,2.40,parallel
n90-kvmoff-noLSM-full,0,1,lmdd,file_write_bw,1070453,KB/s
n90-kvmoff-noLSM-full,0,1,lat_pagefault,minor,0.2522,us
n90-kvmoff-noLSM-full,0,1,lat_mmap,sz0.524288MB,7.873,us
n90-kvmoff-noLSM-full,0,1,lat_mmap,sz1.048576MB,12,us
n90-kvmoff-noLSM-full,0,1,lat_mmap,sz2.097152MB,21,us
n90-kvmoff-noLSM-full,0,1,lat_mmap,sz4.194304MB,36,us
n90-kvmoff-noLSM-full,0,1,lat_mmap,sz8.388608MB,66,us
n90-kvmoff-noLSM-full,0,1,lat_mmap,sz16.777216MB,124,us
n90-kvmoff-noLSM-full,0,1,lat_mmap,sz33.554432MB,244,us
n90-kvmoff-noLSM-full,0,1,lat_mmap,sz67.108864MB,487,us
n90-kvmoff-noLSM-full,0,1,lat_fs,sz0K_niters,1003,count
n90-kvmoff-noLSM-full,0,1,lat_fs,sz0K_create,93835,ops/s
n90-kvmoff-noLSM-full,0,1,lat_fs,sz0K_unlink,152458,ops/s
n90-kvmoff-noLSM-full,0,1,lat_fs,sz1K_niters,701,count
n90-kvmoff-noLSM-full,0,1,lat_fs,sz1K_create,66151,ops/s
n90-kvmoff-noLSM-full,0,1,lat_fs,sz1K_unlink,111339,ops/s
n90-kvmoff-noLSM-full,0,1,lat_fs,sz4K_niters,729,count
n90-kvmoff-noLSM-full,0,1,lat_fs,sz4K_create,66146,ops/s
n90-kvmoff-noLSM-full,0,1,lat_fs,sz4K_unlink,111707,ops/s
n90-kvmoff-noLSM-full,0,1,lat_fs,sz10K_niters,584,count
