env,core,iter,bench,variant,value,unit
n90-nvhe-noLSM-full,0,1,lat_syscall,null,0.1028,us
n90-nvhe-noLSM-full,0,1,lat_syscall,read,0.1629,us
n90-nvhe-noLSM-full,0,1,lat_syscall,write,0.1395,us
n90-nvhe-noLSM-full,0,1,lat_syscall,stat,0.9536,us
n90-nvhe-noLSM-full,0,1,lat_syscall,fstat,0.2267,us
n90-nvhe-noLSM-full,0,1,lat_syscall,open,1.4993,us
n90-nvhe-noLSM-full,0,1,lat_select,file_n10,0.2965,us
n90-nvhe-noLSM-full,0,1,lat_select,file_n100,1.3752,us
n90-nvhe-noLSM-full,0,1,lat_select,file_n250,3.1159,us
n90-nvhe-noLSM-full,0,1,lat_select,file_n500,6.1694,us
n90-nvhe-noLSM-full,0,1,lat_select,tcp_n10,0.3488,us
n90-nvhe-noLSM-full,0,1,lat_select,tcp_n100,3.3083,us
n90-nvhe-noLSM-full,0,1,lat_select,tcp_n250,8.2496,us
n90-nvhe-noLSM-full,0,1,lat_select,tcp_n500,16.5994,us
n90-nvhe-noLSM-full,0,1,lat_sig,install,0.1446,us
n90-nvhe-noLSM-full,0,1,lat_sig,catch,0.9069,us
n90-nvhe-noLSM-full,0,1,lat_sig,prot,0.1587,us
n90-nvhe-noLSM-full,0,1,lat_pipe,rt,5.5600,us
n90-nvhe-noLSM-full,0,1,lat_unix,rt,9.6444,us
n90-nvhe-noLSM-full,0,1,lat_proc,fork,137.3415,us
n90-nvhe-noLSM-full,0,1,lat_proc,exec,376.2667,us
n90-nvhe-noLSM-full,0,1,lat_proc,shell,795.2857,us
n90-nvhe-noLSM-full,0,1,lat_ops,integer_bit,0.39,ns
n90-nvhe-noLSM-full,0,1,lat_ops,integer_add,0.28,ns
n90-nvhe-noLSM-full,0,1,lat_ops,integer_mul,1.13,ns
n90-nvhe-noLSM-full,0,1,lat_ops,integer_div,4.45,ns
n90-nvhe-noLSM-full,0,1,lat_ops,integer_mod,4.61,ns
n90-nvhe-noLSM-full,0,1,lat_ops,int64_bit,0.39,ns
n90-nvhe-noLSM-full,0,1,lat_ops,uint64_add,0.28,ns
n90-nvhe-noLSM-full,0,1,lat_ops,int64_mul,2.27,ns
n90-nvhe-noLSM-full,0,1,lat_ops,int64_div,3.61,ns
n90-nvhe-noLSM-full,0,1,lat_ops,int64_mod,5.72,ns
n90-nvhe-noLSM-full,0,1,lat_ops,float_add,1.11,ns
n90-nvhe-noLSM-full,0,1,lat_ops,float_mul,1.67,ns
n90-nvhe-noLSM-full,0,1,lat_ops,float_div,4.45,ns
n90-nvhe-noLSM-full,0,1,lat_ops,double_add,1.11,ns
n90-nvhe-noLSM-full,0,1,lat_ops,double_mul,1.67,ns
n90-nvhe-noLSM-full,0,1,lat_ops,double_div,6.67,ns
n90-nvhe-noLSM-full,0,1,lat_ops,float_bogomflops,1.44,ns
n90-nvhe-noLSM-full,0,1,lat_ops,double_bogomflops,2.80,ns
n90-nvhe-noLSM-full,0,1,par_ops,integer_bit,2.78,parallel
n90-nvhe-noLSM-full,0,1,par_ops,integer_add,1.70,parallel
n90-nvhe-noLSM-full,0,1,par_ops,integer_mul,2.10,parallel
n90-nvhe-noLSM-full,0,1,par_ops,integer_div,1.00,parallel
n90-nvhe-noLSM-full,0,1,par_ops,integer_mod,1.33,parallel
n90-nvhe-noLSM-full,0,1,par_ops,int64_bit,1.90,parallel
n90-nvhe-noLSM-full,0,1,par_ops,int64_add,1.65,parallel
n90-nvhe-noLSM-full,0,1,par_ops,int64_mul,1.38,parallel
n90-nvhe-noLSM-full,0,1,par_ops,int64_div,1.00,parallel
n90-nvhe-noLSM-full,0,1,par_ops,int64_mod,1.67,parallel
n90-nvhe-noLSM-full,0,1,par_ops,float_add,4.00,parallel
n90-nvhe-noLSM-full,0,1,par_ops,float_mul,5.82,parallel
n90-nvhe-noLSM-full,0,1,par_ops,float_div,5.33,parallel
n90-nvhe-noLSM-full,0,1,par_ops,double_add,4.00,parallel
n90-nvhe-noLSM-full,0,1,par_ops,double_mul,5.82,parallel
n90-nvhe-noLSM-full,0,1,par_ops,double_div,2.40,parallel
n90-nvhe-noLSM-full,0,1,lmdd,file_write_bw,1067966,KB/s
n90-nvhe-noLSM-full,0,1,lat_pagefault,minor,0.2517,us
n90-nvhe-noLSM-full,0,1,lat_mmap,sz0.524288MB,7.910,us
n90-nvhe-noLSM-full,0,1,lat_mmap,sz1.048576MB,12,us
n90-nvhe-noLSM-full,0,1,lat_mmap,sz2.097152MB,21,us
n90-nvhe-noLSM-full,0,1,lat_mmap,sz4.194304MB,36,us
n90-nvhe-noLSM-full,0,1,lat_mmap,sz8.388608MB,66,us
n90-nvhe-noLSM-full,0,1,lat_mmap,sz16.777216MB,124,us
n90-nvhe-noLSM-full,0,1,lat_mmap,sz33.554432MB,244,us
