env,core,iter,bench,variant,value,unit
n90-v10-cpkvm-nvhe-mmap,0,1,lat_mmap,sz0.524288MB,9.116,us
n90-v10-cpkvm-nvhe-mmap,0,1,lat_mmap,sz1.048576MB,12,us
n90-v10-cpkvm-nvhe-mmap,0,1,lat_mmap,sz2.097152MB,19,us
n90-v10-cpkvm-nvhe-mmap,0,1,lat_mmap,sz4.194304MB,32,us
n90-v10-cpkvm-nvhe-mmap,0,1,lat_mmap,sz8.388608MB,58,us
n90-v10-cpkvm-nvhe-mmap,0,1,lat_mmap,sz16.777216MB,110,us
n90-v10-cpkvm-nvhe-mmap,0,1,lat_mmap,sz33.554432MB,216,us
n90-v10-cpkvm-nvhe-mmap,0,1,lat_mmap,sz67.108864MB,426,us
n90-v10-cpkvm-nvhe-mmap,0,1,bw_mmap_rd,sz0.000512,25560.69,MB/s
n90-v10-cpkvm-nvhe-mmap,0,1,bw_mmap_rd,sz0.001024,20412.80,MB/s
n90-v10-cpkvm-nvhe-mmap,0,1,bw_mmap_rd,sz0.002048,21126.31,MB/s
n90-v10-cpkvm-nvhe-mmap,0,1,bw_mmap_rd,sz0.004096,21521.70,MB/s
n90-v10-cpkvm-nvhe-mmap,0,1,bw_mmap_rd,sz0.008192,21720.78,MB/s
n90-v10-cpkvm-nvhe-mmap,0,1,bw_mmap_rd,sz0.016384,21823.51,MB/s
n90-v10-cpkvm-nvhe-mmap,0,1,bw_mmap_rd,sz0.032768,21879.05,MB/s
n90-v10-cpkvm-nvhe-mmap,0,1,bw_mmap_rd,sz0.065536,21797.79,MB/s
n90-v10-cpkvm-nvhe-mmap,0,1,bw_mmap_rd,sz0.131072,21292.34,MB/s
n90-v10-cpkvm-nvhe-mmap,0,1,bw_mmap_rd,sz0.262144,21317.94,MB/s
n90-v10-cpkvm-nvhe-mmap,0,1,bw_mmap_rd,sz0.524288,21290.88,MB/s
n90-v10-cpkvm-nvhe-mmap,0,1,bw_mmap_rd,sz1.05,21279.31,MB/s
n90-v10-cpkvm-nvhe-mmap,0,1,bw_mmap_rd,sz2.10,21263.90,MB/s
n90-v10-cpkvm-nvhe-mmap,0,1,bw_mmap_rd,sz4.19,21242.96,MB/s
n90-v10-cpkvm-nvhe-mmap,0,1,bw_mmap_rd,sz8.39,16075.73,MB/s
n90-v10-cpkvm-nvhe-mmap,0,1,bw_mmap_rd,sz16.78,15114.61,MB/s
n90-v10-cpkvm-nvhe-mmap,0,1,bw_mmap_rd,sz33.55,14941.86,MB/s
n90-v10-cpkvm-nvhe-mmap,0,1,bw_mmap_rd,sz67.11,15124.83,MB/s
n90-v10-cpkvm-nvhe-mmap,0,1,bw_mmap_rd_o2c,sz0.000512,83.88,MB/s
n90-v10-cpkvm-nvhe-mmap,0,1,bw_mmap_rd_o2c,sz0.001024,168.58,MB/s
n90-v10-cpkvm-nvhe-mmap,0,1,bw_mmap_rd_o2c,sz0.002048,332.27,MB/s
n90-v10-cpkvm-nvhe-mmap,0,1,bw_mmap_rd_o2c,sz0.004096,655.30,MB/s
n90-v10-cpkvm-nvhe-mmap,0,1,bw_mmap_rd_o2c,sz0.008192,1162.33,MB/s
n90-v10-cpkvm-nvhe-mmap,0,1,bw_mmap_rd_o2c,sz0.016384,2043.91,MB/s
n90-v10-cpkvm-nvhe-mmap,0,1,bw_mmap_rd_o2c,sz0.032768,3201.95,MB/s
n90-v10-cpkvm-nvhe-mmap,0,1,bw_mmap_rd_o2c,sz0.065536,4641.93,MB/s
n90-v10-cpkvm-nvhe-mmap,0,1,bw_mmap_rd_o2c,sz0.131072,5719.51,MB/s
n90-v10-cpkvm-nvhe-mmap,0,1,bw_mmap_rd_o2c,sz0.262144,6539.07,MB/s
n90-v10-cpkvm-nvhe-mmap,0,1,bw_mmap_rd_o2c,sz0.524288,7258.51,MB/s
n90-v10-cpkvm-nvhe-mmap,0,1,bw_mmap_rd_o2c,sz1.05,7796.81,MB/s
n90-v10-cpkvm-nvhe-mmap,0,1,bw_mmap_rd_o2c,sz2.10,8362.76,MB/s
n90-v10-cpkvm-nvhe-mmap,0,1,bw_mmap_rd_o2c,sz4.19,8174.44,MB/s
n90-v10-cpkvm-nvhe-mmap,0,1,bw_mmap_rd_o2c,sz8.39,6928.15,MB/s
n90-v10-cpkvm-nvhe-mmap,0,1,bw_mmap_rd_o2c,sz16.78,6561.29,MB/s
n90-v10-cpkvm-nvhe-mmap,0,1,bw_mmap_rd_o2c,sz33.55,6649.71,MB/s
n90-v10-cpkvm-nvhe-mmap,0,1,bw_mmap_rd_o2c,sz67.11,6249.08,MB/s
n90-v10-cpkvm-nvhe-mmap,0,10,lat_mmap,sz0.524288MB,8.967,us
