env,core,iter,bench,variant,value,unit
n90-v10-cpkvm-pkvm-mmap,0,1,lat_mmap,sz0.524288MB,12,us
n90-v10-cpkvm-pkvm-mmap,0,1,lat_mmap,sz1.048576MB,18,us
n90-v10-cpkvm-pkvm-mmap,0,1,lat_mmap,sz2.097152MB,30,us
n90-v10-cpkvm-pkvm-mmap,0,1,lat_mmap,sz4.194304MB,56,us
n90-v10-cpkvm-pkvm-mmap,0,1,lat_mmap,sz8.388608MB,106,us
n90-v10-cpkvm-pkvm-mmap,0,1,lat_mmap,sz16.777216MB,205,us
n90-v10-cpkvm-pkvm-mmap,0,1,lat_mmap,sz33.554432MB,404,us
n90-v10-cpkvm-pkvm-mmap,0,1,lat_mmap,sz67.108864MB,806,us
n90-v10-cpkvm-pkvm-mmap,0,1,bw_mmap_rd,sz0.000512,25557.76,MB/s
n90-v10-cpkvm-pkvm-mmap,0,1,bw_mmap_rd,sz0.001024,20412.80,MB/s
n90-v10-cpkvm-pkvm-mmap,0,1,bw_mmap_rd,sz0.002048,21126.31,MB/s
n90-v10-cpkvm-pkvm-mmap,0,1,bw_mmap_rd,sz0.004096,21521.86,MB/s
n90-v10-cpkvm-pkvm-mmap,0,1,bw_mmap_rd,sz0.008192,21720.78,MB/s
n90-v10-cpkvm-pkvm-mmap,0,1,bw_mmap_rd,sz0.016384,21823.51,MB/s
n90-v10-cpkvm-pkvm-mmap,0,1,bw_mmap_rd,sz0.032768,21877.11,MB/s
n90-v10-cpkvm-pkvm-mmap,0,1,bw_mmap_rd,sz0.065536,21797.53,MB/s
n90-v10-cpkvm-pkvm-mmap,0,1,bw_mmap_rd,sz0.131072,21281.94,MB/s
n90-v10-cpkvm-pkvm-mmap,0,1,bw_mmap_rd,sz0.262144,21271.60,MB/s
n90-v10-cpkvm-pkvm-mmap,0,1,bw_mmap_rd,sz0.524288,21267.75,MB/s
n90-v10-cpkvm-pkvm-mmap,0,1,bw_mmap_rd,sz1.05,21260.05,MB/s
n90-v10-cpkvm-pkvm-mmap,0,1,bw_mmap_rd,sz2.10,21271.60,MB/s
