env,core,iter,bench,variant,value,unit
n90-v10-cpkvm-vhe-mmap,0,1,lat_mmap,sz0.524288MB,9.047,us
n90-v10-cpkvm-vhe-mmap,0,1,lat_mmap,sz1.048576MB,14,us
n90-v10-cpkvm-vhe-mmap,0,1,lat_mmap,sz2.097152MB,19,us
n90-v10-cpkvm-vhe-mmap,0,1,lat_mmap,sz4.194304MB,32,us
n90-v10-cpkvm-vhe-mmap,0,1,lat_mmap,sz8.388608MB,59,us
n90-v10-cpkvm-vhe-mmap,0,1,lat_mmap,sz16.777216MB,110,us
n90-v10-cpkvm-vhe-mmap,0,1,lat_mmap,sz33.554432MB,216,us
n90-v10-cpkvm-vhe-mmap,0,1,lat_mmap,sz67.108864MB,429,us
n90-v10-cpkvm-vhe-mmap,0,1,bw_mmap_rd,sz0.000512,24985.21,MB/s
n90-v10-cpkvm-vhe-mmap,0,1,bw_mmap_rd,sz0.001024,20409.08,MB/s
n90-v10-cpkvm-vhe-mmap,0,1,bw_mmap_rd,sz0.002048,21122.47,MB/s
n90-v10-cpkvm-vhe-mmap,0,1,bw_mmap_rd,sz0.004096,21513.87,MB/s
n90-v10-cpkvm-vhe-mmap,0,1,bw_mmap_rd,sz0.008192,21715.68,MB/s
n90-v10-cpkvm-vhe-mmap,0,1,bw_mmap_rd,sz0.016384,21822.46,MB/s
n90-v10-cpkvm-vhe-mmap,0,1,bw_mmap_rd,sz0.032768,21871.35,MB/s
n90-v10-cpkvm-vhe-mmap,0,1,bw_mmap_rd,sz0.065536,21793.56,MB/s
n90-v10-cpkvm-vhe-mmap,0,1,bw_mmap_rd,sz0.131072,21274.21,MB/s
n90-v10-cpkvm-vhe-mmap,0,1,bw_mmap_rd,sz0.262144,21235.66,MB/s
n90-v10-cpkvm-vhe-mmap,0,1,bw_mmap_rd,sz0.524288,21283.17,MB/s
n90-v10-cpkvm-vhe-mmap,0,1,bw_mmap_rd,sz1.05,21279.31,MB/s
n90-v10-cpkvm-vhe-mmap,0,1,bw_mmap_rd,sz2.10,21271.60,MB/s
n90-v10-cpkvm-vhe-mmap,0,1,bw_mmap_rd,sz4.19,21238.97,MB/s
n90-v10-cpkvm-vhe-mmap,0,1,bw_mmap_rd,sz8.39,16498.25,MB/s
n90-v10-cpkvm-vhe-mmap,0,1,bw_mmap_rd,sz16.78,15832.54,MB/s
n90-v10-cpkvm-vhe-mmap,0,1,bw_mmap_rd,sz33.55,15782.89,MB/s
n90-v10-cpkvm-vhe-mmap,0,1,bw_mmap_rd,sz67.11,15760.65,MB/s
n90-v10-cpkvm-vhe-mmap,0,1,bw_mmap_rd_o2c,sz0.000512,81.79,MB/s
n90-v10-cpkvm-vhe-mmap,0,1,bw_mmap_rd_o2c,sz0.001024,165.93,MB/s
n90-v10-cpkvm-vhe-mmap,0,1,bw_mmap_rd_o2c,sz0.002048,330.77,MB/s
n90-v10-cpkvm-vhe-mmap,0,1,bw_mmap_rd_o2c,sz0.004096,649.81,MB/s
n90-v10-cpkvm-vhe-mmap,0,1,bw_mmap_rd_o2c,sz0.008192,1153.93,MB/s
n90-v10-cpkvm-vhe-mmap,0,1,bw_mmap_rd_o2c,sz0.016384,2037.62,MB/s
n90-v10-cpkvm-vhe-mmap,0,1,bw_mmap_rd_o2c,sz0.032768,3173.97,MB/s
n90-v10-cpkvm-vhe-mmap,0,1,bw_mmap_rd_o2c,sz0.065536,4629.74,MB/s
n90-v10-cpkvm-vhe-mmap,0,1,bw_mmap_rd_o2c,sz0.131072,5722.83,MB/s
n90-v10-cpkvm-vhe-mmap,0,1,bw_mmap_rd_o2c,sz0.262144,6532.30,MB/s
n90-v10-cpkvm-vhe-mmap,0,1,bw_mmap_rd_o2c,sz0.524288,7259.23,MB/s
n90-v10-cpkvm-vhe-mmap,0,1,bw_mmap_rd_o2c,sz1.05,7794.72,MB/s
