env,core,iter,bench,variant,value,unit
n90-v10-kvmoff-mmap,0,1,lat_mmap,sz0.524288MB,9.097,us
n90-v10-kvmoff-mmap,0,1,lat_mmap,sz1.048576MB,13,us
n90-v10-kvmoff-mmap,0,1,lat_mmap,sz2.097152MB,19,us
n90-v10-kvmoff-mmap,0,1,lat_mmap,sz4.194304MB,32,us
n90-v10-kvmoff-mmap,0,1,lat_mmap,sz8.388608MB,59,us
n90-v10-kvmoff-mmap,0,1,lat_mmap,sz16.777216MB,110,us
n90-v10-kvmoff-mmap,0,1,lat_mmap,sz33.554432MB,215,us
n90-v10-kvmoff-mmap,0,1,lat_mmap,sz67.108864MB,428,us
n90-v10-kvmoff-mmap,0,1,bw_mmap_rd,sz0.000512,25570.87,MB/s
n90-v10-kvmoff-mmap,0,1,bw_mmap_rd,sz0.001024,20415.72,MB/s
n90-v10-kvmoff-mmap,0,1,bw_mmap_rd,sz0.002048,21133.99,MB/s
n90-v10-kvmoff-mmap,0,1,bw_mmap_rd,sz0.004096,21521.70,MB/s
n90-v10-kvmoff-mmap,0,1,bw_mmap_rd,sz0.008192,21716.84,MB/s
n90-v10-kvmoff-mmap,0,1,bw_mmap_rd,sz0.016384,21823.51,MB/s
n90-v10-kvmoff-mmap,0,1,bw_mmap_rd,sz0.032768,21875.36,MB/s
n90-v10-kvmoff-mmap,0,1,bw_mmap_rd,sz0.065536,21793.84,MB/s
n90-v10-kvmoff-mmap,0,1,bw_mmap_rd,sz0.131072,21278.08,MB/s
n90-v10-kvmoff-mmap,0,1,bw_mmap_rd,sz0.262144,21280.71,MB/s
n90-v10-kvmoff-mmap,0,1,bw_mmap_rd,sz0.524288,21271.60,MB/s
n90-v10-kvmoff-mmap,0,1,bw_mmap_rd,sz1.05,21271.60,MB/s
n90-v10-kvmoff-mmap,0,1,bw_mmap_rd,sz2.10,21263.90,MB/s
n90-v10-kvmoff-mmap,0,1,bw_mmap_rd,sz4.19,21064.69,MB/s
n90-v10-kvmoff-mmap,0,1,bw_mmap_rd,sz8.39,16801.65,MB/s
n90-v10-kvmoff-mmap,0,1,bw_mmap_rd,sz16.78,16191.62,MB/s
n90-v10-kvmoff-mmap,0,1,bw_mmap_rd,sz33.55,16072.70,MB/s
n90-v10-kvmoff-mmap,0,1,bw_mmap_rd,sz67.11,15972.60,MB/s
n90-v10-kvmoff-mmap,0,1,bw_mmap_rd_o2c,sz0.000512,83.21,MB/s
n90-v10-kvmoff-mmap,0,1,bw_mmap_rd_o2c,sz0.001024,165.93,MB/s
n90-v10-kvmoff-mmap,0,1,bw_mmap_rd_o2c,sz0.002048,330.94,MB/s
n90-v10-kvmoff-mmap,0,1,bw_mmap_rd_o2c,sz0.004096,650.03,MB/s
n90-v10-kvmoff-mmap,0,1,bw_mmap_rd_o2c,sz0.008192,1145.07,MB/s
n90-v10-kvmoff-mmap,0,1,bw_mmap_rd_o2c,sz0.016384,2043.53,MB/s
n90-v10-kvmoff-mmap,0,1,bw_mmap_rd_o2c,sz0.032768,3207.26,MB/s
n90-v10-kvmoff-mmap,0,1,bw_mmap_rd_o2c,sz0.065536,4665.80,MB/s
n90-v10-kvmoff-mmap,0,1,bw_mmap_rd_o2c,sz0.131072,5740.73,MB/s
n90-v10-kvmoff-mmap,0,1,bw_mmap_rd_o2c,sz0.262144,6519.35,MB/s
n90-v10-kvmoff-mmap,0,1,bw_mmap_rd_o2c,sz0.524288,7259.52,MB/s
n90-v10-kvmoff-mmap,0,1,bw_mmap_rd_o2c,sz1.05,7778.47,MB/s
n90-v10-kvmoff-mmap,0,1,bw_mmap_rd_o2c,sz2.10,8374.25,MB/s
n90-v10-kvmoff-mmap,0,1,bw_mmap_rd_o2c,sz4.19,8171.69,MB/s
n90-v10-kvmoff-mmap,0,1,bw_mmap_rd_o2c,sz8.39,7275.46,MB/s
n90-v10-kvmoff-mmap,0,1,bw_mmap_rd_o2c,sz16.78,7106.98,MB/s
n90-v10-kvmoff-mmap,0,1,bw_mmap_rd_o2c,sz33.55,6853.44,MB/s
