env,core,iter,bench,variant,value,unit
n90-v10-nvhe-mmap,0,1,lat_mmap,sz0.524288MB,9.149,us
n90-v10-nvhe-mmap,0,1,lat_mmap,sz1.048576MB,12,us
n90-v10-nvhe-mmap,0,1,lat_mmap,sz2.097152MB,19,us
n90-v10-nvhe-mmap,0,1,lat_mmap,sz4.194304MB,32,us
n90-v10-nvhe-mmap,0,1,lat_mmap,sz8.388608MB,59,us
n90-v10-nvhe-mmap,0,1,lat_mmap,sz16.777216MB,110,us
n90-v10-nvhe-mmap,0,1,lat_mmap,sz33.554432MB,215,us
n90-v10-nvhe-mmap,0,1,lat_mmap,sz67.108864MB,429,us
n90-v10-nvhe-mmap,0,1,bw_mmap_rd,sz0.000512,25570.87,MB/s
n90-v10-nvhe-mmap,0,1,bw_mmap_rd,sz0.001024,20412.80,MB/s
n90-v10-nvhe-mmap,0,1,bw_mmap_rd,sz0.002048,21129.07,MB/s
n90-v10-nvhe-mmap,0,1,bw_mmap_rd,sz0.004096,21521.70,MB/s
n90-v10-nvhe-mmap,0,1,bw_mmap_rd,sz0.008192,21720.78,MB/s
n90-v10-nvhe-mmap,0,1,bw_mmap_rd,sz0.016384,21818.49,MB/s
n90-v10-nvhe-mmap,0,1,bw_mmap_rd,sz0.032768,21877.11,MB/s
n90-v10-nvhe-mmap,0,1,bw_mmap_rd,sz0.065536,21793.56,MB/s
n90-v10-nvhe-mmap,0,1,bw_mmap_rd,sz0.131072,21289.67,MB/s
n90-v10-nvhe-mmap,0,1,bw_mmap_rd,sz0.262144,21294.74,MB/s
n90-v10-nvhe-mmap,0,1,bw_mmap_rd,sz0.524288,21279.31,MB/s
n90-v10-nvhe-mmap,0,1,bw_mmap_rd,sz1.05,21277.14,MB/s
n90-v10-nvhe-mmap,0,1,bw_mmap_rd,sz2.10,21267.75,MB/s
n90-v10-nvhe-mmap,0,1,bw_mmap_rd,sz4.19,21199.22,MB/s
n90-v10-nvhe-mmap,0,1,bw_mmap_rd,sz8.39,15992.15,MB/s
n90-v10-nvhe-mmap,0,1,bw_mmap_rd,sz16.78,15079.29,MB/s
n90-v10-nvhe-mmap,0,1,bw_mmap_rd,sz33.55,14948.51,MB/s
n90-v10-nvhe-mmap,0,1,bw_mmap_rd,sz67.11,15271.10,MB/s
n90-v10-nvhe-mmap,0,1,bw_mmap_rd_o2c,sz0.000512,83.86,MB/s
n90-v10-nvhe-mmap,0,1,bw_mmap_rd_o2c,sz0.001024,167.13,MB/s
n90-v10-nvhe-mmap,0,1,bw_mmap_rd_o2c,sz0.002048,331.73,MB/s
n90-v10-nvhe-mmap,0,1,bw_mmap_rd_o2c,sz0.004096,656.52,MB/s
n90-v10-nvhe-mmap,0,1,bw_mmap_rd_o2c,sz0.008192,1157.84,MB/s
n90-v10-nvhe-mmap,0,1,bw_mmap_rd_o2c,sz0.016384,2044.26,MB/s
n90-v10-nvhe-mmap,0,1,bw_mmap_rd_o2c,sz0.032768,3202.84,MB/s
n90-v10-nvhe-mmap,0,1,bw_mmap_rd_o2c,sz0.065536,4680.29,MB/s
n90-v10-nvhe-mmap,0,1,bw_mmap_rd_o2c,sz0.131072,5741.07,MB/s
n90-v10-nvhe-mmap,0,1,bw_mmap_rd_o2c,sz0.262144,6526.41,MB/s
n90-v10-nvhe-mmap,0,1,bw_mmap_rd_o2c,sz0.524288,7304.18,MB/s
n90-v10-nvhe-mmap,0,1,bw_mmap_rd_o2c,sz1.05,7785.52,MB/s
n90-v10-nvhe-mmap,0,1,bw_mmap_rd_o2c,sz2.10,8345.69,MB/s
n90-v10-nvhe-mmap,0,1,bw_mmap_rd_o2c,sz4.19,8214.46,MB/s
n90-v10-nvhe-mmap,0,1,bw_mmap_rd_o2c,sz8.39,7003.35,MB/s
n90-v10-nvhe-mmap,0,1,bw_mmap_rd_o2c,sz16.78,6529.37,MB/s
n90-v10-nvhe-mmap,0,1,bw_mmap_rd_o2c,sz33.55,6605.20,MB/s
n90-v10-nvhe-mmap,0,1,bw_mmap_rd_o2c,sz67.11,6297.75,MB/s
n90-v10-nvhe-mmap,0,10,lat_mmap,sz0.524288MB,9.109,us
n90-v10-nvhe-mmap,0,10,lat_mmap,sz1.048576MB,13,us
n90-v10-nvhe-mmap,0,10,lat_mmap,sz2.097152MB,19,us
n90-v10-nvhe-mmap,0,10,lat_mmap,sz4.194304MB,32,us
n90-v10-nvhe-mmap,0,10,lat_mmap,sz8.388608MB,59,us
n90-v10-nvhe-mmap,0,10,lat_mmap,sz16.777216MB,110,us
n90-v10-nvhe-mmap,0,10,lat_mmap,sz33.554432MB,215,us
n90-v10-nvhe-mmap,0,10,lat_mmap,sz67.108864MB,429,us
n90-v10-nvhe-mmap,0,10,bw_mmap_rd,sz0.000512,24986.16,MB/s
n90-v10-nvhe-mmap,0,10,bw_mmap_rd,sz0.001024,20412.80,MB/s
n90-v10-nvhe-mmap,0,10,bw_mmap_rd,sz0.002048,21130.15,MB/s
n90-v10-nvhe-mmap,0,10,bw_mmap_rd,sz0.004096,21517.78,MB/s
