env,core,iter,bench,variant,value,unit
orbstack-host,0,1,lat_syscall,null,0.0741,us
orbstack-host,0,1,lat_syscall,read,0.0900,us
orbstack-host,0,1,lat_syscall,write,0.0902,us
orbstack-host,0,1,lat_syscall,stat,0.1481,us
orbstack-host,0,1,lat_syscall,fstat,0.0974,us
orbstack-host,0,1,lat_syscall,open,0.2886,us
orbstack-host,0,1,lat_select,file_n10,0.1220,us
orbstack-host,0,1,lat_select,file_n100,1.3699,us
orbstack-host,0,1,lat_select,file_n250,3.3947,us
orbstack-host,0,1,lat_select,file_n500,6.7708,us
orbstack-host,0,1,lat_select,tcp_n10,0.1346,us
orbstack-host,0,1,lat_select,tcp_n100,1.8282,us
orbstack-host,0,1,lat_select,tcp_n250,4.6184,us
orbstack-host,0,1,lat_select,tcp_n500,9.2812,us
orbstack-host,0,1,lat_sig,install,0.0818,us
orbstack-host,0,1,lat_sig,catch,0.2464,us
orbstack-host,0,1,lat_sig,prot,0.0889,us
orbstack-host,0,1,lat_pipe,rt,0.8836,us
orbstack-host,0,1,lat_unix,rt,1.2748,us
orbstack-host,0,1,lat_proc,fork,32.2613,us
orbstack-host,0,1,lat_proc,exec,82.0667,us
orbstack-host,0,1,lat_proc,shell,187.5893,us
orbstack-host,0,1,lat_ops,integer_bit,0.18,ns
orbstack-host,0,1,lat_ops,integer_add,0.25,ns
orbstack-host,0,1,lat_ops,integer_mul,0.76,ns
orbstack-host,0,1,lat_ops,integer_div,1.98,ns
orbstack-host,0,1,lat_ops,integer_mod,2.55,ns
orbstack-host,0,1,lat_ops,int64_bit,0.17,ns
orbstack-host,0,1,lat_ops,uint64_add,0.25,ns
orbstack-host,0,1,lat_ops,int64_mul,0.76,ns
orbstack-host,0,1,lat_ops,int64_div,2.00,ns
orbstack-host,0,1,lat_ops,int64_mod,3.07,ns
orbstack-host,0,1,lat_ops,float_add,0.67,ns
orbstack-host,0,1,lat_ops,float_mul,0.99,ns
orbstack-host,0,1,lat_ops,float_div,1.99,ns
orbstack-host,0,1,lat_ops,double_add,0.66,ns
orbstack-host,0,1,lat_ops,double_mul,0.99,ns
orbstack-host,0,1,lat_ops,double_div,2.48,ns
orbstack-host,0,1,lat_ops,float_bogomflops,0.26,ns
orbstack-host,0,1,lat_ops,double_bogomflops,0.26,ns
orbstack-host,0,1,par_ops,integer_bit,7.13,parallel
orbstack-host,0,1,par_ops,integer_add,3.67,parallel
orbstack-host,0,1,par_ops,integer_mul,6.20,parallel
orbstack-host,0,1,par_ops,integer_div,4.01,parallel
orbstack-host,0,1,par_ops,integer_mod,5.43,parallel
orbstack-host,0,1,par_ops,int64_bit,4.25,parallel
orbstack-host,0,1,par_ops,int64_add,3.96,parallel
orbstack-host,0,1,par_ops,int64_mul,6.20,parallel
orbstack-host,0,1,par_ops,int64_div,4.00,parallel
orbstack-host,0,1,par_ops,int64_mod,5.36,parallel
orbstack-host,0,1,par_ops,float_add,10.54,parallel
orbstack-host,0,1,par_ops,float_mul,15.27,parallel
orbstack-host,0,1,par_ops,float_div,8.00,parallel
orbstack-host,0,1,par_ops,double_add,10.51,parallel
orbstack-host,0,1,par_ops,double_mul,15.17,parallel
orbstack-host,0,1,par_ops,double_div,10.00,parallel
orbstack-host,0,1,lmdd,file_write_bw,5385944,KB/s
orbstack-host,0,1,lat_pagefault,minor,0.0788,us
orbstack-host,0,1,lat_mmap,sz0.524288MB,1.874,us
